Income Statement,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Rental Revenue,1.01%,(5.17%),9.04%,9.39%,8.16%
Other Revenue,,,301.57%,(98.01%),(98.58%)
Total Revenues,0.03%,(0.13%),21.21%,(6.42%),(7.04%)
Property Expenses,3.36%,(28.89%),(8.44%),38.21%,20.99%
Selling General & Admin Exp.,22.16%,(3.65%),(1.07%),(11.14%),(12.51%)
Depreciation & Amortization,0.38%,(6.47%),8.01%,21.18%,16.70%
Other Operating Expenses,-60.94%,-94.00%,(33.33%),(75.00%),(75.00%)
Total Operating Expenses,8.28%,(6.78%),4.46%,15.63%,10.83%
Operating Income,(10.05%),9.64%,42.13%,(26.66%),(24.13%)
Total Interest Expense,-4.46%,-13.97%,(3.60%),(3.07%),(5.63%)
Interest and Investment Income,,,23.45%,,
Net Interest Expenses,-4.46%,-21.69%,(1.64%),(15.41%),(13.66%)
"EBT, Excl. Unusual Items",(14.91%),60.63%,87.84%,(47.89%),(43.65%)
Gain (Loss) on Sale of Assets,44.14%,(65.74%),302.28%,(58.95%),(49.31%)
Asset Writedown,(0.33%),-89.08%,(258.23%),(237.57%),-21.93%
Other Unusual Items,,"7,877.89%",,-66.31%,-9.58%
"EBT, Incl. Unusual Items",38.75%,264.65%,25.11%,(85.55%),(67.54%)
Income Tax Expense,(41.13%),54.99%,"1,352.15%",(97.63%),(98.07%)
Earnings From Continuing Operations,41.17%,267.30%,18.03%,(84.76%),(64.53%)
Earnings Of Discontinued Operations,(46.63%),,,,
Net Income to Company,(20.83%),71.17%,32.72%,(84.76%),(64.53%)
Net Income,(20.83%),71.17%,32.72%,(84.76%),(64.53%)
Pref. Dividends and Other Adj.,465.15%,231.44%,(2.05%),(1.66%),(1.09%)
NI to Common Incl Extra Items,(23.91%),63.62%,36.04%,(90.47%),(71.32%)
NI to Common Excl. Extra Items,31.88%,270.66%,19.72%,(90.47%),(71.32%)
Revenue Per Share,0.32%,8.39%,15.50%,(18.67%),(17.99%)
Basic EPS,(23.57%),76.78%,29.27%,(91.73%),(74.70%)
Basic EPS - Continuing Ops,31.64%,306.92%,13.82%,(91.73%),(74.70%)
Basic Weighted Average Shares Outst.,(0.27%),(7.76%),4.98%,15.16%,13.36%
Diluted EPS,(23.57%),75.94%,30.20%,(91.73%),(75.18%)
Diluted EPS - Continuing Ops,31.64%,305.13%,14.54%,(91.73%),(75.18%)
Diluted Weighted Average Shares Outst.,(0.28%),(7.60%),5.08%,15.04%,13.25%
Normalized Basic EPS,(13.97%),72.30%,78.72%,(54.63%),(50.29%)
Normalized Diluted EPS,(13.97%),71.99%,78.23%,(54.71%),(50.24%)
Dividend Per Share,1.98%,(15.28%),(18.03%),0.00%,0.00%
Payout Ratio,33.36%,(48.61%),(40.62%),650.33%,218.14%
FFO,(7.00%),(12.23%),(5.37%),(6.34%),(5.37%)
FFO Payout Ratio %,12.70%,(2.50%),(17.52%),22.77%,19.83%
AFFO,(3.60%),(13.02%),(1.33%),(9.45%),
Funds Available for Distribution,(3.60%),(13.02%),(1.33%),(9.45%),
FFO Per Share (Diluted),(6.90%),(5.12%),(9.97%),(18.26%),
FFO Shares (Diluted),(0.28%),(7.60%),5.08%,15.04%,
Adjusted FFO Per Share (Diluted),(3.42%),(5.90%),(6.02%),(21.33%),
EBITDA,(3.36%),1.56%,26.37%,(7.78%),(7.62%)
EBITA,(21.35%),9.64%,57.87%,(22.32%),(20.74%)
EBIT,(10.05%),9.64%,42.13%,(26.66%),(24.13%)
EBITDAR,(3.51%),1.56%,26.50%,(7.77%),
Effective Tax Rate,(57.55%),(57.56%),"1,061.87%",(83.57%),(94.07%)
Normalized Net Income,(14.91%),60.63%,87.84%,(47.89%),(43.65%)
Interest on Long-Term Debt,,,(31.12%),2.14%,
