Income Statement,Dec 2016,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Revenues,1326.4,1291.5,1098.0,1096.7,1103.1,1113.3
Other Revenues,81.9,77.6,77.1,105.4,106.1,102.3
Total Revenues,1408.3,1369.1,1175.1,1202.1,1209.2,1215.6
Cost Of Revenues,535.3,521.8,365.6,387.7,384.5,371.1
Gross Profit,873.0,847.3,809.5,814.4,824.7,844.5
Selling General & Admin Expenses,169.0,181.5,185.9,182.1,173.8,180.0
Depreciation & Amortization,297.2,307.3,311.3,321.3,330.5,338.7
Other Operating Expense/(Income),33.8,34.4,33.1,31.3,35.3,37.0
Total Operating Expenses,500.0,523.2,530.3,534.7,539.6,555.7
Operating Income,373.0,324.1,279.2,279.7,285.1,288.8
Interest Expense,(150.0),(163.6),(168.6),(184.3),(191.8),(199.9)
Interest And Investment Income,1.9,3.1,5.7,3.8,1.5,1.5
Net Interest Expenses,(148.1),(160.5),(162.9),(180.5),(190.3),(198.4)
Currency Exchange Gains (Loss),(3.8),6.0,(3.4),1.7,(10.8),(11.4)
Other Non Operating Income (Expenses),(8.7),(9.3),(3.3),(7.3),2.3,9.1
"EBT, Excl. Unusual Items",259.8,204.2,159.9,170.1,148.5,138.0
"EBT, Incl. Unusual Items",352.8,258.3,221.0,221.7,187.5,172.1
Income Tax Expense,95.7,(243.7),30.5,40.9,37.3,32.6
Earnings From Continuing Operations,257.1,502.0,190.5,180.8,150.2,139.5
Earnings Of Discontinued Operations,,,20.8,30.4,1.1,2.0
Net Income to Company,257.1,502.0,211.3,211.2,151.3,141.5
Net Income,257.1,502.0,211.3,211.2,151.3,141.5
NI to Common Incl Extra Items,257.1,502.0,211.3,211.2,151.3,141.5
NI to Common Excl. Extra Items,257.1,502.0,190.5,180.8,150.2,139.5
Revenue Per Share,$34.77,$35.29,$31.25,$33.67,$34.55,$34.66
Basic EPS,$6.35,$12.94,$5.62,$5.92,$4.32,$4.03
Basic EPS - Continuing Ops,$6.35,$12.94,$5.07,$5.06,$4.29,$3.98
Basic Weighted Average Shares Outst.,40.5,38.8,37.6,35.7,35.0,35.1
Diluted EPS,$6.29,$12.75,$5.52,$5.81,$4.27,$3.99
Diluted EPS - Continuing Ops,$6.29,$12.75,$4.98,$4.97,$4.24,$3.93
Diluted Weighted Average Shares Outst.,40.9,39.4,38.3,36.4,35.4,35.5
Normalized Basic EPS,$4.01,$3.29,$2.66,$2.98,$2.65,$2.46
Normalized Diluted EPS,$3.97,$3.24,$2.61,$2.92,$2.62,$2.43
Dividend Per Share,$1.60,$1.68,$1.76,$1.84,$1.92,$1.94
Payout Ratio,26.22%,13.59%,32.80%,32.81%,46.93%,50.67%
EBITDA,683.2,646.8,606.5,611.7,627.3,639.8
EBITA,373.0,324.1,279.2,279.7,285.1,288.8
EBIT,373.0,324.1,279.2,279.7,285.1,288.8
EBITDAR,760.8,709.3,656.1,671.4,680.6,
Effective Tax Rate,27.1%,NM,13.8%,18.4%,19.9%,18.9%
Normalized Net Income,162.4,127.6,99.9,106.3,92.8,86.3
Interest on Long-Term Debt,,,,0.3,0.2,
Foreign Earnings,63.0,,,,,
Foreign Sales,189.0,324.0,333.5,331.1,374.9,
