Income Statement,Dec 2016,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Revenues,3185.8,1937.3,2193.1,3327.5,3070.8,3133.6
Total Revenues,3185.8,1937.3,2193.1,3327.5,3070.8,3133.6
Cost Of Revenues,2193.4,1265.7,1463.7,1917.9,1776.1,1817.9
Gross Profit,992.4,671.6,729.4,1409.6,1294.7,1315.7
Selling General & Admin Expenses,605.6,425.4,463.1,872.9,855.2,867.3
R&D Expenses,39.3,32.8,34.2,61.8,68.6,70.0
Total Operating Expenses,702.3,497.9,541.0,1070.4,1082.2,1095.7
Operating Income,290.1,173.6,188.4,339.1,212.5,220.0
Interest Expense,(39.5),(45.1),(50.2),(122.4),(110.3),(111.1)
Interest And Investment Income,6.6,1.9,2.5,3.2,3.2,3.2
Net Interest Expenses,(32.9),(43.2),(47.7),(119.2),(107.1),(107.9)
Currency Exchange Gains (Loss),7.6,0.4,(9.2),(0.2),0.4,0.4
"EBT, Excl. Unusual Items",264.8,130.8,131.5,219.7,105.8,112.5
"EBT, Incl. Unusual Items",206.5,48.6,92.4,50.5,58.0,71.6
Income Tax Expense,51.8,2.5,(29.5),31.6,(6.1),(11.3)
Earnings From Continuing Operations,154.8,46.1,121.9,18.9,64.1,82.9
Earnings Of Discontinued Operations,(9.6),123.4,32.6,(536.0),(18.3),(22.4)
Net Income to Company,145.2,169.5,154.5,(517.1),45.8,60.5
Minority Interest,(17.1),(18.4),(14.3),(10.5),(3.1),(3.3)
Net Income,128.1,151.1,140.2,(527.6),42.6,57.2
NI to Common Incl Extra Items,128.1,151.1,140.2,(527.6),42.6,57.2
NI to Common Excl. Extra Items,137.7,27.7,107.6,8.4,60.9,79.7
Revenue Per Share,$25.92,$15.72,$18.23,$24.52,$22.45,$22.79
Basic EPS,$1.04,$1.23,$1.17,($3.89),$0.31,$0.42
Basic EPS - Continuing Ops,$1.12,$0.22,$0.89,$0.06,$0.45,$0.58
Basic Weighted Average Shares Outst.,122.9,123.2,120.3,135.7,136.8,137.5
Diluted EPS,$1.04,$1.23,$1.16,($3.89),$0.31,$0.41
Diluted EPS - Continuing Ops,$1.12,$0.22,$0.89,$0.06,$0.44,$0.57
Diluted Weighted Average Shares Outst.,123.2,124.0,120.8,135.7,138.9,139.0
Normalized Basic EPS,$1.21,$0.51,$0.56,$0.93,$0.46,$0.49
Normalized Diluted EPS,$1.20,$0.51,$0.56,$0.93,$0.45,$0.48
EBITDA,427.3,305.8,330.3,570.9,453.8,465.8
EBITA,347.4,213.4,232.1,474.9,370.9,378.4
EBIT,290.1,173.6,188.4,339.1,212.5,220.0
EBITDAR,462.1,332.7,356.9,605.2,498.8,
Effective Tax Rate,25.1%,5.1%,NM,62.6%,NM,NM
Normalized Net Income,148.4,63.3,67.9,126.8,63.0,67.0
Interest on Long-Term Debt,36.9,42.0,51.6,121.9,107.5,
R&D Expense From Footnotes,39.3,32.8,34.2,61.8,68.6,70.0
Foreign Sales,2391.7,1458.9,1652.6,1863.3,1787.1,
