Income Statement,Sep 2017,Sep 2018,Sep 2019,Oct 2020,TTM
Revenues,101.00%,10.40%,(24.80%),(14.09%),(9.79%)
Total Revenues,101.00%,10.40%,(24.80%),(14.09%),(9.79%)
Cost Of Revenues,98.88%,13.23%,(13.75%),(11.50%),(9.92%)
Gross Profit,103.64%,6.96%,(39.07%),(18.83%),(9.54%)
Selling General & Admin Expenses,60.17%,8.05%,(5.88%),(2.45%),(2.58%)
R&D Expenses,48.36%,7.62%,(14.51%),(0.27%),(0.48%)
Total Operating Expenses,61.47%,6.32%,(8.30%),(3.15%),(3.11%)
Operating Income,187.50%,7.66%,(73.01%),(77.59%),(50.46%)
Interest Expense,"(2,452.90%)",-24.78%,-26.02%,-10.90%,-4.89%
Interest And Investment Income,(4.64%),44.13%,(28.77%),(5.90%),(18.13%)
Net Interest Expenses,"(16,290.15%)",-27.04%,-25.84%,-11.21%,-3.99%
Currency Exchange Gains (Loss),,,-48.84%,-39.63%,-25.59%
Other Non Operating Income (Expenses),194.37%,(33.93%),(53.82%),301.86%,33.64%
"EBT, Excl. Unusual Items",179.55%,5.64%,(76.73%),(87.09%),(59.56%)
"EBT, Incl. Unusual Items",145.78%,19.70%,(83.39%),,
Income Tax Expense,163.92%,22.25%,(94.55%),,"(12,666.13%)"
Earnings From Continuing Operations,138.44%,18.56%,(78.24%),,
Earnings Of Discontinued Operations,,-99.87%,,,
Net Income to Company,136.71%,19.43%,(78.24%),,
Net Income,136.71%,19.43%,(78.24%),,
NI to Common Incl Extra Items,136.71%,19.43%,(78.24%),,
NI to Common Excl. Extra Items,138.44%,18.56%,(78.24%),,
Revenue Per Share,98.19%,10.01%,(23.39%),(14.05%),(10.29%)
Basic EPS,133.66%,18.99%,(77.84%),,
Basic EPS - Continuing Ops,135.38%,18.15%,(77.84%),,
Basic Weighted Average Shares Outst.,1.43%,0.35%,(1.85%),(0.05%),0.56%
Diluted EPS,133.48%,19.02%,(77.69%),,
Diluted EPS - Continuing Ops,135.20%,18.17%,(77.69%),,
Diluted Weighted Average Shares Outst.,1.48%,0.30%,(2.30%),(0.72%),(0.09%)
Normalized Basic EPS,175.75%,5.26%,(76.29%),(87.09%),(59.78%)
Normalized Diluted EPS,175.12%,5.28%,(76.19%),(86.97%),(59.52%)
EBITDA,190.88%,7.90%,(56.13%),(54.83%),(45.54%)
EBITA,214.15%,6.45%,(63.06%),(67.86%),(57.55%)
EBIT,187.50%,7.66%,(73.01%),(77.59%),(50.46%)
EBITDAR,179.33%,8.79%,(53.65%),(50.34%),
Effective Tax Rate,7.38%,2.12%,(67.18%),(37.68%),
Normalized Net Income,179.55%,5.64%,(76.73%),(87.09%),(59.56%)
Interest on Long-Term Debt,,,,(10.99%),
R&D Expense From Footnotes,44.46%,11.24%,(10.78%),(1.80%),(1.96%)
Foreign Sales,118.51%,11.75%,(31.51%),(14.50%),
