Income Statement,Dec 2016,Dec 2017,Dec 2018,Dec 2019,Jan 2021,TTM
Revenues,712.9,790.2,858.3,937.8,1143.7,1173.2
Total Revenues,712.9,790.2,858.3,937.8,1143.7,1173.2
Cost Of Revenues,234.6,268.2,283.4,308.7,400.7,418.9
Gross Profit,478.3,522.0,574.9,629.2,743.1,754.3
Selling General & Admin Expenses,254.7,273.0,285.4,314.7,369.1,375.9
R&D Expenses,57.7,65.2,81.0,93.3,118.7,125.9
Total Operating Expenses,312.4,338.2,366.4,408.0,487.7,501.8
Operating Income,165.9,183.8,208.5,221.2,255.3,252.5
Interest Expense,(3.3),(0.7),(0.7),(0.3),(0.3),(0.3)
Interest And Investment Income,0.5,3.0,8.2,13.9,5.5,2.9
Net Interest Expenses,(2.8),2.3,7.5,13.6,5.2,2.6
Currency Exchange Gains (Loss),0.1,(0.3),(2.0),(0.6),2.6,1.2
Other Non Operating Income (Expenses),0.3,(0.0),0.3,(0.0),0.1,0.1
"EBT, Excl. Unusual Items",163.5,185.8,214.2,234.2,263.3,256.3
"EBT, Incl. Unusual Items",433.5,185.8,213.8,234.2,263.7,256.3
Income Tax Expense,122.4,61.0,20.2,38.0,23.5,27.1
Earnings From Continuing Operations,311.1,124.8,193.5,196.2,240.3,229.2
Net Income to Company,311.1,124.8,193.5,196.2,240.3,229.2
Minority Interest,,,,,0.0,0.0
Net Income,311.1,124.8,193.5,196.2,240.3,229.2
NI to Common Incl Extra Items,311.1,124.8,193.5,196.2,240.3,229.2
NI to Common Excl. Extra Items,311.1,124.8,193.5,196.2,240.3,229.2
Revenue Per Share,$14.39,$15.34,$16.41,$17.55,$20.91,$21.32
Basic EPS,$6.28,$2.42,$3.70,$3.67,$4.39,$4.17
Basic EPS - Continuing Ops,$6.28,$2.42,$3.70,$3.67,$4.39,$4.17
Basic Weighted Average Shares Outst.,49.5,51.5,52.3,53.4,54.7,55.0
Diluted EPS,$5.85,$2.23,$3.45,$3.44,$4.14,$3.94
Diluted EPS - Continuing Ops,$5.85,$2.23,$3.45,$3.44,$4.14,$3.94
Diluted Weighted Average Shares Outst.,53.2,55.9,56.0,57.1,58.0,58.1
Normalized Basic EPS,$2.06,$2.25,$2.56,$2.74,$3.01,$2.91
Normalized Diluted EPS,$1.92,$2.08,$2.39,$2.56,$2.84,$2.76
EBITDA,181.0,203.8,229.6,244.7,284.6,283.9
EBITA,167.9,188.7,213.3,225.6,262.8,261.1
EBIT,165.9,183.8,208.5,221.2,255.3,252.5
EBITDAR,186.6,210.5,236.5,251.3,291.6,
Effective Tax Rate,28.2%,32.8%,9.5%,16.2%,8.9%,10.6%
Normalized Net Income,102.2,116.1,133.9,146.4,164.6,160.2
Interest on Long-Term Debt,3.5,0.7,0.6,0.3,0.3,
R&D Expense From Footnotes,59.5,65.2,81.0,93.3,118.7,125.9
Foreign Sales,198.9,235.3,263.1,300.0,380.7,
