Income Statement,Dec 2016,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Interest Income On Loans,335.7,578.3,850.5,955.4,919.7,910.7
Total Interest Income,363.6,636.1,946.7,1067.9,1021.0,1009.9
Interest On Deposits,23.9,59.6,151.0,231.6,135.5,102.3
Total Interest On Borrowings,14.7,33.2,59.3,70.2,63.7,56.5
Total Interest Expense,38.6,92.8,210.4,301.8,199.3,158.8
Net Interest Income,325.0,543.3,736.3,766.1,821.8,851.1
Service Charges On Deposits,14.5,20.0,36.1,36.8,34.3,33.6
Trust Income,6.3,8.7,13.1,14.2,16.5,17.0
Gain (Loss) on Sale of Invest. & Securities,0.9,(7.9),0.5,(3.2),2.1,5.0
Total Other Non Interest Income,52.1,67.5,85.3,103.1,121.4,122.6
Total Non Interest Income,121.0,144.9,200.9,265.3,317.8,340.2
Revenue Before Loan Losses,446.0,688.2,937.2,1031.5,1139.6,1191.3
Provision For Loan Losses,18.3,23.7,34.4,27.3,191.7,99.1
Total Revenues,427.7,664.5,902.8,1004.2,947.9,1092.2
Salaries And Other Employee Benefits,129.8,190.1,254.0,292.1,315.7,338.1
Amort. of Goodwill & Intang. Assets,4.3,8.8,10.5,9.9,9.8,9.5
Total Selling General & Admin Expenses,56.5,87.7,111.4,124.0,125.7,126.8
Total Other Non Interest Expense,33.5,47.0,67.9,71.7,101.6,98.2
Total Non Interest Expense,224.5,334.7,444.6,499.5,561.4,578.7
"EBT, Excl. Unusual Items",203.1,329.8,458.2,504.6,386.5,513.5
Restructuring Charges,,,,(4.7),,
Asset Writedown,,,,(2.4),,
Other Unusual Items,,,,,(15.2),(15.2)
"EBT, Incl. Unusual Items",191.4,298.0,449.9,497.5,371.4,498.3
Income Tax Expense,64.2,124.0,90.5,96.7,59.0,88.9
Earnings From Continuing Operations,127.2,174.0,359.4,400.9,312.3,409.4
Net Income to Company,127.2,174.0,359.4,400.9,312.3,409.4
Net Income,127.2,174.0,359.4,400.9,312.3,409.4
Preferred Dividend and Other Adjustments,,,,,7.6,11.4
Net Income to Common Incl Extra Items,127.2,174.0,359.4,400.9,304.7,398.0
Net Income to Common Excl. Extra Items,127.2,174.0,359.4,400.9,304.7,398.0
Revenue Per Share,$9.94,$10.42,$11.71,$13.15,$12.58,$14.51
Basic EPS,$2.96,$2.73,$4.66,$5.25,$4.04,$5.29
Basic EPS - Continuing Ops,$2.96,$2.73,$4.66,$5.25,$4.04,$5.29
Basic Weighted Average Shares Outst.,43.0,63.8,77.1,76.4,75.4,75.3
Diluted EPS,$2.91,$2.70,$4.64,$5.22,$4.03,$5.27
Diluted EPS - Continuing Ops,$2.91,$2.70,$4.64,$5.22,$4.03,$5.27
Diluted Weighted Average Shares Outst.,43.7,64.3,77.4,76.8,75.7,75.6
Normalized Basic EPS,$2.95,$3.23,$3.71,$4.13,$3.20,$4.26
Normalized Diluted EPS,$2.90,$3.20,$3.70,$4.11,$3.19,$4.25
Dividend Per Share,$0.56,$0.56,$0.58,$0.64,$0.64,$0.66
Payout Ratio,19.43%,20.64%,12.65%,12.43%,18.25%,
Effective Tax Rate,33.5%,41.6%,20.1%,19.4%,15.9%,17.8%
Normalized Net Income,127.0,206.1,286.4,315.4,241.6,320.9
Interest on Long-Term Debt,4.1,,,0.2,0.2,
