Income Statement,Dec 2016,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Revenues,819.9,809.5,838.1,889.7,1462.7,1790.7
Total Revenues,819.9,809.5,838.1,889.7,1462.7,1790.7
Fuel & Purchased Power,,,,,165.7,285.1
Operations And Maintenance,291.8,275.9,286.7,302.8,480.7,524.5
Depreciation & Amortization,131.0,136.3,146.0,158.2,251.4,277.5
Other Operating Expenses,61.8,67.9,75.2,73.1,85.6,90.2
Total Operating Expenses,486.6,480.6,508.6,532.5,989.1,1183.6
Operating Income,333.3,329.0,329.5,357.2,473.6,607.1
"Interest Expense, Total",(83.0),(88.5),(158.8),(149.1),(188.4),(204.1)
Interest and Investment Income,0.2,0.2,0.2,25.4,5.4,0.7
Net Interest Expenses,(82.8),(88.3),(158.7),(123.7),(183.1),(203.4)
Allow. For Borrowed Funds Used For Const.,11.0,15.2,13.0,16.2,12.7,12.7
Other Non-Operating Inc. (Exp.),(7.7),,5.8,0.1,4.2,9.4
"EBT, Excl. Unusual Items",254.8,256.2,191.8,252.0,304.1,422.5
Gain (Loss) on Sale of Assets,0.4,0.5,0.7,0.9,0.7,0.6
Insurance Settlements,,,,,2.9,2.9
Other Unusual Items,,,,(18.5),(17.3),(17.3)
"EBT, Incl. Unusual Items",255.2,256.7,178.3,211.5,265.0,408.8
Income Tax Expense,21.0,16.9,(13.7),(13.0),(19.9),(8.0)
Earnings From Continuing Operations,234.2,239.7,192.0,224.5,284.8,416.8
Net Income to Company,234.2,239.7,192.0,224.5,284.8,416.8
Net Income,234.2,239.7,192.0,224.5,284.8,416.8
NI to Common Incl Extra Items,234.2,239.7,192.0,224.5,284.8,416.8
NI to Common Excl. Extra Items,234.2,239.7,192.0,224.5,284.8,416.8
Revenue Per Share,$4.62,$4.56,$4.71,$4.13,$5.86,$7.04
Basic EPS,$1.32,$1.35,$1.08,$1.04,$1.14,$1.64
Basic EPS - Continuing Ops,$1.32,$1.35,$1.08,$1.04,$1.14,$1.64
Basic Weighted Average Shares Outst.,177.3,177.6,177.9,215.6,249.8,254.4
Diluted EPS,$1.32,$1.35,$1.08,$1.04,$1.12,$1.64
Diluted EPS - Continuing Ops,$1.32,$1.35,$1.08,$1.04,$1.12,$1.64
Diluted Weighted Average Shares Outst.,177.8,178.2,178.4,215.9,254.6,254.6
Normalized Basic EPS,$0.90,$0.90,$0.67,$0.73,$0.76,$1.04
Normalized Diluted EPS,$0.90,$0.90,$0.67,$0.73,$0.75,$1.04
Dividend Per Share,$0.74,$0.79,$0.85,$0.91,$0.97,$0.99
Payout Ratio,55.91%,58.67%,78.51%,83.95%,81.65%,
EBITDA,466.3,465.7,476.2,513.7,730.7,882.2
EBITA,335.3,329.4,330.2,355.5,479.3,607.1
EBIT,333.3,329.0,329.5,357.2,473.6,607.1
EBITDAR,469.1,467.9,478.8,515.9,739.2,
Effective Tax Rate,8.2%,6.6%,NM,NM,NM,NM
Normalized Net Income,159.2,160.1,119.9,157.5,190.1,264.1
Interest Capitalized,8.8,15.2,13.0,16.2,12.7,
