Income Statement,Dec 2016,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Rental Revenue,768.8,772.7,860.6,913.9,848.2,832.1
Other Revenue,7.8,14.0,10.4,16.2,9.9,9.8
Total Revenues,786.4,796.4,880.8,943.0,870.6,853.9
Property Expenses,374.4,372.3,401.8,424.1,414.3,415.1
Selling General & Admin Exp.,22.5,26.9,48.1,46.8,48.7,49.6
Depreciation & Amortization,211.4,235.0,263.2,275.0,267.7,269.7
Other Operating Expenses,,,(2.6),,,
Total Operating Expenses,608.3,634.1,710.5,745.9,730.7,734.4
Operating Income,178.0,162.4,170.3,197.2,139.9,119.5
Total Interest Expense,(85.2),(75.7),(105.0),(116.3),(117.8),(119.0)
Interest and Investment Income,5.5,4.9,4.8,3.7,2.9,2.3
Net Interest Expenses,(79.7),(70.8),(100.2),(112.6),(114.8),(116.7)
Other Non Operating Income,,,1.3,,0.3,0.3
"EBT, Excl. Unusual Items",98.3,91.6,71.4,84.5,25.4,3.1
Gain (Loss) on Sale of Assets,21.2,(0.6),42.3,(0.1),48.5,0.0
Asset Writedown,(4.9),(15.3),,(17.2),,
Other Unusual Items,(12.8),(4.5),7.9,21.0,(2.7),3.2
"EBT, Incl. Unusual Items",101.8,71.1,121.6,88.3,71.2,5.1
Income Tax Expense,1.2,1.0,2.4,1.5,1.3,1.3
Earnings From Continuing Operations,100.6,70.1,119.1,86.8,69.8,3.8
Net Income to Company,100.6,70.1,119.1,86.8,69.8,3.8
Minority Interest,(1.6),(1.1),(2.0),(1.8),3.0,3.8
Net Income,99.1,69.0,117.1,85.0,72.8,7.6
Pref. Dividends and Other Adj.,1.3,1.5,1.5,1.9,2.1,2.2
NI to Common Incl Extra Items,97.7,67.5,115.6,83.1,70.7,5.4
NI to Common Excl. Extra Items,97.7,67.5,115.6,83.1,70.7,5.4
Revenue Per Share,$6.09,$5.89,$6.44,$6.87,$6.33,$6.20
Basic EPS,$0.76,$0.50,$0.84,$0.61,$0.51,$0.04
Basic EPS - Continuing Ops,$0.76,$0.50,$0.84,$0.61,$0.51,$0.04
Basic Weighted Average Shares Outst.,129.2,135.1,136.8,137.3,137.6,137.6
Diluted EPS,$0.75,$0.50,$0.84,$0.60,$0.51,$0.04
Diluted EPS - Continuing Ops,$0.75,$0.50,$0.84,$0.60,$0.51,$0.04
Diluted Weighted Average Shares Outst.,130.0,136.0,137.7,138.3,138.7,138.8
Normalized Basic EPS,$0.46,$0.42,$0.31,$0.37,$0.14,$0.04
Normalized Diluted EPS,$0.46,$0.41,$0.31,$0.37,$0.14,$0.04
Dividend Per Share,$1.66,$1.74,$1.82,$1.87,$1.88,$1.88
Payout Ratio,220.77%,342.63%,213.95%,304.37%,358.19%,"3,448.98%"
FFO,292.6,317.4,329.4,350.3,281.1,266.3
FFO Payout Ratio %,74.74%,74.54%,76.05%,73.83%,92.77%,97.99%
AFFO,292.6,317.4,329.4,350.3,281.1,
Funds Available for Distribution,292.6,317.4,329.4,350.3,281.1,
FFO Per Share (Diluted),$2.23,$2.31,$2.38,$2.52,$2.02,$1.91
FFO Shares (Diluted),131.3,137.1,138.6,138.9,139.2,139.3
Adjusted FFO Per Share (Diluted),$2.23,$2.31,$2.38,$2.52,$2.02,
EBITDA,392.3,397.3,433.5,472.2,407.6,389.1
EBITA,181.8,165.7,174.0,200.7,143.3,122.9
EBIT,178.0,162.4,170.3,197.2,139.9,119.5
EBITDAR,403.7,410.4,449.5,491.2,425.8,
Effective Tax Rate,1.1%,1.4%,2.0%,1.7%,1.9%,25.8%
Normalized Net Income,59.9,56.2,42.6,51.0,18.8,5.7
Interest Capitalized,12.3,15.9,11.7,12.1,12.1,
