Income Statement,Jun 2017,Jun 2018,Jun 2019,Jun 2020,TTM
Revenues,29.98%,24.31%,21.53%,21.99%,11.82%
Other Revenues,35.08%,150.43%,118.64%,(23.96%),(77.93%)
Total Revenues,30.04%,25.84%,23.87%,20.04%,8.65%
Cost Of Revenues,26.41%,20.33%,3.12%,18.30%,16.96%
Gross Profit,32.73%,29.72%,37.42%,20.89%,4.74%
Selling General & Admin Expenses,27.60%,25.14%,18.60%,19.04%,6.49%
R&D Expenses,8.83%,29.37%,33.69%,24.71%,25.37%
Total Operating Expenses,23.91%,25.87%,21.27%,20.15%,10.16%
Operating Income,,118.60%,252.52%,24.27%,(18.07%)
Interest Expense,,,,,(139.66%)
Interest And Investment Income,(44.56%),215.64%,121.19%,(10.50%),(19.71%)
Net Interest Expenses,(44.56%),215.64%,121.19%,(41.04%),(40.28%)
"EBT, Excl. Unusual Items",,122.75%,244.56%,21.73%,(21.49%)
"EBT, Incl. Unusual Items",,127.32%,246.52%,15.63%,(23.62%)
Income Tax Expense,267.80%,,,(36.94%),
Earnings From Continuing Operations,,474.55%,39.45%,19.75%,(8.40%)
Net Income to Company,,474.55%,39.45%,19.75%,(8.40%)
Net Income,,474.55%,39.45%,19.75%,(8.40%)
NI to Common Incl Extra Items,,474.55%,39.45%,19.75%,(8.40%)
NI to Common Excl. Extra Items,,474.55%,39.45%,19.75%,(8.40%)
Revenue Per Share,28.81%,23.31%,22.74%,18.59%,7.15%
Basic EPS,,466.35%,37.46%,18.01%,(9.67%)
Basic EPS - Continuing Ops,,466.35%,37.46%,18.01%,(9.67%)
Basic Weighted Average Shares Outst.,0.99%,1.96%,0.93%,1.20%,1.40%
Diluted EPS,,483.33%,38.57%,18.56%,(9.47%)
Diluted EPS - Continuing Ops,,483.33%,38.57%,18.56%,(9.47%)
Diluted Weighted Average Shares Outst.,6.18%,1.54%,0.96%,0.71%,0.84%
Normalized Basic EPS,,124.90%,245.49%,20.46%,(22.57%)
Normalized Diluted EPS,,114.81%,247.27%,20.84%,(22.14%)
EBITDA,287.04%,68.66%,132.02%,19.84%,(10.06%)
EBITA,,100.32%,231.42%,23.80%,(17.16%)
EBIT,,118.60%,252.52%,24.27%,(18.07%)
EBITDAR,162.07%,46.02%,108.64%,21.28%,
Effective Tax Rate,,,,(45.50%),
Normalized Net Income,,122.75%,244.56%,21.73%,(21.49%)
R&D Expense From Footnotes,19.77%,34.80%,29.43%,21.97%,22.79%
