Income Statement,Sep 2016,Sep 2017,Sep 2018,Sep 2019,Sep 2020,TTM
Revenues,5685.7,6120.7,7651.0,7320.0,6559.0,6836.0
Total Revenues,5685.7,6120.7,7651.0,7320.0,6559.0,6836.0
Depreciation & Amortization,400.9,416.3,455.0,448.0,484.0,484.0
Other Operating Expenses,2423.4,2829.9,4051.0,4305.0,3140.0,2987.0
Total Operating Expenses,4658.3,5069.2,6488.0,6665.0,5466.0,5313.0
Operating Income,1027.4,1051.5,1163.0,655.0,1093.0,1523.0
"Interest Expense, Total",(228.9),(223.5),(230.0),(258.0),(322.0),(311.0)
Interest and Investment Income,0.2,1.7,3.0,6.0,2.0,2.0
Net Interest Expenses,(228.7),(221.8),(227.0),(252.0),(320.0),(309.0)
"EBT, Excl. Unusual Items",798.5,810.1,956.0,450.0,780.0,1227.0
Gain (Loss) on Sale of Assets,3.3,(3.9),5.0,3.0,3.0,3.0
Insurance Settlements,,5.8,,,,
Other Unusual Items,(48.9),(59.7),,(6.0),,
"EBT, Incl. Unusual Items",710.0,701.4,855.0,401.0,667.0,1113.0
Income Tax Expense,221.2,177.6,33.0,93.0,135.0,227.0
Earnings From Continuing Operations,488.8,523.8,822.0,308.0,532.0,886.0
Net Income to Company,488.8,523.8,822.0,308.0,532.0,886.0
Minority Interest,(124.1),(87.2),(103.0),(52.0),,
Net Income,364.7,436.6,719.0,256.0,532.0,886.0
NI to Common Incl Extra Items,364.7,436.6,719.0,256.0,532.0,886.0
NI to Common Excl. Extra Items,364.7,436.6,719.0,256.0,532.0,886.0
Revenue Per Share,$32.84,$35.24,$43.99,$41.03,$31.39,$32.74
Basic EPS,$2.11,$2.51,$4.13,$1.43,$2.55,$4.24
Basic EPS - Continuing Ops,$2.11,$2.51,$4.13,$1.43,$2.55,$4.24
Basic Weighted Average Shares Outst.,173.2,173.7,173.9,178.4,208.9,208.8
Diluted EPS,$2.08,$2.46,$4.06,$1.41,$2.54,$4.23
Diluted EPS - Continuing Ops,$2.08,$2.46,$4.06,$1.41,$2.54,$4.23
Diluted Weighted Average Shares Outst.,175.6,177.2,176.9,181.1,209.9,209.6
Normalized Basic EPS,$2.17,$2.41,$2.84,$1.28,$2.33,$3.67
Normalized Diluted EPS,$2.14,$2.37,$2.80,$1.27,$2.32,$3.66
Dividend Per Share,$0.93,$0.98,$1.02,$1.15,$1.31,$1.32
Payout Ratio,44.06%,38.69%,24.62%,78.13%,51.32%,
EBITDA,1428.3,1467.8,1618.0,1103.0,1577.0,2015.8
EBITA,1081.7,1102.3,1221.0,714.0,1176.0,1523.0
EBIT,1027.4,1051.5,1163.0,655.0,1093.0,1523.0
EBITDAR,1530.3,1567.3,,,1687.0,
Effective Tax Rate,31.2%,25.3%,3.9%,23.2%,20.2%,20.4%
Normalized Net Income,375.0,419.1,494.5,229.3,487.5,766.9
Interest on Long-Term Debt,,,,,3.0,
Foreign Earnings,206.6,,,,,
Foreign Sales,1868.8,,,,,
