Income Statement,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Revenues,1.84%,(1.41%),24.61%,2.86%,(4.16%)
Total Revenues,1.84%,(1.41%),24.61%,2.86%,(4.16%)
Cost Of Revenues,1.66%,(4.85%),43.48%,0.11%,(8.46%)
Gross Profit,1.98%,1.32%,10.60%,5.51%,0.09%
Selling General & Admin Expenses,(6.56%),6.37%,4.12%,(7.61%),(16.19%)
R&D Expenses,(19.41%),4.90%,1.77%,(5.39%),(10.45%)
Depreciation & Amortization,(0.11%),(5.41%),31.86%,18.16%,8.15%
Total Operating Expenses,(9.86%),3.50%,8.55%,(1.11%),(8.81%)
Operating Income,79.12%,(5.85%),17.98%,27.46%,29.26%
Interest Expense,-2.91%,(6.45%),(54.18%),-11.56%,-26.81%
Interest And Investment Income,6.42%,"1,875.53%",7.40%,(2.83%),(2.13%)
Net Interest Expenses,-3.04%,-20.97%,(71.34%),-13.57%,-31.87%
Currency Exchange Gains (Loss),,(42.19%),,,-84.88%
Other Non Operating Income (Expenses),,,,,"4,239.90%"
"EBT, Excl. Unusual Items",136.90%,(0.94%),5.68%,47.64%,85.22%
"EBT, Incl. Unusual Items",(76.52%),110.68%,(21.34%),36.58%,69.08%
Income Tax Expense,(31.42%),(40.48%),(77.50%),404.39%,371.73%
Earnings From Continuing Operations,(96.04%),"1,242.18%",(2.70%),8.35%,38.70%
Net Income to Company,(96.04%),"1,242.18%",(2.70%),8.35%,38.70%
Net Income,(96.04%),"1,242.18%",(2.70%),8.35%,38.70%
NI to Common Incl Extra Items,(96.04%),"1,242.18%",(2.70%),8.35%,38.70%
NI to Common Excl. Extra Items,(96.04%),"1,242.18%",(2.70%),8.35%,38.70%
Revenue Per Share,1.35%,0.24%,24.49%,2.68%,(4.66%)
Basic EPS,(96.05%),"1,384.64%",(2.16%),7.63%,37.97%
Basic EPS - Continuing Ops,(96.05%),"1,384.64%",(2.16%),7.63%,37.97%
Basic Weighted Average Shares Outst.,0.45%,(1.70%),0.10%,0.19%,0.53%
Diluted EPS,(96.33%),"1,375.00%",(3.39%),8.77%,38.59%
Diluted EPS - Continuing Ops,(96.33%),"1,375.00%",(3.39%),8.77%,38.59%
Diluted Weighted Average Shares Outst.,0.50%,(1.52%),0.80%,(0.41%),(0.08%)
Normalized Basic EPS,133.62%,0.89%,6.51%,47.90%,84.25%
Normalized Diluted EPS,130.91%,1.61%,4.36%,48.65%,85.38%
EBITDA,50.15%,(5.17%),21.19%,22.80%,22.08%
EBITA,59.58%,(5.32%),24.47%,25.49%,24.66%
EBIT,79.12%,(5.85%),17.98%,27.46%,29.26%
EBITDAR,,,,23.66%,
Effective Tax Rate,192.10%,(71.75%),(71.39%),269.25%,179.00%
Normalized Net Income,136.90%,(0.94%),5.68%,47.64%,85.22%
R&D Expense From Footnotes,(19.41%),4.90%,2.05%,(4.97%),(9.79%)
Foreign Sales,0.98%,5.45%,(6.45%),(2.66%),
