Income Statement,Jul 2017,Jul 2018,Jul 2019,Jul 2020,TTM
Revenues,6.83%,15.27%,4.05%,(9.25%),(7.63%)
Total Revenues,6.83%,15.27%,4.05%,(9.25%),(7.63%)
Cost Of Revenues,6.25%,15.95%,5.46%,(9.83%),(7.83%)
Gross Profit,7.94%,14.00%,1.34%,(8.09%),(7.23%)
Selling General & Admin Expenses,4.12%,12.04%,(0.06%),(5.57%),(6.72%)
R&D Expenses,(1.44%),9.51%,4.01%,(1.77%),(1.77%)
Total Operating Expenses,3.47%,11.76%,0.38%,(5.14%),(6.17%)
Operating Income,15.61%,17.43%,2.74%,(12.30%),(8.80%)
Interest Expense,-5.80%,(9.23%),-6.57%,-12.56%,-21.65%
Net Interest Expenses,-5.80%,(9.23%),-6.57%,-12.56%,-21.65%
Currency Exchange Gains (Loss),-14.89%,(85.00%),-33.78%,-4.08%,-72.60%
Other Non Operating Income (Expenses),130.23%,(44.44%),(10.00%),28.28%,(63.89%)
"EBT, Excl. Unusual Items",22.39%,12.92%,3.19%,(10.66%),(8.48%)
"EBT, Incl. Unusual Items",25.10%,12.92%,3.19%,(10.66%),(12.51%)
Income Tax Expense,33.93%,105.49%,(41.08%),(27.59%),(27.43%)
Earnings From Continuing Operations,22.01%,(22.55%),48.20%,(3.82%),(6.54%)
Net Income to Company,22.01%,(22.55%),48.20%,(3.82%),(6.54%)
Net Income,22.01%,(22.55%),48.20%,(3.82%),(6.54%)
NI to Common Incl Extra Items,22.01%,(22.55%),48.20%,(3.82%),(6.54%)
NI to Common Excl. Extra Items,22.01%,(22.55%),48.20%,(3.82%),(6.54%)
Revenue Per Share,7.82%,17.29%,5.69%,(8.23%),(7.08%)
Basic EPS,22.77%,(21.38%),50.91%,(2.63%),(5.99%)
Basic EPS - Continuing Ops,22.77%,(21.38%),50.91%,(2.63%),(5.99%)
Basic Weighted Average Shares Outst.,(0.90%),(1.73%),(1.53%),(1.09%),(0.59%)
Diluted EPS,22.54%,(21.84%),50.74%,(2.44%),(5.92%)
Diluted EPS - Continuing Ops,22.54%,(21.84%),50.74%,(2.44%),(5.92%)
Diluted Weighted Average Shares Outst.,(0.52%),(1.42%),(1.44%),(1.53%),(1.08%)
Normalized Basic EPS,23.39%,14.74%,5.04%,(9.79%),(7.94%)
Normalized Diluted EPS,23.01%,14.60%,4.63%,(9.28%),(7.48%)
Dividend Per Share,2.17%,4.23%,8.11%,5.00%,0.00%
Payout Ratio,(16.97%),32.33%,(28.96%),10.96%,9.16%
EBITDA,12.40%,14.52%,3.24%,(8.80%),(5.75%)
EBITA,15.61%,17.43%,2.74%,(12.30%),(8.91%)
EBIT,15.61%,17.43%,2.74%,(12.30%),(8.80%)
EBITDAR,12.44%,15.06%,2.11%,(7.92%),
Effective Tax Rate,7.08%,81.99%,(42.90%),(18.94%),(17.05%)
Normalized Net Income,22.39%,12.92%,3.19%,(10.66%),(8.48%)
R&D Expense From Footnotes,(1.44%),9.51%,4.01%,(1.77%),(1.77%)
Foreign Sales,7.71%,16.79%,2.41%,(7.89%),
