Income Statement,Jan 2017,Jan 2018,Feb 2019,Feb 2020,Jan 2021,TTM
Revenues,5083.8,5292.4,5671.6,5898.0,6783.2,6783.2
Total Revenues,5083.8,5292.4,5671.6,5898.0,6783.2,6783.2
Cost Of Revenues,3200.5,3360.6,3570.6,3758.9,4135.5,4135.5
Gross Profit,1883.3,1931.7,2101.0,2139.1,2647.6,2647.6
Selling General & Admin Expenses,1405.4,1474.7,1659.4,1673.2,1698.5,1698.5
Total Operating Expenses,1405.4,1474.7,1659.4,1673.2,1698.5,1698.5
Operating Income,477.9,457.0,441.6,465.8,949.1,949.1
Interest Expense,(0.7),(1.4),(6.7),(8.9),(16.2),(16.2)
Net Interest Expenses,(0.7),(1.4),(6.7),(8.9),(16.2),(16.2)
Currency Exchange Gains (Loss),(3.6),(3.2),4.0,0.0,0.0,0.0
"EBT, Excl. Unusual Items",473.7,452.4,438.9,457.0,932.9,932.9
"EBT, Incl. Unusual Items",471.9,452.4,429.2,457.0,894.5,894.5
Income Tax Expense,166.5,192.9,95.6,101.0,213.8,213.8
Earnings From Continuing Operations,305.4,259.5,333.7,356.1,680.7,680.7
Net Income to Company,305.4,259.5,333.7,356.1,680.7,680.7
Net Income,305.4,259.5,333.7,356.1,680.7,680.7
NI to Common Incl Extra Items,305.4,259.5,333.7,356.1,680.7,680.7
NI to Common Excl. Extra Items,305.4,259.5,333.7,356.1,680.7,680.7
Revenue Per Share,$57.38,$61.83,$69.66,$75.51,$87.80,$87.80
Basic EPS,$3.45,$3.03,$4.10,$4.56,$8.81,$8.81
Basic EPS - Continuing Ops,$3.45,$3.03,$4.10,$4.56,$8.81,$8.81
Basic Weighted Average Shares Outst.,88.6,85.6,81.4,78.1,77.3,77.3
Diluted EPS,$3.41,$3.02,$4.05,$4.49,$8.61,$8.61
Diluted EPS - Continuing Ops,$3.41,$3.02,$4.05,$4.49,$8.61,$8.61
Diluted Weighted Average Shares Outst.,89.5,86.1,82.3,79.2,79.1,79.1
Normalized Basic EPS,$3.34,$3.30,$3.37,$3.66,$7.55,$7.55
Normalized Diluted EPS,$3.31,$3.29,$3.33,$3.61,$7.38,$7.38
Dividend Per Share,$1.48,$1.56,$1.72,$1.92,$2.02,$2.02
Payout Ratio,43.73%,52.02%,42.05%,42.31%,23.16%,23.16%
EBITDA,651.1,640.1,630.4,653.6,1137.8,1137.8
EBITA,477.9,457.0,441.6,465.8,949.1,949.1
EBIT,477.9,457.0,441.6,465.8,949.1,949.1
EBITDAR,903.3,,,1050.5,1508.4,1508.4
Effective Tax Rate,35.3%,42.6%,22.3%,22.1%,23.9%,23.9%
Normalized Net Income,296.0,282.8,274.3,285.6,583.1,583.1
Foreign Sales,321.2,328.2,346.8,365.6,345.7,345.7
