Income Statement,Apr 2016,Apr 2017,Mar 2018,Mar 2019,Mar 2020,TTM
Revenues,4712.1,4494.0,4719.0,5238.0,5551.0,4055.0
Total Revenues,4712.1,4494.0,4719.0,5238.0,5551.0,4055.0
Cost Of Revenues,1914.9,1833.0,1860.0,2058.0,2188.0,1472.0
Gross Profit,2797.2,2661.0,2859.0,3180.0,3363.0,2583.0
Selling General & Admin Expenses,1428.0,1541.0,1767.0,2075.0,2439.0,2037.0
Depreciation & Amortization,183.2,220.0,208.0,225.0,249.0,221.0
Total Operating Expenses,1611.2,1761.0,1975.0,2300.0,2688.0,2258.0
Operating Income,1186.0,900.0,884.0,880.0,675.0,325.0
Interest Expense,(1.7),(4.0),(22.0),(38.0),(18.0),(38.0)
Net Interest Expenses,(1.7),(4.0),(22.0),(38.0),(18.0),(38.0)
Currency Exchange Gains (Loss),(4.8),(3.0),13.0,(80.0),(11.0),9.0
Other Non Operating Income (Expenses),1.0,2.0,2.0,4.0,6.0,6.0
"EBT, Excl. Unusual Items",1179.5,895.0,877.0,766.0,652.0,302.0
"EBT, Incl. Unusual Items",1172.3,689.0,742.0,621.0,(215.0),(401.0)
Income Tax Expense,334.6,137.0,150.0,79.0,10.0,32.0
Earnings From Continuing Operations,837.7,552.0,592.0,542.0,(225.0),(433.0)
Net Income to Company,837.7,552.0,592.0,542.0,(225.0),(433.0)
Minority Interest,1.4,1.0,,1.0,2.0,3.0
Net Income,839.1,553.0,592.0,543.0,(223.0),(430.0)
NI to Common Incl Extra Items,839.1,553.0,592.0,543.0,(223.0),(430.0)
NI to Common Excl. Extra Items,839.1,553.0,592.0,543.0,(223.0),(430.0)
Revenue Per Share,$25.29,$27.07,$30.99,$34.97,$36.83,$27.03
Basic EPS,$4.50,$3.33,$3.89,$3.63,($1.48),($2.87)
Basic EPS - Continuing Ops,$4.50,$3.33,$3.89,$3.63,($1.48),($2.87)
Basic Weighted Average Shares Outst.,186.3,166.0,152.3,149.8,150.7,150.0
Diluted EPS,$4.44,$3.29,$3.82,$3.58,($1.48),($2.87)
Diluted EPS - Continuing Ops,$4.44,$3.29,$3.82,$3.58,($1.48),($2.87)
Diluted Weighted Average Shares Outst.,189.1,168.1,155.1,151.6,150.7,150.0
Normalized Basic EPS,$3.96,$3.38,$3.60,$3.20,$2.72,$1.28
Normalized Diluted EPS,$3.91,$3.33,$3.53,$3.16,$2.72,$1.28
EBITDA,1369.2,1120.0,1092.0,1105.0,924.0,546.0
EBITA,1197.0,922.0,910.0,917.0,724.0,370.0
EBIT,1186.0,900.0,884.0,880.0,675.0,325.0
EBITDAR,1629.7,1453.0,1144.0,1147.0,1540.0,
Effective Tax Rate,28.5%,19.9%,20.2%,12.7%,NM,NM
Normalized Net Income,738.6,560.4,548.1,479.8,409.5,191.8
Foreign Sales,3721.8,3550.0,4719.0,5238.0,5551.0,
