Income Statement,Jun 2016,Jun 2017,Jun 2018,Jun 2019,Jun 2020,TTM
Revenues,499.0,563.0,643.0,714.0,738.7,799.0
Total Revenues,499.0,563.0,643.0,714.0,738.7,799.0
Cost Of Revenues,156.9,185.4,208.4,236.8,255.5,266.9
Gross Profit,342.1,377.6,434.6,477.2,483.2,532.0
Selling General & Admin Expenses,138.1,174.7,215.8,262.1,267.2,281.8
R&D Expenses,45.2,53.5,55.3,62.4,65.2,65.6
Total Operating Expenses,183.3,228.2,271.2,324.5,332.4,347.3
Operating Income,158.8,149.4,163.4,152.7,150.8,184.7
Interest Expense,(1.7),(7.4),(10.2),(21.7),(19.2),(17.1)
Interest And Investment Income,0.2,0.3,0.4,0.6,0.6,0.5
Net Interest Expenses,(1.5),(7.1),(9.8),(21.1),(18.6),(16.6)
Currency Exchange Gains (Loss),(1.1),(0.6),(0.2),(0.5),1.7,1.7
Other Non Operating Income (Expenses),(0.5),(0.9),(0.6),(0.7),(1.6),(1.5)
"EBT, Excl. Unusual Items",155.7,140.8,152.8,130.4,132.3,168.2
"EBT, Incl. Unusual Items",147.5,112.0,126.0,112.0,276.5,204.1
Income Tax Expense,43.0,35.9,(0.2),15.9,47.2,29.2
Earnings From Continuing Operations,104.5,76.1,126.2,96.1,229.3,174.8
Net Income to Company,104.5,76.1,126.2,96.1,229.3,174.8
Net Income,104.5,76.1,126.2,96.1,229.3,174.9
Preferred Dividend and Other Adjustments,0.1,0.1,0.1,0.1,0.2,0.0
NI to Common Incl Extra Items,104.4,76.0,126.0,96.0,229.1,174.9
NI to Common Excl. Extra Items,104.4,76.0,126.0,96.0,229.1,174.9
Revenue Per Share,$13.42,$15.09,$17.16,$18.90,$19.34,$20.78
Basic EPS,$2.81,$2.04,$3.36,$2.54,$6.00,$4.55
Basic EPS - Continuing Ops,$2.81,$2.04,$3.36,$2.54,$6.00,$4.55
Basic Weighted Average Shares Outst.,37.2,37.3,37.5,37.8,38.2,38.5
Diluted EPS,$2.80,$2.03,$3.31,$2.47,$5.82,$4.40
Diluted EPS - Continuing Ops,$2.80,$2.03,$3.31,$2.47,$5.82,$4.40
Diluted Weighted Average Shares Outst.,37.3,37.5,38.1,38.9,39.4,39.8
Normalized Basic EPS,$2.62,$2.36,$2.55,$2.16,$2.16,$2.74
Normalized Diluted EPS,$2.61,$2.35,$2.51,$2.10,$2.10,$2.65
Dividend Per Share,$1.28,$1.28,$1.28,$1.28,$1.28,$1.28
Payout Ratio,45.57%,62.20%,38.03%,50.34%,21.33%,28.16%
EBITDA,190.4,186.3,202.6,197.6,199.0,234.3
EBITA,177.1,170.7,185.1,178.0,177.1,211.8
EBIT,158.8,149.4,163.4,152.7,150.8,184.7
EBITDAR,198.5,196.1,213.4,210.5,215.4,
Effective Tax Rate,29.2%,32.0%,NM,14.2%,17.1%,14.3%
Normalized Net Income,97.3,88.0,95.5,81.5,82.7,105.3
Interest on Long-Term Debt,1.7,7.4,10.2,21.7,19.2,
R&D Expense From Footnotes,56.3,76.6,80.6,95.7,99.7,100.1
Foreign Sales,223.2,249.8,296.7,322.8,334.3,
