Income Statement,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Premiums and Annuity Revenues,2.55%,(0.62%),5.00%,14.20%,17.58%
Total Interest And Dividend Income,34.47%,43.47%,37.35%,(31.03%),(20.79%)
Gain (Loss) on Sale of Investments,(51.27%),,,58.18%,
Non-Insurance Activities Revenues,7.21%,0.68%,0.81%,28.63%,30.77%
Other Revenues,(53.69%),(28.22%),4.38%,101.62%,101.62%
Total Revenues,3.52%,(0.42%),7.90%,14.26%,21.99%
Policy Benefits,(7.82%),0.49%,(1.46%),29.92%,29.34%
Policy Acquisition / Underwriting Costs,3.43%,(3.41%),4.14%,16.55%,21.88%
Depreciation & Amortization,23.93%,2.59%,2.46%,15.47%,22.18%
Selling General & Admin Expenses,9.59%,10.02%,295.03%,6.31%,20.88%
Other Operating Expenses,10.18%,(13.83%),(9.91%),22.97%,19.28%
Total Operating Expenses,4.34%,(3.56%),2.98%,15.27%,18.39%
Operating Income,(4.55%),33.68%,46.47%,8.70%,44.15%
"Interest Expense, Total",(11.71%),(13.87%),(16.65%),(20.22%),(29.01%)
"EBT, Excl. Unusual Items",(5.64%),35.26%,48.48%,8.09%,45.02%
Gain (Loss) on Sale of Assets,,,,,0.00%
"EBT, Incl. Unusual Items",(6.75%),36.87%,48.48%,2.02%,38.45%
Income Tax Expense,(82.50%),469.46%,46.04%,14.14%,66.41%
Earnings From Continuing Operations,22.82%,12.81%,49.16%,(1.32%),31.21%
Net Income to Company,22.82%,12.81%,49.16%,(1.32%),31.21%
Minority Interest,,,(73.89%),(66.82%),(49.67%)
Net Income,23.34%,12.16%,49.09%,(1.55%),31.13%
NI to Common Incl Extra Items,23.34%,12.16%,49.09%,(1.55%),31.13%
NI to Common Excl. Extra Items,23.34%,12.16%,49.09%,(1.55%),31.13%
Revenue Per Share,2.48%,(1.26%),7.46%,14.59%,23.25%
Basic EPS,22.21%,11.17%,48.59%,(1.33%),32.49%
Basic EPS - Continuing Ops,22.21%,11.17%,48.59%,(1.33%),32.49%
Basic Weighted Average Shares Outst.,1.01%,0.85%,0.41%,(0.30%),(1.02%)
Diluted EPS,21.68%,11.44%,48.45%,(0.96%),33.18%
Diluted EPS - Continuing Ops,21.68%,11.44%,48.45%,(0.96%),33.18%
Diluted Weighted Average Shares Outst.,1.15%,0.75%,0.33%,(0.56%),(1.28%)
Normalized Basic EPS,(6.19%),33.22%,47.79%,8.16%,46.49%
Normalized Diluted EPS,(6.14%),32.96%,47.92%,8.34%,46.87%
Dividend Per Share,20.00%,11.11%,5.00%,5.95%,5.88%
Payout Ratio,(1.82%),(0.09%),(29.19%),7.08%,(20.22%)
EBITDA,0.09%,27.42%,39.33%,9.50%,41.38%
EBITA,(3.00%),33.67%,44.10%,9.96%,45.30%
EBIT,(4.55%),33.68%,46.47%,8.70%,44.15%
EBITDAR,0.02%,23.63%,38.62%,8.63%,
Effective Tax Rate,(81.23%),316.03%,(1.62%),11.86%,20.20%
Normalized Net Income,(5.09%),34.20%,48.38%,7.83%,45.00%
Interest on Long-Term Debt,,,,(7.85%),
Foreign Sales,(7.34%),6.04%,0.88%,13.64%,
