Income Statement,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,TTM
Revenues,850.1,174.8,220.1,285.6,380.6,429.6
Total Revenues,850.1,174.8,220.1,285.6,380.6,429.6
Cost Of Revenues,486.5,100.0,96.4,120.7,152.7,146.0
Gross Profit,363.6,74.8,123.7,164.9,227.9,283.6
Selling General & Admin Expenses,281.6,152.2,176.0,255.3,297.8,270.9
R&D Expenses,74.2,49.4,60.7,85.7,106.0,117.0
Other Operating Expense/(Income),0.1,(0.2),(0.0),,0.7,0.2
Total Operating Expenses,355.9,201.3,236.7,341.0,404.5,388.1
Operating Income,7.6,(126.5),(113.0),(176.1),(176.6),(104.6)
Interest Expense,(7.7),,,,,
Interest And Investment Income,,,0.5,18.8,15.4,2.1
Net Interest Expenses,(7.7),,0.5,18.8,15.4,2.1
Other Non Operating Income (Expenses),0.5,0.7,,,,(0.3)
"EBT, Excl. Unusual Items",0.4,(125.9),(112.5),(157.3),(161.2),(102.9)
"EBT, Incl. Unusual Items",(20.3),(130.8),(133.0),(179.4),(165.5),(107.7)
Income Tax Expense,(11.6),(45.2),(65.7),(45.4),(40.3),(45.4)
Earnings From Continuing Operations,(8.6),(85.6),(67.3),(133.9),(125.3),(62.3)
Earnings Of Discontinued Operations,15.4,89.7,90.8,1162.5,0.8,0.8
Net Income to Company,6.7,4.1,23.5,1028.5,(124.5),(61.6)
Net Income,6.7,4.1,23.5,1028.5,(124.5),(61.6)
NI to Common Incl Extra Items,6.7,4.1,23.5,1028.5,(124.5),(61.6)
NI to Common Excl. Extra Items,(8.6),(85.6),(67.3),(133.9),(125.3),(62.3)
Revenue Per Share,$10.95,$2.25,$2.79,$3.81,$5.62,$6.48
Basic EPS,$0.09,$0.05,$0.30,$13.71,($1.84),($0.93)
Basic EPS - Continuing Ops,($0.11),($1.10),($0.85),($1.79),($1.85),($0.94)
Basic Weighted Average Shares Outst.,77.6,77.6,78.9,75.0,67.8,66.3
Diluted EPS,$0.09,$0.05,$0.30,$13.71,($1.84),($0.93)
Diluted EPS - Continuing Ops,($0.11),($1.10),($0.85),($1.79),($1.85),($0.94)
Diluted Weighted Average Shares Outst.,77.6,77.6,78.9,75.0,67.8,66.3
Normalized Basic EPS,$0.00,($1.01),($0.89),($1.31),($1.49),($0.97)
Normalized Diluted EPS,$0.00,($1.01),($0.89),($1.31),($1.49),($0.97)
EBITDA,58.6,(108.5),(75.3),(146.1),(144.3),(75.2)
EBITA,13.1,(119.7),(89.1),(160.2),(157.6),(85.6)
EBIT,7.6,(126.5),(113.0),(176.1),(176.6),(104.6)
EBITDAR,75.7,(101.1),(65.8),(133.3),(134.2),
Effective Tax Rate,NM,NM,NM,NM,NM,NM
Normalized Net Income,0.3,(78.7),(70.3),(98.3),(100.7),(64.3)
Interest on Long-Term Debt,7.7,,,,,
R&D Expense From Footnotes,104.9,63.3,60.7,85.7,106.0,117.0
Foreign Sales,80.0,12.5,22.5,23.5,26.1,
