Income Statement,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Interest Income On Loans,(1.41%),7.61%,23.31%,57.04%,30.21%
Total Interest Income,0.23%,7.36%,14.54%,37.33%,18.74%
Interest On Deposits,18.37%,54.14%,56.04%,(7.98%),(30.04%)
Total Interest On Borrowings,251.51%,84.99%,(1.72%),(58.59%),(77.32%)
Total Interest Expense,40.16%,61.37%,40.52%,(17.49%),(38.09%)
Net Interest Income,(2.49%),2.06%,10.51%,48.14%,29.16%
Service Charges On Deposits,13.25%,(3.17%),(0.23%),15.80%,9.32%
Trust Income,13.30%,10.63%,0.48%,(6.15%),(5.06%)
Credit Card Fee,3.67%,2.54%,7.27%,16.30%,12.10%
Total Mortgage Banking Activities,(42.72%),(17.22%),49.21%,115.28%,91.83%
Gain (Loss) on Sale of Assets,,-60.70%,(140.13%),(205.18%),(131.69%)
Total Other Non Interest Income,(4.57%),2.26%,10.15%,(2.84%),(10.76%)
Total Non Interest Income,(1.51%),(0.53%),7.13%,5.84%,0.48%
Revenue Before Loan Losses,(2.34%),1.65%,9.98%,41.73%,25.13%
Provision For Loan Losses,(40.31%),14.14%,(73.70%),365.12%,455.56%
Total Revenues,(1.08%),1.40%,11.86%,40.03%,23.45%
Salaries And Other Employee Benefits,(1.53%),6.23%,9.50%,37.51%,24.03%
Amort. of Goodwill & Intang. Assets,(24.54%),(14.16%),9.70%,101.45%,48.43%
Occupancy Expense,(2.90%),3.97%,5.07%,29.74%,7.06%
Total Selling General & Admin Expenses,(13.35%),8.44%,4.19%,37.72%,30.54%
Total Other Non Interest Expense,1.15%,5.70%,14.51%,50.56%,17.26%
Total Non Interest Expense,(1.66%),4.19%,7.33%,39.72%,22.32%
"EBT, Excl. Unusual Items",(0.63%),(0.75%),15.53%,40.26%,24.30%
"EBT, Incl. Unusual Items",(0.63%),(0.75%),4.01%,53.87%,34.87%
Income Tax Expense,(0.21%),(39.34%),6.69%,34.01%,17.38%
Earnings From Continuing Operations,(0.84%),18.24%,3.34%,59.04%,39.47%
Net Income to Company,(0.84%),18.24%,3.34%,59.04%,39.47%
Net Income,(0.84%),18.24%,3.34%,59.04%,39.47%
Net Income to Common Incl Extra Items,(0.84%),18.24%,3.34%,59.04%,39.47%
Net Income to Common Excl. Extra Items,(0.84%),18.24%,3.34%,59.04%,39.47%
Revenue Per Share,(0.77%),0.91%,6.27%,10.58%,6.10%
Basic EPS,(0.59%),17.58%,(1.89%),25.74%,19.87%
Basic EPS - Continuing Ops,(0.59%),17.58%,(1.89%),25.74%,19.87%
Basic Weighted Average Shares Outst.,(0.27%),0.49%,5.30%,26.57%,16.35%
Diluted EPS,(0.59%),17.58%,(1.95%),25.66%,19.81%
Diluted EPS - Continuing Ops,(0.59%),17.58%,(1.95%),25.66%,19.81%
Diluted Weighted Average Shares Outst.,(0.28%),0.49%,5.30%,26.57%,16.35%
Normalized Basic EPS,(0.48%),(1.16%),9.64%,10.76%,6.83%
Normalized Diluted EPS,(0.48%),(1.16%),9.64%,10.76%,6.83%
Dividend Per Share,11.29%,7.97%,13.42%,10.65%,9.20%
Payout Ratio,12.13%,(8.22%),19.89%,(15.21%),
Effective Tax Rate,0.41%,(38.89%),2.59%,(12.90%),(12.97%)
Normalized Net Income,(0.63%),(0.75%),15.53%,40.26%,24.30%
Interest on Long-Term Debt,,,,411.44%,
