Income Statement,Jun 2017,Jun 2018,Jun 2019,Jun 2020,TTM
Revenues,0.90%,1.75%,6.94%,2.03%,4.87%
Total Revenues,0.90%,1.75%,6.94%,2.03%,4.87%
Cost Of Revenues,(0.94%),4.12%,6.76%,(0.53%),3.37%
Gross Profit,6.39%,(4.79%),7.48%,9.76%,9.14%
Selling General & Admin Expenses,8.94%,3.06%,15.32%,21.12%,15.85%
Total Operating Expenses,9.19%,3.40%,15.32%,20.78%,15.36%
Operating Income,4.65%,(10.12%),1.61%,0.40%,3.04%
Interest Expense,,,,,(28.07%)
Net Interest Expenses,,,,,(28.07%)
Other Non Operating Income (Expenses),"1,744.44%",128.49%,73.94%,(30.66%),(97.42%)
"EBT, Excl. Unusual Items",5.24%,(9.29%),2.69%,(0.43%),0.78%
"EBT, Incl. Unusual Items",(4.94%),(0.75%),12.25%,(8.42%),1.14%
Income Tax Expense,(4.24%),(35.40%),15.70%,(6.44%),1.61%
Earnings From Continuing Operations,(5.30%),17.34%,11.26%,(9.01%),0.99%
Net Income to Company,(5.30%),17.34%,11.26%,(9.01%),0.99%
Net Income,(5.30%),17.34%,11.26%,(9.01%),0.99%
Preferred Dividend and Other Adjustments,(19.01%),38.27%,(4.43%),7.34%,5.70%
NI to Common Incl Extra Items,(5.27%),17.31%,11.29%,(9.04%),0.98%
NI to Common Excl. Extra Items,(5.27%),17.31%,11.29%,(9.04%),0.98%
Revenue Per Share,0.76%,1.66%,6.80%,2.00%,4.49%
Basic EPS,(5.50%),17.06%,11.10%,(9.11%),0.61%
Basic EPS - Continuing Ops,(5.50%),17.06%,11.10%,(9.11%),0.61%
Basic Weighted Average Shares Outst.,0.15%,0.10%,0.13%,0.04%,0.37%
Diluted EPS,(5.41%),17.14%,10.98%,(8.97%),0.72%
Diluted EPS - Continuing Ops,(5.41%),17.14%,10.98%,(8.97%),0.72%
Diluted Weighted Average Shares Outst.,0.24%,0.07%,0.28%,(0.15%),0.15%
Normalized Basic EPS,5.12%,(9.46%),2.56%,(0.40%),0.41%
Normalized Diluted EPS,4.87%,(9.44%),2.45%,(0.33%),0.63%
Dividend Per Share,9.69%,9.30%,8.51%,7.84%,
Payout Ratio,15.61%,(6.76%),(2.35%),18.58%,
EBITDA,4.47%,(8.05%),3.86%,3.27%,5.25%
EBITA,4.87%,(9.67%),1.91%,0.64%,0.13%
EBIT,4.65%,(10.12%),1.61%,0.40%,3.04%
EBITDAR,4.85%,,,,
Effective Tax Rate,0.73%,(34.92%),3.09%,2.16%,0.46%
Normalized Net Income,5.24%,(9.29%),2.69%,(0.43%),0.78%
