Income Statement,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Revenues,5.70%,6.96%,8.75%,7.27%,4.96%
Total Revenues,5.70%,6.96%,8.75%,7.27%,4.96%
Cost Of Revenues,3.15%,6.70%,7.61%,4.32%,1.18%
Gross Profit,11.86%,7.52%,11.25%,13.60%,12.91%
Selling General & Admin Expenses,13.91%,(0.09%),11.00%,9.69%,18.02%
Depreciation & Amortization,3.53%,8.39%,6.26%,14.01%,10.28%
Total Operating Expenses,12.51%,0.97%,11.67%,11.71%,17.85%
Operating Income,10.93%,17.13%,10.71%,16.01%,7.11%
Interest Expense,(14.99%),(16.81%),-9.12%,-48.07%,-59.85%
Interest And Investment Income,11.49%,57.14%,(23.55%),47.56%,42.03%
Net Interest Expenses,(15.40%),(12.33%),-6.88%,-60.27%,-73.58%
Other Non Operating Income (Expenses),309.02%,(96.60%),"2,774.91%",(4.16%),
"EBT, Excl. Unusual Items",14.14%,12.73%,14.32%,16.52%,16.87%
"EBT, Incl. Unusual Items",(33.97%),104.93%,9.19%,51.37%,46.82%
Income Tax Expense,(72.57%),81.73%,22.40%,83.57%,68.23%
Earnings From Continuing Operations,(9.72%),109.36%,7.00%,45.26%,42.32%
Net Income to Company,(9.72%),109.36%,7.00%,45.26%,42.32%
Net Income,(9.72%),109.36%,7.00%,45.26%,42.32%
NI to Common Incl Extra Items,(9.72%),109.36%,7.00%,45.26%,42.32%
NI to Common Excl. Extra Items,(9.72%),109.36%,7.00%,45.26%,42.32%
Revenue Per Share,7.84%,6.94%,9.35%,7.37%,5.08%
Basic EPS,(7.92%),109.48%,7.59%,45.41%,42.49%
Basic EPS - Continuing Ops,(7.92%),109.48%,7.59%,45.41%,42.49%
Basic Weighted Average Shares Outst.,(1.99%),0.01%,(0.56%),(0.09%),(0.12%)
Diluted EPS,(9.57%),108.70%,8.83%,46.36%,43.87%
Diluted EPS - Continuing Ops,(9.57%),108.70%,8.83%,46.36%,43.87%
Diluted Weighted Average Shares Outst.,(0.28%),0.36%,(1.64%),(0.78%),(1.08%)
Normalized Basic EPS,16.50%,12.69%,14.91%,16.61%,17.01%
Normalized Diluted EPS,14.45%,12.29%,16.24%,17.49%,18.14%
Dividend Per Share,8.00%,7.41%,6.90%,6.45%,6.35%
Payout Ratio,17.02%,(48.68%),(0.91%),(26.69%),(25.31%)
EBITDA,9.67%,15.84%,11.99%,17.28%,8.31%
EBITA,10.79%,17.25%,12.30%,17.81%,8.20%
EBIT,10.93%,17.13%,10.71%,16.01%,7.11%
EBITDAR,,,,17.98%,
Effective Tax Rate,(58.45%),(11.33%),12.14%,21.31%,14.58%
Normalized Net Income,14.14%,12.73%,14.32%,16.52%,16.87%
