Income Statement,Jul 2016,Jul 2017,Jul 2018,Jul 2019,Jul 2020,TTM
Revenues,2220.3,2371.9,2734.2,2844.9,2581.8,2562.9
Total Revenues,2220.3,2371.9,2734.2,2844.9,2581.8,2562.9
Cost Of Revenues,1459.8,1551.0,1798.4,1896.6,1710.2,1691.9
Gross Profit,760.5,820.9,935.8,948.3,871.6,871.0
Selling General & Admin Expenses,425.1,442.6,495.9,495.6,468.0,463.5
R&D Expenses,55.5,54.7,59.9,62.3,61.2,61.2
Total Operating Expenses,480.6,497.3,555.8,557.9,529.2,524.7
Operating Income,279.9,323.6,380.0,390.4,342.4,346.3
Interest Expense,(20.7),(19.5),(21.3),(19.9),(17.4),(15.2)
Net Interest Expenses,(20.7),(19.5),(21.3),(19.9),(17.4),(15.2)
Currency Exchange Gains (Loss),(4.7),(4.0),(7.4),(4.9),(4.7),(2.0)
Other Non Operating Income (Expenses),8.6,19.8,11.0,9.9,12.7,5.2
"EBT, Excl. Unusual Items",263.1,322.0,363.6,375.2,335.2,336.6
"EBT, Incl. Unusual Items",257.4,322.0,363.6,375.2,335.2,321.8
Income Tax Expense,66.6,89.2,183.3,108.0,78.2,76.2
Earnings From Continuing Operations,190.8,232.8,180.3,267.2,257.0,245.6
Net Income to Company,190.8,232.8,180.3,267.2,257.0,245.6
Net Income,190.8,232.8,180.3,267.2,257.0,245.6
NI to Common Incl Extra Items,190.8,232.8,180.3,267.2,257.0,245.6
NI to Common Excl. Extra Items,190.8,232.8,180.3,267.2,257.0,245.6
Revenue Per Share,$16.59,$17.89,$20.98,$22.17,$20.35,$20.22
Basic EPS,$1.43,$1.76,$1.38,$2.08,$2.03,$1.94
Basic EPS - Continuing Ops,$1.43,$1.76,$1.38,$2.08,$2.03,$1.94
Basic Weighted Average Shares Outst.,133.8,132.6,130.3,128.3,126.9,126.8
Diluted EPS,$1.42,$1.74,$1.36,$2.05,$2.00,$1.91
Diluted EPS - Continuing Ops,$1.42,$1.74,$1.36,$2.05,$2.00,$1.91
Diluted Weighted Average Shares Outst.,134.8,134.1,132.2,130.3,128.3,128.0
Normalized Basic EPS,$1.23,$1.52,$1.74,$1.83,$1.65,$1.66
Normalized Diluted EPS,$1.22,$1.50,$1.72,$1.80,$1.63,$1.64
Dividend Per Share,$0.69,$0.71,$0.74,$0.80,$0.84,$0.84
Payout Ratio,47.80%,39.69%,52.52%,37.31%,41.40%,43.28%
EBITDA,354.8,398.8,456.7,471.5,430.0,437.7
EBITA,279.9,323.6,380.0,390.4,342.4,346.4
EBIT,279.9,323.6,380.0,390.4,342.4,346.3
EBITDAR,380.2,427.5,491.9,502.3,462.5,
Effective Tax Rate,25.9%,27.7%,50.4%,28.8%,23.3%,23.7%
Normalized Net Income,164.4,201.3,227.3,234.5,209.5,210.4
R&D Expense From Footnotes,55.5,54.7,59.9,62.3,61.2,61.2
Foreign Sales,1282.6,1381.5,1613.4,1652.3,1521.9,
