Income Statement,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Revenues,240.64%,8.35%,(9.56%),0.38%,(0.27%)
Other Revenues,"1,254.55%",,,,
Total Revenues,240.72%,8.31%,(9.56%),0.38%,(0.27%)
Cost Of Revenues,349.63%,3.72%,(6.26%),4.04%,2.29%
Gross Profit,144.49%,15.77%,(14.36%),(5.46%),(4.54%)
Selling General & Admin Expenses,237.90%,5.90%,(13.44%),2.52%,2.67%
R&D Expenses,295.62%,3.15%,(8.05%),(11.65%),(7.79%)
Total Operating Expenses,245.20%,5.50%,(12.68%),0.40%,1.16%
Operating Income,40.35%,41.87%,(17.54%),(17.21%),(16.73%)
Interest Expense,"(1,634.75%)",-65.36%,-22.57%,(219.31%),(180.72%)
Interest And Investment Income,,,25.93%,(45.59%),(45.59%)
Net Interest Expenses,"(1,634.75%)",,33.26%,(68.85%),(67.97%)
Currency Exchange Gains (Loss),,(350.00%),,,
Other Non Operating Income (Expenses),,-97.04%,,603.28%,
"EBT, Excl. Unusual Items",32.95%,46.00%,(12.27%),(18.00%),(12.32%)
"EBT, Incl. Unusual Items",(39.78%),(56.37%),412.68%,(15.01%),2.51%
Income Tax Expense,,-63.03%,,(22.29%),(29.41%)
Earnings From Continuing Operations,8.81%,(58.05%),250.90%,(14.02%),7.94%
Net Income to Company,8.81%,(58.05%),250.90%,(14.02%),7.94%
Net Income,8.81%,(58.05%),250.90%,(14.02%),7.94%
NI to Common Incl Extra Items,8.81%,(58.05%),250.90%,(14.02%),7.94%
NI to Common Excl. Extra Items,8.81%,(58.05%),250.90%,(14.02%),7.94%
Revenue Per Share,180.91%,4.17%,(10.59%),(0.96%),(1.73%)
Basic EPS,(10.26%),(59.66%),247.36%,(15.20%),6.36%
Basic EPS - Continuing Ops,(10.26%),(59.66%),247.36%,(15.20%),6.36%
Basic Weighted Average Shares Outst.,21.31%,3.98%,1.15%,1.35%,1.48%
Diluted EPS,(10.11%),(59.57%),252.63%,(14.29%),7.41%
Diluted EPS - Continuing Ops,(10.11%),(59.57%),252.63%,(14.29%),7.41%
Diluted Weighted Average Shares Outst.,20.89%,3.56%,(0.26%),0.21%,0.48%
Normalized Basic EPS,9.51%,40.32%,(13.33%),(19.12%),(13.60%)
Normalized Diluted EPS,10.11%,40.80%,(11.98%),(18.19%),(12.74%)
EBITDA,74.09%,32.28%,(11.92%),(8.04%),(7.83%)
EBITA,51.23%,38.83%,(15.67%),(12.47%),(26.25%)
EBIT,40.35%,41.87%,(17.54%),(17.21%),(16.73%)
EBITDAR,,,,(7.22%),
Effective Tax Rate,,,,(8.58%),(31.14%)
Normalized Net Income,32.95%,46.00%,(12.27%),(18.00%),(12.32%)
Interest on Long-Term Debt,"1,634.75%",(65.36%),(22.57%),219.31%,
R&D Expense From Footnotes,295.62%,3.15%,(8.05%),(11.65%),(7.79%)
Foreign Sales,165.62%,10.49%,(0.72%),5.11%,
