Income Statement,Jun 2016,Jun 2017,Jun 2018,Jun 2019,Jun 2020,TTM
Revenues,2098.4,2058.4,2367.9,2375.2,1885.3,1704.5
Total Revenues,2098.4,2058.4,2367.9,2375.2,1885.3,1704.5
Cost Of Revenues,1475.1,1405.8,1544.2,1541.2,1340.8,1213.7
Gross Profit,623.4,652.6,823.6,834.0,544.5,490.8
Selling General & Admin Expenses,478.8,483.3,485.4,459.6,372.8,351.5
Total Operating Expenses,499.5,499.8,500.1,474.0,386.6,364.9
Operating Income,123.8,152.8,323.5,360.0,157.8,125.9
Interest Expense,(27.8),(28.8),(30.1),(33.0),(35.2),(51.1)
Net Interest Expenses,(27.8),(28.8),(30.1),(33.0),(35.2),(51.1)
Currency Exchange Gains (Loss),1.6,(6.7),(6.4),(2.7),(3.4),(3.2)
Other Non Operating Income (Expenses),2.5,40.9,3.9,3.8,2.7,3.4
"EBT, Excl. Unusual Items",100.2,158.1,290.9,328.1,121.9,75.0
"EBT, Incl. Unusual Items",(198.6),81.9,275.0,311.2,2.0,22.0
Income Tax Expense,25.3,29.9,70.0,63.4,7.0,8.1
Earnings From Continuing Operations,(223.9),52.0,205.1,247.9,(5.0),13.9
Net Income to Company,(223.9),52.0,205.1,247.9,(5.0),13.9
Minority Interest,(2.1),(2.8),(4.9),(6.0),(0.6),(3.7)
Net Income,(226.0),49.1,200.2,241.9,(5.7),10.2
NI to Common Incl Extra Items,(226.0),49.1,200.2,241.9,(5.7),10.2
NI to Common Excl. Extra Items,(226.0),49.1,200.2,241.9,(5.7),10.2
Revenue Per Share,$26.28,$25.62,$29.04,$28.83,$22.70,$20.43
Basic EPS,($2.83),$0.61,$2.45,$2.94,($0.07),$0.12
Basic EPS - Continuing Ops,($2.83),$0.61,$2.45,$2.94,($0.07),$0.12
Basic Weighted Average Shares Outst.,79.8,80.4,81.5,82.4,83.0,83.4
Diluted EPS,($2.83),$0.61,$2.42,$2.90,($0.07),$0.12
Diluted EPS - Continuing Ops,($2.83),$0.61,$2.42,$2.90,($0.07),$0.12
Diluted Weighted Average Shares Outst.,79.8,81.2,82.8,83.3,83.0,83.5
Normalized Basic EPS,$0.76,$1.19,$2.17,$2.42,$0.91,$0.52
Normalized Diluted EPS,$0.76,$1.18,$2.14,$2.39,$0.91,$0.52
Dividend Per Share,$0.80,$0.80,$0.80,$0.80,$0.80,$0.80
Payout Ratio,NM,130.51%,32.52%,27.18%,NM,651.16%
EBITDA,241.3,260.4,432.2,472.1,277.7,250.0
EBITA,144.6,169.3,338.2,374.4,171.6,139.4
EBIT,123.8,152.8,323.5,360.0,157.8,125.9
EBITDAR,269.9,286.7,458.8,498.7,300.3,
Effective Tax Rate,NM,36.5%,25.4%,20.4%,357.5%,36.7%
Normalized Net Income,60.5,96.0,177.0,199.1,75.6,43.2
R&D Expense From Footnotes,39.4,38.0,38.9,39.0,38.7,37.1
Foreign Sales,1232.2,1189.9,1397.9,1361.0,1107.3,
