Income Statement,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Revenues,(11.85%),11.22%,(0.64%),13.25%,30.79%
Total Revenues,(11.85%),11.22%,(0.64%),13.25%,30.79%
Cost Of Revenues,(12.03%),12.54%,(1.68%),10.56%,27.76%
Gross Profit,(11.26%),6.87%,3.00%,22.18%,40.59%
Selling General & Admin Expenses,7.31%,8.89%,(1.47%),20.06%,37.24%
Total Operating Expenses,7.31%,8.89%,(1.47%),20.06%,37.24%
Operating Income,(36.36%),2.29%,13.84%,26.61%,47.23%
Interest Expense,(5.51%),(2.69%),(10.98%),(9.31%),(39.38%)
Interest And Investment Income,(12.50%),342.86%,254.84%,80.91%,80.91%
Net Interest Expenses,(5.77%),-1.36%,-2.07%,-4.59%,(30.28%)
Currency Exchange Gains (Loss),,,,25.30%,42.17%
Other Non Operating Income (Expenses),(81.58%),(18.84%),(69.51%),(67.63%),(88.71%)
"EBT, Excl. Unusual Items",(48.52%),3.14%,24.49%,34.46%,48.97%
"EBT, Incl. Unusual Items",(50.62%),(9.03%),7.47%,27.06%,59.71%
Income Tax Expense,(98.68%),"1,700.00%",134.03%,(84.57%),(55.98%)
Earnings From Continuing Operations,(33.15%),(21.33%),(13.39%),76.75%,109.04%
Earnings Of Discontinued Operations,"(13,958.33%)",,611.65%,,
Net Income to Company,,,269.15%,(77.34%),(69.09%)
Minority Interest,,,,(800.00%),"(2,100.00%)"
Net Income,,,268.34%,(77.64%),(69.46%)
NI to Common Incl Extra Items,,,268.34%,(77.64%),(69.46%)
NI to Common Excl. Extra Items,(33.29%),(20.99%),(13.91%),74.83%,106.73%
Revenue Per Share,(9.27%),13.74%,2.58%,(2.96%),13.57%
Basic EPS,,,279.32%,(80.83%),(73.48%)
Basic EPS - Continuing Ops,(31.21%),(19.09%),(11.09%),49.49%,79.52%
Basic Weighted Average Shares Outst.,(2.86%),(2.21%),(3.14%),16.71%,15.16%
Diluted EPS,,,280.58%,(80.77%),(73.41%)
Diluted EPS - Continuing Ops,(31.12%),(19.26%),(11.01%),50.52%,81.03%
Diluted Weighted Average Shares Outst.,(2.96%),(2.07%),(3.36%),16.60%,15.22%
Normalized Basic EPS,(47.15%),6.46%,27.49%,14.18%,27.68%
Normalized Diluted EPS,(47.23%),5.53%,28.01%,13.55%,27.61%
Dividend Per Share,16.00%,24.14%,9.44%,3.80%,4.34%
Payout Ratio,,,(70.82%),429.09%,308.37%
EBITDA,(35.50%),3.79%,12.10%,31.04%,53.43%
EBITA,(33.16%),4.15%,14.06%,29.14%,47.26%
EBIT,(36.36%),2.29%,13.84%,26.61%,47.23%
EBITDAR,,,,30.90%,
Effective Tax Rate,(97.32%),"1,892.30%",117.70%,(87.85%),(72.44%)
Normalized Net Income,(48.66%),3.68%,23.74%,32.84%,47.03%
R&D Expense From Footnotes,(10.12%),9.49%,2.02%,18.18%,18.18%
Foreign Sales,(1.68%),16.23%,(2.66%),24.58%,
