Income Statement,Dec 2016,Dec 2017,Dec 2018,Dec 2019,Jan 2021,TTM
Revenues,697.6,768.9,868.3,837.6,886.7,927.3
Total Revenues,697.6,768.9,868.3,837.6,886.7,927.3
Cost Of Revenues,276.1,314.7,346.9,327.3,359.2,378.4
Gross Profit,421.5,454.2,521.4,510.3,527.5,548.9
Selling General & Admin Expenses,155.5,159.7,197.8,196.4,199.8,197.8
R&D Expenses,199.7,209.5,238.3,257.2,287.9,293.1
Total Operating Expenses,355.2,369.2,436.2,453.6,487.7,490.9
Operating Income,66.3,85.0,85.2,56.7,39.8,58.0
Interest Expense,(2.6),(14.1),(19.7),(20.2),(34.1),(39.9)
Interest And Investment Income,0.9,6.1,6.7,13.0,8.8,8.5
Net Interest Expenses,(1.7),(8.1),(13.0),(7.3),(25.3),(31.5)
Currency Exchange Gains (Loss),(0.1),,,,,
"EBT, Excl. Unusual Items",64.5,76.9,72.2,49.4,14.5,26.5
"EBT, Incl. Unusual Items",64.5,76.9,72.2,49.6,15.3,27.4
Income Tax Expense,3.0,29.8,(11.4),30.4,2.8,3.6
Earnings From Continuing Operations,61.5,47.1,83.6,19.3,12.5,23.8
Net Income to Company,61.5,47.1,83.6,19.3,12.5,23.8
Net Income,61.5,47.1,83.6,19.3,12.5,23.8
NI to Common Incl Extra Items,61.5,47.1,83.6,19.3,12.5,23.8
NI to Common Excl. Extra Items,61.5,47.1,83.6,19.3,12.5,23.8
Revenue Per Share,$16.72,$18.11,$20.12,$19.32,$20.26,$21.12
Basic EPS,$1.47,$1.11,$1.94,$0.44,$0.29,$0.54
Basic EPS - Continuing Ops,$1.47,$1.11,$1.94,$0.44,$0.29,$0.54
Basic Weighted Average Shares Outst.,41.7,42.4,43.2,43.3,43.8,43.9
Diluted EPS,$1.45,$1.09,$1.90,$0.43,$0.28,$0.53
Diluted EPS - Continuing Ops,$1.45,$1.09,$1.90,$0.43,$0.28,$0.53
Diluted Weighted Average Shares Outst.,42.4,43.3,44.0,44.3,44.4,44.7
Normalized Basic EPS,$0.97,$1.13,$1.05,$0.71,$0.21,$0.38
Normalized Diluted EPS,$0.95,$1.11,$1.02,$0.70,$0.20,$0.37
EBITDA,107.2,127.0,145.2,113.2,102.3,122.7
EBITA,93.6,112.1,123.2,96.2,84.5,102.7
EBIT,66.3,85.0,85.2,56.7,39.8,58.0
EBITDAR,111.9,132.5,151.2,119.0,107.9,
Effective Tax Rate,4.7%,38.8%,NM,61.2%,18.1%,13.0%
Normalized Net Income,40.3,48.1,45.1,30.9,9.1,16.6
Interest on Long-Term Debt,,14.6,18.4,19.0,27.0,
R&D Expense From Footnotes,199.7,209.5,238.3,257.2,287.9,293.1
Foreign Sales,603.0,656.3,718.9,727.1,794.5,
