Income Statement,Oct 2016,Oct 2017,Oct 2018,Oct 2019,Oct 2020,TTM
Revenues,1809.0,2067.0,2254.7,2194.2,2121.1,2152.8
Total Revenues,1809.0,2067.0,2254.7,2194.2,2121.1,2152.8
Cost Of Revenues,815.5,927.7,1018.3,1002.1,990.6,995.5
Gross Profit,993.5,1139.3,1236.3,1192.1,1130.5,1157.2
Selling General & Admin Expenses,594.3,681.6,738.2,712.5,703.6,695.1
Total Operating Expenses,594.3,681.6,738.2,712.5,703.6,695.1
Operating Income,399.2,457.7,498.1,479.6,426.9,462.1
Interest Expense,(21.3),(36.6),(49.6),(47.1),(32.2),(29.4)
Interest And Investment Income,0.7,1.1,1.4,1.8,1.7,1.5
Net Interest Expenses,(20.6),(35.5),(48.2),(45.3),(30.5),(27.9)
Currency Exchange Gains (Loss),2.0,(0.7),1.1,0.1,(1.5),(4.3)
Other Non Operating Income (Expenses),(2.1),(1.3),(5.0),(3.3),(6.0),(6.3)
"EBT, Excl. Unusual Items",378.5,420.3,446.0,431.1,388.9,423.6
"EBT, Incl. Unusual Items",368.5,420.3,448.5,431.1,301.5,336.2
Income Tax Expense,96.7,124.5,71.1,94.0,52.0,61.1
Earnings From Continuing Operations,271.8,295.8,377.4,337.1,249.5,275.1
Net Income to Company,271.8,295.8,377.4,337.1,249.5,275.1
Net Income,271.8,295.8,377.4,337.1,249.5,275.1
NI to Common Incl Extra Items,271.8,295.8,377.4,337.1,249.5,275.1
NI to Common Excl. Extra Items,271.8,295.8,377.4,337.1,249.5,275.1
Revenue Per Share,$31.70,$35.93,$38.89,$38.19,$36.72,$37.21
Basic EPS,$4.76,$5.14,$6.51,$5.87,$4.32,$4.76
Basic EPS - Continuing Ops,$4.76,$5.14,$6.51,$5.87,$4.32,$4.76
Basic Weighted Average Shares Outst.,57.1,57.5,58.0,57.5,57.8,57.9
Diluted EPS,$4.73,$5.08,$6.40,$5.79,$4.27,$4.70
Diluted EPS - Continuing Ops,$4.73,$5.08,$6.40,$5.79,$4.27,$4.70
Diluted Weighted Average Shares Outst.,57.5,58.2,58.9,58.2,58.5,58.5
Normalized Basic EPS,$4.15,$4.57,$4.81,$4.69,$4.21,$4.58
Normalized Diluted EPS,$4.11,$4.51,$4.73,$4.63,$4.16,$4.52
Dividend Per Share,$0.99,$1.11,$1.25,$1.43,$1.53,$1.54
Payout Ratio,20.76%,21.58%,19.20%,24.37%,35.40%,32.39%
EBITDA,469.5,548.6,606.5,589.8,540.2,572.8
EBITA,428.3,502.6,553.5,534.4,483.8,516.0
EBIT,399.2,457.7,498.1,479.6,426.9,462.1
EBITDAR,487.6,566.5,625.6,611.9,564.7,
Effective Tax Rate,26.2%,29.6%,15.9%,21.8%,17.2%,18.2%
Normalized Net Income,236.5,262.7,278.8,269.4,243.0,264.7
Interest on Long-Term Debt,21.3,36.6,49.6,47.1,32.2,
R&D Expense From Footnotes,46.2,52.5,58.8,60.0,63.6,63.6
Foreign Sales,1277.9,1419.3,1533.8,1435.8,1365.5,
