Income Statement,Nov 2017,Nov 2018,Nov 2019,Nov 2020,TTM
Revenues,19.27%,17.87%,20.18%,3.87%,13.04%
Total Revenues,19.27%,17.87%,20.18%,3.87%,13.04%
Cost Of Revenues,19.12%,17.21%,16.92%,4.28%,12.16%
Gross Profit,20.76%,24.37%,50.39%,0.89%,20.17%
Selling General & Admin Expenses,24.24%,32.08%,45.76%,(3.75%),16.04%
Total Operating Expenses,16.69%,32.08%,45.76%,(3.75%),16.04%
Operating Income,30.09%,8.54%,61.98%,11.31%,28.76%
Interest Expense,(73.30%),(101.19%),(108.70%),-26.58%,-10.70%
Net Interest Expenses,(73.30%),(101.19%),(108.70%),-26.58%,-10.70%
Currency Exchange Gains (Loss),(36.10%),(196.21%),,86.11%,65.40%
Other Non Operating Income (Expenses),-1.58%,(150.72%),(60.55%),(92.83%),(83.53%)
"EBT, Excl. Unusual Items",28.12%,(1.41%),59.91%,17.80%,35.09%
"EBT, Incl. Unusual Items",30.06%,(1.41%),48.43%,3.89%,15.96%
Income Tax Expense,34.53%,(3.85%),13.02%,(1.19%),22.74%
Earnings From Continuing Operations,27.76%,(0.09%),66.91%,5.68%,13.76%
Earnings Of Discontinued Operations,,,,,0.00%
Net Income to Company,27.76%,(0.09%),66.91%,5.68%,(7.79%)
Net Income,27.79%,(0.09%),66.91%,5.68%,(7.79%)
Preferred Dividend and Other Adjustments,15.01%,(1.94%),68.37%,28.11%,(0.09%)
NI to Common Incl Extra Items,27.92%,(0.07%),66.90%,5.47%,(7.87%)
NI to Common Excl. Extra Items,27.92%,(0.07%),66.90%,5.47%,13.92%
Revenue Per Share,18.56%,13.13%,(2.24%),3.39%,12.40%
Basic EPS,27.24%,(4.09%),35.80%,5.01%,(8.39%)
Basic EPS - Continuing Ops,27.24%,(4.09%),35.80%,5.01%,13.28%
Basic Weighted Average Shares Outst.,0.60%,4.19%,22.94%,0.46%,0.56%
Diluted EPS,27.25%,(4.12%),35.85%,4.86%,(8.64%)
Diluted EPS - Continuing Ops,27.25%,(4.12%),35.85%,4.86%,12.96%
Diluted Weighted Average Shares Outst.,0.58%,4.26%,22.88%,0.59%,0.60%
Normalized Basic EPS,27.48%,(5.41%),30.15%,17.22%,34.33%
Normalized Diluted EPS,27.50%,(5.44%),30.22%,17.10%,34.28%
Dividend Per Share,23.53%,33.33%,7.14%,(73.33%),(86.89%)
Payout Ratio,(2.95%),42.91%,(23.16%),(74.33%),(85.70%)
EBITDA,30.50%,16.30%,62.91%,5.57%,12.07%
EBITA,31.66%,15.09%,63.33%,7.06%,25.73%
EBIT,30.09%,8.54%,61.98%,11.31%,28.76%
EBITDAR,26.93%,16.63%,66.72%,7.54%,
Effective Tax Rate,3.43%,(2.48%),(23.86%),(4.90%),5.84%
Normalized Net Income,28.15%,(1.41%),59.91%,17.80%,35.09%
Foreign Sales,19.64%,24.93%,42.84%,4.94%,
