Income Statement,Dec 2016,Dec 2017,Dec 2018,Dec 2019,Jan 2021,TTM
Revenues,1164.9,1306.9,1514.1,1413.3,1378.1,1309.6
Total Revenues,1164.9,1306.9,1514.1,1413.3,1378.1,1309.6
Cost Of Revenues,579.4,614.3,647.7,625.2,577.0,521.0
Gross Profit,585.5,692.6,866.4,788.1,801.1,788.6
Selling General & Admin Expenses,384.7,412.0,477.4,493.8,548.2,556.0
Total Operating Expenses,384.7,412.0,477.4,493.8,548.2,556.0
Operating Income,200.8,280.6,389.0,294.3,252.9,232.6
Interest Expense,(115.2),(112.8),(142.3),(135.3),(123.3),(120.9)
Net Interest Expenses,(115.2),(112.8),(142.3),(135.3),(123.3),(120.9)
Currency Exchange Gains (Loss),(1.5),(0.5),,,,
Other Non Operating Income (Expenses),,,(2.6),(1.8),(0.3),(0.1)
"EBT, Excl. Unusual Items",84.1,167.4,244.1,157.3,129.3,111.6
"EBT, Incl. Unusual Items",84.1,145.1,244.1,151.0,92.5,73.2
Income Tax Expense,16.6,(18.2),20.5,31.5,17.5,10.3
Earnings From Continuing Operations,67.5,163.3,223.6,119.4,75.0,62.9
Net Income to Company,67.5,163.3,223.6,119.4,75.0,62.9
Minority Interest,0.2,0.2,0.2,0.2,0.0,0.0
Net Income,67.7,163.5,223.7,119.6,75.1,62.9
NI to Common Incl Extra Items,67.7,163.5,223.7,119.6,75.1,62.9
NI to Common Excl. Extra Items,67.7,163.5,223.7,119.6,75.1,62.9
Revenue Per Share,$18.28,$20.32,$22.84,$21.04,$20.31,$19.18
Basic EPS,$1.06,$2.54,$3.38,$1.78,$1.11,$0.92
Basic EPS - Continuing Ops,$1.06,$2.54,$3.38,$1.78,$1.11,$0.92
Basic Weighted Average Shares Outst.,63.7,64.3,66.3,67.2,67.8,68.3
Diluted EPS,$1.03,$2.40,$3.19,$1.72,$1.07,$0.89
Diluted EPS - Continuing Ops,$1.03,$2.40,$3.19,$1.72,$1.07,$0.89
Diluted Weighted Average Shares Outst.,65.9,68.2,70.1,69.6,70.0,70.4
Normalized Basic EPS,$0.83,$1.63,$2.30,$1.47,$1.19,$1.02
Normalized Diluted EPS,$0.80,$1.54,$2.18,$1.42,$1.15,$0.99
Payout Ratio,0.02%,,,,,
EBITDA,253.4,331.5,433.0,339.3,303.6,283.7
EBITA,236.6,316.7,418.0,323.6,282.7,232.6
EBIT,200.8,280.6,389.0,294.3,252.9,232.6
EBITDAR,294.4,373.8,477.2,390.6,352.3,
Effective Tax Rate,19.8%,NM,8.4%,20.9%,18.9%,14.1%
Normalized Net Income,52.8,104.8,152.7,98.5,80.8,69.8
Interest on Long-Term Debt,115.2,123.9,142.3,135.3,123.3,
Foreign Sales,421.2,460.7,8.4,27.5,20.4,
