Income Statement,Jan 2017,Feb 2018,Feb 2019,Feb 2020,Jan 2021,TTM
Revenues,3609.9,3795.5,4035.7,4308.2,3759.1,3759.1
Total Revenues,3609.9,3795.5,4035.7,4308.2,3759.1,3759.1
Cost Of Revenues,2242.9,2423.4,2548.1,2785.9,2611.0,2611.0
Gross Profit,1366.9,1372.2,1487.6,1522.3,1148.1,1148.1
Selling General & Admin Expenses,857.6,879.7,980.6,1029.4,977.3,977.3
Depreciation & Amortization,155.2,161.4,166.3,174.8,160.2,160.2
Total Operating Expenses,1012.8,1041.1,1146.9,1204.2,1137.5,1137.5
Operating Income,354.1,331.1,340.7,318.1,10.7,10.7
Interest Expense,,,,,(24.6),(24.6)
Interest And Investment Income,,,3.5,6.2,,
Net Interest Expenses,,,3.5,6.2,(24.6),(24.6)
Currency Exchange Gains (Loss),,,4.5,5.7,3.7,3.7
Other Non Operating Income (Expenses),3.8,(7.7),,,,
"EBT, Excl. Unusual Items",357.9,323.4,348.7,330.1,(10.2),(10.2)
"EBT, Incl. Unusual Items",335.3,287.2,345.1,245.3,(292.3),(292.3)
Income Tax Expense,122.8,83.0,83.2,54.0,(83.0),(83.0)
Earnings From Continuing Operations,212.4,204.2,261.9,191.3,(209.3),(209.3)
Net Income to Company,212.4,204.2,261.9,191.3,(209.3),(209.3)
Net Income,212.4,204.2,261.9,191.3,(209.3),(209.3)
NI to Common Incl Extra Items,212.4,204.2,261.9,191.3,(209.3),(209.3)
NI to Common Excl. Extra Items,212.4,204.2,261.9,191.3,(209.3),(209.3)
Revenue Per Share,$19.90,$21.33,$22.87,$25.39,$22.58,$22.58
Basic EPS,$1.17,$1.15,$1.48,$1.13,($1.26),($1.26)
Basic EPS - Continuing Ops,$1.17,$1.15,$1.48,$1.13,($1.26),($1.26)
Basic Weighted Average Shares Outst.,181.4,177.9,176.5,169.7,166.5,166.5
Diluted EPS,$1.16,$1.13,$1.47,$1.12,($1.26),($1.26)
Diluted EPS - Continuing Ops,$1.16,$1.13,$1.47,$1.12,($1.26),($1.26)
Diluted Weighted Average Shares Outst.,183.8,180.2,178.0,170.9,166.5,166.5
Normalized Basic EPS,$1.23,$1.14,$1.23,$1.22,($0.04),($0.04)
Normalized Diluted EPS,$1.22,$1.12,$1.22,$1.21,($0.04),($0.04)
Dividend Per Share,$0.50,$0.50,$0.55,$0.55,$0.14,$0.14
Payout Ratio,42.68%,43.37%,37.08%,48.51%,NM,NM
EBITDA,510.8,494.5,509.2,495.2,174.1,174.1
EBITA,358.1,335.6,344.9,322.3,14.4,14.4
EBIT,354.1,331.1,340.7,318.1,10.7,10.7
EBITDAR,824.4,829.5,844.8,984.7,608.2,608.2
Effective Tax Rate,36.6%,28.9%,24.1%,22.0%,NM,NM
Normalized Net Income,223.7,202.1,217.9,206.3,(6.4),(6.4)
Interest on Long-Term Debt,,,,,24.4,24.4
Foreign Sales,449.2,500.5,524.5,597.9,464.1,464.1
