Income Statement,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Revenues,,,,14.34%,(9.78%)
Total Revenues,,,,14.34%,(9.78%)
Cost Of Revenues,,,,(15.54%),(32.06%)
Gross Profit,,,,23.28%,(3.58%)
Selling General & Admin Expenses,"4,953.32%",6.61%,155.67%,(53.43%),(49.39%)
Depreciation & Amortization,,,,13.89%,(6.01%)
Other Operating Expense/(Income),,,,25.47%,(15.48%)
Total Operating Expenses,"4,953.32%",6.61%,529.94%,(10.56%),(23.92%)
Operating Income,,(6.61%),,48.04%,9.30%
Interest Expense,,,"(81,077.94%)",(33.16%),(7.35%)
Net Interest Expenses,,,"(81,077.94%)",(33.16%),(7.35%)
"EBT, Excl. Unusual Items",77.22%,246.04%,221.94%,56.49%,13.27%
"EBT, Incl. Unusual Items",77.22%,246.04%,,-61.05%,
Income Tax Expense,309.11%,23.04%,,-45.65%,
Earnings From Continuing Operations,(76.06%),"2,764.86%",,-65.50%,
Net Income to Company,(76.06%),"2,764.86%",,-65.50%,
Net Income,(76.06%),"2,764.86%",,-65.50%,
Preferred Dividend and Other Adjustments,,,(91.56%),24.43%,(0.18%)
NI to Common Incl Extra Items,(33.27%),847.10%,,-65.38%,
NI to Common Excl. Extra Items,(33.27%),847.10%,,-65.38%,
Revenue Per Share,,,,5.78%,(5.38%)
Basic EPS,,998.66%,,-67.83%,
Basic EPS - Continuing Ops,,998.66%,,-67.83%,
Basic Weighted Average Shares Outst.,,0.01%,137.72%,8.05%,(4.65%)
Diluted EPS,,998.66%,,-67.50%,
Diluted EPS - Continuing Ops,,998.66%,,-67.50%,
Diluted Weighted Average Shares Outst.,,0.01%,137.72%,8.05%,(4.53%)
Normalized Basic EPS,,232.03%,36.26%,44.72%,18.79%
Normalized Diluted EPS,,232.03%,36.26%,44.72%,18.64%
Dividend Per Share,,238.13%,126.85%,0.00%,(6.71%)
Payout Ratio,,(81.15%),,,
EBITDA,,,,39.28%,5.48%
EBITA,,(6.61%),,44.86%,7.77%
EBIT,,(6.61%),,48.04%,9.30%
Effective Tax Rate,130.82%,(64.45%),(31.44%),,1.82%
Normalized Net Income,77.22%,246.04%,221.94%,56.49%,13.27%
