Income Statement,Sep 2016,Sep 2017,Sep 2018,Sep 2019,Sep 2020,TTM
Revenues,1537.3,1740.7,1965.0,1952.4,1855.4,1801.1
Total Revenues,1537.3,1740.7,1965.0,1952.4,1855.4,1801.1
Fuel & Purchased Power,492.2,570.5,871.7,840.3,696.1,615.4
Operations And Maintenance,377.5,385.8,477.3,474.1,458.6,453.6
Depreciation & Amortization,136.9,153.5,168.4,181.7,197.3,200.6
Other Operating Expenses,248.4,309.2,167.9,146.3,166.6,165.2
Total Operating Expenses,1255.0,1419.0,1685.3,1642.4,1518.6,1434.8
Operating Income,282.3,321.7,279.7,310.0,336.8,366.3
"Interest Expense, Total",(77.2),(89.1),(98.4),(104.4),(105.5),(104.5)
Net Interest Expenses,(77.2),(89.1),(98.4),(104.4),(105.5),(104.5)
Other Non-Operating Inc. (Exp.),8.6,6.6,6.4,13.5,18.3,18.0
"EBT, Excl. Unusual Items",213.7,239.2,187.7,219.1,249.6,279.8
"EBT, Incl. Unusual Items",213.7,239.2,187.7,219.1,101.0,131.2
Income Tax Expense,69.5,77.6,(26.5),34.5,12.4,20.7
Earnings From Continuing Operations,144.2,161.6,214.2,184.6,88.6,110.5
Net Income to Company,144.2,161.6,214.2,184.6,88.6,110.5
Net Income,144.2,161.6,214.2,184.6,88.6,110.5
Pref. Dividends and Other Adj.,0.5,0.4,0.5,5.7,14.9,14.9
NI to Common Incl Extra Items,143.7,161.2,213.7,178.9,73.7,95.6
NI to Common Excl. Extra Items,143.7,161.2,213.7,178.9,73.7,95.6
Revenue Per Share,$34.86,$37.12,$40.02,$38.51,$36.24,$35.07
Basic EPS,$3.26,$3.44,$4.35,$3.53,$1.44,$1.86
Basic EPS - Continuing Ops,$3.26,$3.44,$4.35,$3.53,$1.44,$1.86
Basic Weighted Average Shares Outst.,44.1,46.9,49.1,50.7,51.2,51.4
Diluted EPS,$3.24,$3.43,$4.33,$3.52,$1.44,$1.86
Diluted EPS - Continuing Ops,$3.24,$3.43,$4.33,$3.52,$1.44,$1.86
Diluted Weighted Average Shares Outst.,44.3,47.0,49.3,50.8,51.3,51.4
Normalized Basic EPS,$3.03,$3.19,$2.39,$2.70,$3.05,$3.41
Normalized Diluted EPS,$3.01,$3.18,$2.38,$2.70,$3.04,$3.40
Dividend Per Share,$1.96,$2.10,$2.25,$2.37,$2.49,$2.52
Payout Ratio,59.08%,59.53%,50.75%,66.31%,161.17%,126.97%
EBITDA,419.8,475.8,448.1,491.7,534.1,566.9
EBITA,282.3,321.7,279.7,323.0,350.8,380.3
EBIT,282.3,321.7,279.7,310.0,336.8,366.3
EBITDAR,429.6,483.4,458.1,502.6,,
Effective Tax Rate,32.5%,32.4%,NM,15.7%,12.3%,15.8%
Normalized Net Income,133.6,149.5,117.3,136.9,156.0,174.9
Interest on Long-Term Debt,67.6,1.3,3.5,8.7,8.5,
