Income Statement,Dec 2017,Dec 2018,Dec 2019,Jan 2021,TTM
Revenues,4.21%,8.49%,(11.18%),(10.22%),(4.22%)
Total Revenues,4.21%,8.49%,(11.18%),(10.22%),(4.22%)
Cost Of Revenues,4.69%,8.62%,(11.62%),(12.11%),(6.90%)
Gross Profit,2.92%,8.12%,(9.96%),(5.11%),3.01%
Selling General & Admin Expenses,3.58%,4.11%,(8.84%),(10.25%),(3.67%)
R&D Expenses,1.36%,(2.01%),(23.21%),54.22%,54.22%
Total Operating Expenses,3.46%,3.79%,(9.56%),(7.52%),(1.15%)
Operating Income,1.99%,15.64%,(10.59%),(1.30%),9.53%
Interest Expense,-4.43%,-1.60%,-3.99%,-24.91%,-20.00%
Interest And Investment Income,(28.89%),(40.63%),194.74%,5.36%,12.50%
Net Interest Expenses,-2.40%,(0.76%),-11.07%,-28.48%,-24.01%
Currency Exchange Gains (Loss),,,-83.82%,(681.82%),(75.51%)
Other Non Operating Income (Expenses),,0.00%,,85.71%,100.00%
"EBT, Excl. Unusual Items",10.24%,10.30%,(8.61%),0.76%,14.06%
"EBT, Incl. Unusual Items",4.05%,5.41%,3.97%,(17.51%),8.11%
Income Tax Expense,3.50%,(4.57%),8.51%,(7.19%),17.07%
Earnings From Continuing Operations,4.20%,8.12%,2.88%,(20.12%),5.73%
Net Income to Company,4.20%,8.12%,2.88%,(20.12%),5.73%
Minority Interest,-13.56%,-9.80%,-19.57%,(21.62%),(35.14%)
Net Income,4.72%,8.54%,3.33%,(20.76%),5.18%
NI to Common Incl Extra Items,4.72%,8.54%,3.33%,(20.76%),5.18%
NI to Common Excl. Extra Items,4.72%,8.54%,3.33%,(20.76%),5.18%
Revenue Per Share,4.44%,10.98%,(7.79%),(7.13%),(2.21%)
Basic EPS,4.96%,10.94%,7.32%,(18.06%),7.38%
Basic EPS - Continuing Ops,4.96%,10.94%,7.32%,(18.06%),7.38%
Basic Weighted Average Shares Outst.,(0.22%),(2.24%),(3.67%),(3.33%),(2.05%)
Diluted EPS,4.87%,10.97%,7.60%,(18.02%),7.25%
Diluted EPS - Continuing Ops,4.87%,10.97%,7.60%,(18.02%),7.25%
Diluted Weighted Average Shares Outst.,(0.22%),(2.23%),(3.87%),(3.32%),(1.86%)
Normalized Basic EPS,11.25%,13.34%,(4.77%),3.73%,15.98%
Normalized Diluted EPS,11.45%,13.44%,(4.58%),3.71%,15.76%
Dividend Per Share,7.37%,7.84%,7.27%,1.69%,0.00%
Payout Ratio,0.93%,(2.27%),0.24%,25.68%,(5.70%)
EBITDA,(2.48%),12.14%,(9.21%),(1.59%),6.31%
EBITA,(0.10%),13.30%,(10.31%),(1.90%),7.64%
EBIT,1.99%,15.64%,(10.59%),(1.30%),9.53%
EBITDAR,,,,(1.53%),
Effective Tax Rate,(0.51%),(9.47%),4.38%,12.54%,8.28%
Normalized Net Income,11.14%,10.88%,(8.35%),0.32%,13.60%
Interest on Long-Term Debt,(4.43%),(1.60%),(3.99%),(24.91%),
R&D Expense From Footnotes,1.36%,(2.01%),(23.21%),54.22%,54.22%
Foreign Sales,8.02%,233.51%,(11.18%),(10.22%),
