Income Statement,Jan 2017,Feb 2018,Feb 2019,Feb 2020,Jan 2021,TTM
Revenues,14498.0,15137.0,15480.0,15132.0,10357.0,10357.0
Other Revenues,259.0,341.0,380.0,392.0,358.0,358.0
Total Revenues,14757.0,15478.0,15860.0,15524.0,10715.0,10715.0
Cost Of Revenues,9440.0,9890.0,10155.0,9932.0,7575.0,7575.0
Gross Profit,5317.0,5588.0,5705.0,5592.0,3140.0,3140.0
Selling General & Admin Expenses,4315.0,4662.0,4868.0,4808.0,3962.0,3962.0
Total Operating Expenses,4315.0,4662.0,4868.0,4808.0,3962.0,3962.0
Operating Income,1002.0,926.0,837.0,784.0,(822.0),(822.0)
Interest Expense,(122.0),(141.0),(119.0),(112.0),(184.0),(184.0)
Interest And Investment Income,1.0,5.0,15.0,10.0,3.0,3.0
Net Interest Expenses,(121.0),(136.0),(104.0),(102.0),(181.0),(181.0)
"EBT, Excl. Unusual Items",881.0,790.0,733.0,682.0,"(1,003.0)","(1,003.0)"
"EBT, Incl. Unusual Items",684.0,790.0,733.0,682.0,"(1,228.0)","(1,228.0)"
Income Tax Expense,330.0,353.0,169.0,186.0,(538.0),(538.0)
Earnings From Continuing Operations,354.0,437.0,564.0,496.0,(690.0),(690.0)
Net Income to Company,354.0,437.0,564.0,496.0,(690.0),(690.0)
Net Income,354.0,437.0,564.0,496.0,(690.0),(690.0)
NI to Common Incl Extra Items,354.0,437.0,564.0,496.0,(690.0),(690.0)
NI to Common Excl. Extra Items,354.0,437.0,564.0,496.0,(690.0),(690.0)
Revenue Per Share,$85.20,$92.79,$94.80,$100.03,$68.16,$68.16
Basic EPS,$2.04,$2.62,$3.37,$3.20,($4.39),($4.39)
Basic EPS - Continuing Ops,$2.04,$2.62,$3.37,$3.20,($4.39),($4.39)
Basic Weighted Average Shares Outst.,173.2,166.8,167.3,155.2,157.2,157.2
Diluted EPS,$2.02,$2.59,$3.32,$3.18,($4.39),($4.39)
Diluted EPS - Continuing Ops,$2.02,$2.59,$3.32,$3.18,($4.39),($4.39)
Diluted Weighted Average Shares Outst.,175.6,168.9,170.0,156.1,157.2,157.2
Normalized Basic EPS,$3.18,$2.96,$2.74,$2.75,($3.99),($3.99)
Normalized Diluted EPS,$3.14,$2.92,$2.69,$2.73,($3.99),($3.99)
Dividend Per Share,$1.48,$1.48,$1.48,$1.48,$0.37,$0.37
Payout Ratio,72.32%,56.52%,44.33%,46.17%,NM,NM
EBITDA,1647.0,1592.0,1509.0,1445.0,(151.0),(151.0)
EBITA,1016.0,937.0,848.0,791.0,(822.0),(822.0)
EBIT,1002.0,926.0,837.0,784.0,(822.0),(822.0)
EBITDAR,1929.0,1921.0,1839.0,1819.0,193.0,193.0
Effective Tax Rate,48.2%,44.7%,23.1%,27.3%,NM,NM
Normalized Net Income,550.6,493.8,458.1,426.3,(626.9),(626.9)
Interest Capitalized,25.0,27.0,27.0,39.0,15.0,15.0
Interest on Long-Term Debt,,,140.0,110.0,,
