Income Statement,Mar 2017,Mar 2018,Mar 2019,Mar 2020,TTM
Revenues,(5.74%),9.47%,42.96%,11.76%,(0.36%)
Total Revenues,(5.74%),9.47%,42.96%,11.76%,(0.36%)
Cost Of Revenues,(5.66%),9.50%,41.21%,13.70%,4.26%
Gross Profit,(6.01%),9.35%,48.64%,5.78%,(15.07%)
Selling General & Admin Expenses,(10.72%),(1.52%),79.12%,11.96%,(1.22%)
Depreciation & Amortization,(22.13%),(4.68%),97.60%,13.33%,(5.76%)
Total Operating Expenses,(16.67%),(3.06%),87.97%,12.65%,(3.72%)
Operating Income,15.51%,27.43%,5.08%,(7.85%),(38.68%)
Interest Expense,-22.58%,-50.00%,(908.33%),(13.22%),-16.20%
Net Interest Expenses,-22.58%,-50.00%,(908.33%),(13.22%),-16.20%
Other Non Operating Income (Expenses),,,,(450.00%),-15.38%
"EBT, Excl. Unusual Items",21.97%,35.75%,(32.67%),(33.82%),(56.70%)
"EBT, Incl. Unusual Items",9.77%,40.54%,(43.72%),,
Income Tax Expense,12.65%,,,,
Earnings From Continuing Operations,8.00%,140.74%,(65.38%),,
Net Income to Company,8.00%,140.74%,(65.38%),,
Net Income,8.00%,140.74%,(65.38%),,
NI to Common Incl Extra Items,8.00%,140.74%,(65.38%),,
NI to Common Excl. Extra Items,8.00%,140.74%,(65.38%),,
Revenue Per Share,(5.73%),9.47%,23.75%,13.53%,0.61%
Basic EPS,8.32%,139.40%,(70.03%),,
Basic EPS - Continuing Ops,8.32%,139.40%,(70.03%),,
Basic Weighted Average Shares Outst.,0.00%,0.00%,15.54%,(1.56%),(0.96%)
Diluted EPS,7.14%,143.33%,(70.03%),,
Diluted EPS - Continuing Ops,7.14%,143.33%,(70.03%),,
Diluted Weighted Average Shares Outst.,0.00%,0.00%,15.72%,(1.72%),(1.30%)
Normalized Basic EPS,22.43%,35.67%,(41.74%),(32.36%),(56.28%)
Normalized Diluted EPS,22.43%,35.67%,(41.84%),(32.36%),(56.13%)
Dividend Per Share,,,,20.00%,17.39%
EBITDA,7.72%,(6.43%),23.70%,42.95%,4.98%
EBITA,15.51%,27.43%,10.79%,53.01%,12.11%
EBIT,15.51%,27.43%,5.08%,(7.85%),(38.68%)
EBITDAR,,,24.07%,39.36%,
Effective Tax Rate,2.64%,,,(79.29%),(70.10%)
Normalized Net Income,21.97%,35.75%,(32.67%),(33.82%),(56.70%)
Interest on Long-Term Debt,,,66.67%,(15.00%),
