Income Statement,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Revenues,2.18%,3.12%,0.53%,(41.10%),(44.24%)
Total Revenues,2.18%,3.12%,0.53%,(41.10%),(44.24%)
Cost Of Revenues,4.21%,1.23%,(0.90%),(32.71%),(38.88%)
Gross Profit,(3.00%),8.29%,4.18%,(61.59%),(57.86%)
Selling General & Admin Expenses,2.13%,9.76%,1.29%,(40.15%),(44.38%)
Depreciation & Amortization,2.37%,(1.16%),2.73%,8.75%,7.55%
Total Operating Expenses,2.17%,8.00%,1.50%,(32.82%),(36.39%)
Operating Income,(12.31%),8.92%,9.76%,,
Interest Expense,-4.37%,(6.86%),(4.28%),(4.66%),(4.04%)
Interest And Investment Income,(55.56%),87.50%,0.00%,(20.00%),(20.00%)
Net Interest Expenses,-2.47%,(5.50%),(4.41%),(5.37%),(4.73%)
Other Non Operating Income (Expenses),-50.00%,(200.00%),-66.67%,,
"EBT, Excl. Unusual Items",(24.61%),13.89%,18.60%,,
"EBT, Incl. Unusual Items",(24.37%),26.54%,7.49%,,
Income Tax Expense,,,,"(1,713.33%)",(218.18%)
Earnings From Continuing Operations,121.47%,(54.29%),83.03%,,
Net Income to Company,121.47%,(54.29%),83.03%,,
Net Income,121.47%,(54.29%),83.03%,,
NI to Common Incl Extra Items,121.47%,(54.29%),83.03%,,
NI to Common Excl. Extra Items,121.47%,(54.29%),83.03%,,
Revenue Per Share,12.72%,8.45%,6.00%,(37.18%),(40.46%)
Basic EPS,144.55%,(51.95%),93.07%,,
Basic EPS - Continuing Ops,144.55%,(51.95%),93.07%,,
Basic Weighted Average Shares Outst.,(9.35%),(4.92%),(5.17%),(6.25%),(6.34%)
Diluted EPS,142.86%,(51.53%),93.20%,,
Diluted EPS - Continuing Ops,142.86%,(51.53%),93.20%,,
Diluted Weighted Average Shares Outst.,(9.11%),(5.54%),(5.49%),(6.87%),(6.97%)
Normalized Basic EPS,(16.99%),19.68%,24.83%,,
Normalized Diluted EPS,(17.08%),20.72%,25.46%,,
EBITDA,(10.53%),7.34%,7.14%,(98.31%),(84.85%)
EBITA,(11.78%),8.62%,8.38%,,(94.75%)
EBIT,(12.31%),8.92%,9.76%,,
EBITDAR,(40.92%),8.62%,85.08%,(59.53%),
Normalized Net Income,(24.61%),13.89%,18.60%,,
Interest on Long-Term Debt,,,,(25.00%),
Foreign Sales,7.84%,6.12%,(3.25%),(50.26%),
