Income Statement,Dec 2017,Dec 2018,Jan 2020,Jan 2021,TTM
Revenues,18.00%,30.19%,21.28%,18.58%,27.61%
Total Revenues,18.00%,30.19%,21.28%,18.58%,27.61%
Cost Of Revenues,16.16%,28.83%,22.85%,18.24%,24.95%
Gross Profit,22.03%,33.02%,18.12%,19.29%,33.25%
Selling General & Admin Expenses,15.80%,27.63%,15.36%,19.99%,7.78%
R&D Expenses,9.31%,28.09%,22.99%,7.87%,11.15%
Total Operating Expenses,13.57%,30.39%,16.55%,24.72%,16.90%
Operating Income,34.31%,36.24%,19.97%,13.08%,55.83%
Interest Expense,(14.75%),(27.67%),(3.73%),(192.91%),(146.98%)
Net Interest Expenses,(14.75%),(27.67%),(3.73%),(192.91%),(146.98%)
Currency Exchange Gains (Loss),-46.76%,(132.04%),(109.76%),-55.05%,-55.05%
Other Non Operating Income (Expenses),(678.26%),-8.94%,(14.11%),,(216.48%)
"EBT, Excl. Unusual Items",35.40%,36.41%,20.11%,8.66%,52.53%
"EBT, Incl. Unusual Items",49.19%,41.39%,19.45%,(3.72%),40.77%
Income Tax Expense,184.59%,(73.83%),155.28%,(9.33%),27.81%
Earnings From Continuing Operations,21.05%,97.69%,10.66%,(2.88%),42.67%
Net Income to Company,21.05%,97.69%,10.66%,(2.88%),42.67%
Minority Interest,,"(2,312.73%)",(8.29%),-25.40%,-64.08%
Net Income,20.89%,94.86%,10.70%,(2.54%),44.76%
NI to Common Incl Extra Items,20.89%,94.86%,10.70%,(2.54%),44.76%
NI to Common Excl. Extra Items,20.89%,94.86%,10.70%,(2.54%),44.76%
Revenue Per Share,16.23%,28.67%,19.61%,13.00%,19.58%
Basic EPS,18.97%,93.30%,9.32%,(7.25%),35.65%
Basic EPS - Continuing Ops,18.97%,93.30%,9.32%,(7.25%),35.65%
Basic Weighted Average Shares Outst.,1.56%,1.16%,1.40%,4.95%,6.72%
Diluted EPS,18.09%,94.59%,10.19%,(6.72%),35.96%
Diluted EPS - Continuing Ops,18.09%,94.59%,10.19%,(6.72%),35.96%
Diluted Weighted Average Shares Outst.,2.48%,0.56%,0.51%,4.20%,6.21%
Normalized Basic EPS,32.48%,32.21%,18.54%,4.39%,45.88%
Normalized Diluted EPS,32.55%,33.10%,20.13%,4.73%,46.58%
EBITDA,30.89%,36.68%,19.42%,23.86%,60.94%
EBITA,32.43%,39.00%,19.04%,21.78%,45.51%
EBIT,34.31%,36.24%,19.97%,13.08%,55.83%
EBITDAR,30.48%,34.55%,18.98%,23.30%,
Effective Tax Rate,90.74%,(81.49%),113.59%,(5.85%),(9.21%)
Normalized Net Income,35.22%,33.40%,20.40%,9.40%,55.68%
Interest on Long-Term Debt,14.75%,27.67%,3.73%,192.91%,
R&D Expense From Footnotes,12.37%,28.80%,25.95%,8.59%,11.67%
Foreign Sales,161.67%,(51.53%),7.91%,19.51%,
