Income Statement,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,TTM
Revenues,1169.3,1538.9,1532.2,1185.5,1281.1,1355.0
Total Revenues,1169.3,1538.9,1532.2,1185.5,1281.1,1355.0
Cost Of Revenues,614.4,781.1,771.5,588.0,607.0,649.6
Gross Profit,554.8,757.8,760.7,597.5,674.2,705.4
Selling General & Admin Expenses,117.1,127.3,131.8,126.5,131.1,125.8
R&D Expenses,269.2,303.7,366.4,375.1,347.6,334.9
Other Operating Expense/(Income),(12.6),,,,,
Total Operating Expenses,373.7,430.9,498.3,501.6,478.8,460.7
Operating Income,181.1,326.9,262.5,95.9,195.4,244.7
Interest Expense,(3.3),(3.6),(1.2),(1.1),(1.1),(1.1)
Interest And Investment Income,0.9,1.7,4.8,8.0,10.5,7.7
Net Interest Expenses,(2.4),(1.9),3.6,7.0,9.4,6.6
Currency Exchange Gains (Loss),(1.8),,(1.0),(0.2),(4.2),0.5
Other Non Operating Income (Expenses),,(0.1),,,2.6,0.1
"EBT, Excl. Unusual Items",176.9,324.9,265.1,102.6,203.2,252.0
"EBT, Incl. Unusual Items",176.0,315.0,265.1,93.7,181.3,229.7
Income Tax Expense,52.4,53.8,103.1,3.8,21.8,27.5
Earnings From Continuing Operations,123.6,261.2,162.0,90.0,159.5,202.2
Net Income to Company,123.6,261.2,162.0,90.0,159.5,202.2
Net Income,123.6,261.2,162.0,90.0,159.5,202.2
NI to Common Incl Extra Items,123.6,261.2,162.0,90.0,159.5,202.2
NI to Common Excl. Extra Items,123.6,261.2,162.0,90.0,159.5,202.2
Revenue Per Share,$18.50,$24.30,$24.16,$19.72,$21.97,$23.26
Basic EPS,$1.96,$4.12,$2.55,$1.50,$2.74,$3.47
Basic EPS - Continuing Ops,$1.96,$4.12,$2.55,$1.50,$2.74,$3.47
Basic Weighted Average Shares Outst.,63.2,63.3,63.4,60.1,58.3,58.3
Diluted EPS,$1.87,$3.92,$2.46,$1.46,$2.64,$3.37
Diluted EPS - Continuing Ops,$1.87,$3.92,$2.46,$1.46,$2.64,$3.37
Diluted Weighted Average Shares Outst.,66.0,66.6,66.0,61.6,60.5,60.2
Normalized Basic EPS,$1.75,$3.21,$2.61,$1.07,$2.18,$2.70
Normalized Diluted EPS,$1.68,$3.05,$2.51,$1.04,$2.10,$2.61
EBITDA,239.2,390.3,343.9,175.7,263.6,293.1
EBITA,216.8,364.3,316.2,143.7,223.7,273.0
EBIT,181.1,326.9,262.5,95.9,195.4,244.7
EBITDAR,244.1,398.5,355.4,188.4,282.0,
Effective Tax Rate,29.8%,17.1%,38.9%,4.0%,12.0%,12.0%
Normalized Net Income,110.6,203.1,165.7,64.1,127.0,157.5
Interest on Long-Term Debt,3.3,3.6,1.2,1.1,1.1,
R&D Expense From Footnotes,269.2,303.7,366.4,375.1,347.6,334.9
Foreign Sales,1095.4,1502.9,1498.5,1159.3,1264.0,
