Income Statement,Sep 2017,Sep 2018,Sep 2019,Sep 2020,TTM
Revenues,17.83%,16.35%,75.84%,7.57%,0.85%
Total Revenues,17.83%,16.35%,75.84%,7.57%,0.85%
Cost Of Revenues,14.89%,9.08%,106.75%,9.80%,4.15%
Gross Profit,20.90%,23.60%,48.68%,4.85%,(3.20%)
Selling General & Admin Expenses,12.08%,13.52%,81.68%,15.61%,2.22%
R&D Expenses,(4.75%),(5.20%),(0.47%),1.17%,1.36%
Total Operating Expenses,4.89%,6.26%,53.26%,12.37%,2.05%
Operating Income,49.45%,45.31%,44.49%,(2.44%),(8.67%)
Interest Expense,-4.11%,-35.86%,"(1,472.50%)",-6.94%,-19.07%
Interest And Investment Income,147.73%,87.54%,(46.79%),(71.44%),(79.62%)
Net Interest Expenses,-42.29%,,,-3.45%,-17.50%
Currency Exchange Gains (Loss),,(7.32%),,,(13.27%)
Other Non Operating Income (Expenses),,61.91%,,-63.36%,
"EBT, Excl. Unusual Items",54.30%,50.20%,14.48%,(1.03%),(4.81%)
"EBT, Incl. Unusual Items",55.27%,47.85%,(60.98%),174.69%,
Income Tax Expense,111.73%,130.45%,(53.76%),27.74%,(85.80%)
Earnings From Continuing Operations,45.29%,26.56%,(64.36%),264.22%,
Net Income to Company,45.29%,26.56%,(64.36%),264.22%,
Net Income,45.29%,26.56%,(64.36%),264.22%,
Preferred Dividend and Other Adjustments,(29.09%),(51.95%),,,
NI to Common Incl Extra Items,45.74%,26.79%,(64.32%),264.22%,
NI to Common Excl. Extra Items,45.74%,26.79%,(64.32%),264.22%,
Revenue Per Share,13.39%,14.09%,57.03%,5.49%,0.91%
Basic EPS,40.31%,24.14%,(68.15%),257.82%,
Basic EPS - Continuing Ops,40.31%,24.14%,(68.15%),257.82%,
Basic Weighted Average Shares Outst.,3.90%,2.01%,11.96%,1.98%,(0.06%)
Diluted EPS,39.92%,23.24%,(67.78%),257.78%,
Diluted EPS - Continuing Ops,39.92%,23.24%,(67.78%),257.78%,
Diluted Weighted Average Shares Outst.,4.23%,2.86%,10.86%,1.67%,(1.75%)
Normalized Basic EPS,48.87%,47.46%,2.13%,(3.03%),(4.75%)
Normalized Diluted EPS,48.38%,46.05%,3.35%,(2.61%),(3.11%)
Dividend Per Share,44.44%,79.49%,18.57%,4.82%,4.71%
Payout Ratio,51.34%,27.51%,322.94%,(70.14%),
EBITDA,36.67%,36.80%,77.01%,6.97%,(3.57%)
EBITA,44.16%,42.13%,73.44%,6.69%,(19.82%)
EBIT,49.45%,45.31%,44.49%,(2.44%),(8.67%)
EBITDAR,36.04%,36.83%,77.19%,7.26%,
Effective Tax Rate,36.39%,55.86%,18.49%,(53.50%),
Normalized Net Income,54.30%,50.20%,14.48%,(1.03%),(4.81%)
R&D Expense From Footnotes,(4.75%),(5.20%),(0.47%),1.17%,1.36%
Foreign Sales,37.80%,16.35%,75.84%,7.57%,
