Income Statement,Apr 2017,Apr 2018,Apr 2019,Apr 2020,TTM
Revenues,5.34%,12.52%,11.95%,(3.02%),(15.85%)
Total Revenues,5.34%,12.52%,11.95%,(3.02%),(15.85%)
Cost Of Revenues,5.73%,14.99%,12.41%,(6.90%),(24.87%)
Gross Profit,4.19%,5.25%,10.47%,9.72%,11.99%
Selling General & Admin Expenses,11.35%,9.47%,8.39%,7.68%,4.72%
Depreciation & Amortization,15.62%,11.81%,10.60%,2.78%,2.67%
Total Operating Expenses,11.95%,9.81%,8.71%,6.95%,4.42%
Operating Income,(20.13%),(14.76%),20.44%,23.86%,49.55%
Interest Expense,(4.45%),(24.69%),(7.10%),-3.51%,-7.01%
Interest And Investment Income,274.52%,169.22%,(62.41%),44.54%,44.54%
Net Interest Expenses,(3.39%),(22.64%),(9.26%),-4.02%,-7.58%
"EBT, Excl. Unusual Items",(22.82%),(20.50%),23.09%,29.73%,59.92%
"EBT, Incl. Unusual Items",(22.67%),(20.48%),22.83%,29.86%,47.53%
Income Tax Expense,(24.89%),,,31.40%,49.86%
Earnings From Continuing Operations,(21.46%),79.12%,(35.87%),29.41%,46.85%
Net Income to Company,(21.46%),79.12%,(35.87%),29.41%,46.85%
Net Income,(21.46%),79.12%,(35.87%),29.41%,46.85%
NI to Common Incl Extra Items,(21.46%),79.12%,(35.87%),29.41%,46.85%
NI to Common Excl. Extra Items,(21.46%),79.12%,(35.87%),29.41%,46.85%
Revenue Per Share,5.04%,16.53%,15.21%,(3.66%),(16.26%)
Basic EPS,(21.65%),85.35%,(33.96%),28.64%,46.14%
Basic EPS - Continuing Ops,(21.65%),85.35%,(33.96%),28.64%,46.14%
Basic Weighted Average Shares Outst.,0.28%,(3.44%),(2.83%),0.67%,0.48%
Diluted EPS,(21.82%),86.16%,(33.93%),28.86%,46.38%
Diluted EPS - Continuing Ops,(21.82%),86.16%,(33.93%),28.86%,46.38%
Diluted Weighted Average Shares Outst.,0.40%,(3.66%),(3.03%),0.57%,0.57%
Normalized Basic EPS,(23.01%),(17.68%),26.53%,28.99%,59.15%
Normalized Diluted EPS,(23.07%),(17.49%),27.05%,29.05%,59.02%
Dividend Per Share,9.09%,8.33%,11.54%,10.34%,4.00%
Payout Ratio,39.56%,(41.10%),66.56%,(14.29%),(28.28%)
EBITDA,(9.24%),(4.45%),15.97%,14.74%,29.99%
EBITA,(20.13%),(14.76%),20.44%,23.86%,49.55%
EBIT,(20.13%),(14.76%),20.44%,23.86%,49.55%
EBITDAR,(9.20%),,,,
Effective Tax Rate,(2.86%),,,1.16%,1.58%
Normalized Net Income,(22.82%),(20.50%),23.09%,29.73%,59.92%
Interest Capitalized,29.63%,53.74%,35.27%,72.00%,
