Income Statement,Dec 2016,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Rental Revenue,107.6,160.4,210.6,264.3,329.4,351.5
Tenant Reimbursements,16.7,,,,,
Other Revenue,0.5,,,,,
Total Revenues,125.7,161.4,212.5,267.2,330.1,352.2
Property Expenses,33.6,42.6,52.0,63.4,79.8,85.3
Selling General & Admin Exp.,18.4,21.6,25.2,30.3,36.8,39.0
Depreciation & Amortization,51.4,64.9,80.0,98.9,115.3,122.9
Total Operating Expenses,103.4,129.1,157.2,192.6,231.9,247.2
Operating Income,22.3,32.3,55.3,74.6,98.2,105.0
Total Interest Expense,(14.8),(20.2),(25.4),(26.9),(30.8),(33.2)
Net Interest Expenses,(14.8),(20.2),(25.4),(26.9),(30.8),(33.2)
"EBT, Excl. Unusual Items",7.5,12.1,29.9,47.7,67.4,71.9
Gain (Loss) on Sale of Assets,17.4,29.6,17.2,16.3,13.6,24.5
Other Unusual Items,,0.0,,,(0.1),(0.1)
"EBT, Incl. Unusual Items",25.9,41.7,47.1,64.0,80.9,96.3
Earnings From Continuing Operations,25.9,41.7,47.1,64.0,80.9,96.3
Net Income to Company,25.9,41.7,47.1,64.0,80.9,96.3
Minority Interest,(0.8),(1.0),(0.9),(2.0),(4.5),(5.7)
Net Income,25.1,40.7,46.2,62.0,76.4,90.5
Pref. Dividends and Other Adj.,2.3,6.3,10.1,11.5,15.1,15.1
NI to Common Incl Extra Items,22.8,34.4,36.1,50.5,61.3,75.5
NI to Common Excl. Extra Items,22.8,34.4,36.1,50.5,61.3,75.5
Revenue Per Share,$2.00,$2.27,$2.45,$2.51,$2.73,$2.81
Basic EPS,$0.36,$0.48,$0.42,$0.47,$0.51,$0.60
Basic EPS - Continuing Ops,$0.36,$0.48,$0.42,$0.47,$0.51,$0.60
Basic Weighted Average Shares Outst.,62.7,71.2,86.8,106.4,120.9,125.3
Diluted EPS,$0.36,$0.48,$0.41,$0.47,$0.51,$0.60
Diluted EPS - Continuing Ops,$0.36,$0.48,$0.41,$0.47,$0.51,$0.60
Diluted Weighted Average Shares Outst.,63.0,71.6,87.3,106.8,121.2,125.5
Normalized Basic EPS,$0.06,$0.09,$0.20,$0.26,$0.31,$0.31
Normalized Diluted EPS,$0.06,$0.09,$0.20,$0.26,$0.31,$0.31
Dividend Per Share,$0.54,$0.58,$0.64,$0.74,$0.86,$0.89
Payout Ratio,143.42%,114.97%,141.67%,142.99%,153.35%,138.41%
FFO,58.6,77.0,109.9,146.6,182.5,194.7
FFO Payout Ratio %,58.13%,53.94%,50.22%,52.91%,56.22%,56.88%
AFFO,58.6,77.0,109.9,146.6,182.5,
Funds Available for Distribution,58.6,77.0,109.9,146.6,182.5,
EBITDA,73.6,94.9,129.3,165.6,203.0,217.1
EBITA,35.8,45.6,67.4,87.6,110.6,118.6
EBIT,22.3,32.3,55.3,74.6,98.2,105.0
EBITDAR,74.2,95.5,,166.5,204.4,
Normalized Net Income,3.9,6.6,17.8,27.8,37.6,39.2
Interest Capitalized,1.7,1.7,2.1,3.9,3.9,
