Income Statement,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Total Interest Expense,19.46%,(11.13%),13.33%,6.33%,(9.70%)
Net Interest Income,(19.46%),-11.13%,(13.33%),(6.33%),-9.70%
Asset Management Fee,(5.92%),(19.12%),4.90%,7.48%,11.03%
Underwriting & Invest. Banking Fee,15.53%,27.88%,(4.09%),15.75%,24.00%
Gain (Loss) on Sale of Investments,(56.33%),,,8.77%,19.04%
Other Revenue,(16.07%),65.04%,29.92%,(71.86%),506.74%
Revenue Before Loan Losses,13.56%,26.26%,(2.71%),14.24%,25.22%
Total Revenues,13.56%,26.26%,(2.71%),14.24%,25.22%
Salaries & Other Empl. Benefits,6.88%,24.38%,0.32%,14.27%,22.29%
Cost of Services Provided,9.52%,10.63%,8.71%,(12.97%),(16.53%)
Other Operating Expenses,(13.79%),29.94%,37.95%,2.18%,0.93%
Total Operating Expenses,6.74%,21.56%,2.78%,8.36%,13.95%
Operating Income,43.02%,41.43%,(17.96%),34.66%,66.09%
"EBT, Excl. Unusual Items",36.91%,46.65%,(17.35%),34.57%,64.87%
Restructuring Charges,,-48.50%,(40.81%),"(1,420.18%)",-15.33%
Asset Writedown,,,(112.34%),-24.03%,-62.78%
Gain (Loss) on Sale of Assets,,,,,0.00%
"EBT, Incl. Unusual Items",63.41%,25.98%,(18.62%),20.53%,65.17%
Income Tax Expense,116.63%,(58.01%),(12.42%),34.83%,45.15%
Earnings From Continuing Operations,20.67%,147.12%,(20.14%),16.69%,71.58%
Net Income to Company,20.67%,147.12%,(20.14%),16.69%,71.58%
Minority Interest,(31.16%),(22.06%),-14.31%,(10.46%),(42.74%)
Net Income,16.67%,200.70%,(21.15%),17.87%,77.42%
NI to Common Incl Extra Items,16.67%,200.70%,(21.15%),17.87%,77.42%
NI to Common Excl. Extra Items,16.67%,200.70%,(21.15%),17.87%,77.42%
Revenue Per Share,12.34%,23.30%,(1.25%),12.68%,22.08%
Basic EPS,15.50%,194.08%,(19.95%),16.19%,72.96%
Basic EPS - Continuing Ops,15.50%,194.08%,(19.95%),16.19%,72.96%
Basic Weighted Average Shares Outst.,1.07%,2.41%,(1.48%),1.40%,2.58%
Diluted EPS,15.23%,197.50%,(17.29%),19.30%,75.31%
Diluted EPS - Continuing Ops,15.23%,197.50%,(17.29%),19.30%,75.31%
Diluted Weighted Average Shares Outst.,1.43%,1.01%,(4.60%),(1.32%),0.99%
Normalized Basic EPS,37.27%,50.11%,(16.83%),38.51%,65.75%
Normalized Diluted EPS,36.82%,52.35%,(14.09%),42.38%,68.35%
Dividend Per Share,11.81%,33.80%,17.89%,4.91%,5.60%
Payout Ratio,(6.04%),(54.51%),58.84%,(6.60%),
Effective Tax Rate,32.55%,(66.67%),7.63%,11.88%,(12.12%)
Normalized Net Income,38.70%,53.85%,(18.06%),40.44%,70.02%
Interest on Long-Term Debt,(2.81%),(7.62%),40.39%,40.88%,
Foreign Sales,17.99%,8.08%,10.03%,0.93%,
