Income Statement,Jun 2017,Jun 2018,Jun 2019,May 2020,TTM
Revenues,0.59%,4.52%,7.81%,(3.14%),(13.51%)
Total Revenues,0.59%,4.52%,7.81%,(3.14%),(13.51%)
Cost Of Revenues,1.68%,6.66%,8.56%,(3.75%),(15.41%)
Gross Profit,(1.14%),1.02%,6.52%,(2.06%),(10.28%)
Selling General & Admin Expenses,0.38%,5.39%,3.62%,0.73%,(11.73%)
R&D Expenses,(5.19%),0.00%,5.20%,(3.77%),(11.71%)
Total Operating Expenses,(0.27%),4.80%,3.78%,0.25%,(11.73%)
Operating Income,(3.88%),(11.26%),17.02%,(9.95%),(5.81%)
Interest Expense,-1.30%,-11.18%,-10.37%,(3.31%),-8.33%
Interest And Investment Income,175.00%,100.00%,(52.27%),9.52%,(40.74%)
Net Interest Expenses,-10.96%,-30.00%,(9.89%),(2.00%),(1.08%)
Currency Exchange Gains (Loss),0.00%,,(25.00%),,
Other Non Operating Income (Expenses),25.00%,320.00%,85.71%,(12.82%),(6.67%)
"EBT, Excl. Unusual Items",(2.69%),(7.77%),18.95%,(10.98%),(8.35%)
"EBT, Incl. Unusual Items",(9.04%),(4.52%),16.95%,,(95.62%)
Income Tax Expense,(7.39%),(23.05%),(6.60%),(84.85%),(58.21%)
Earnings From Continuing Operations,(9.75%),3.71%,24.71%,,
Net Income to Company,(9.75%),3.71%,24.71%,,
Minority Interest,-75.00%,(200.00%),,,28.57%
Net Income,(9.36%),3.39%,25.29%,,
NI to Common Incl Extra Items,(9.36%),3.39%,25.29%,,
NI to Common Excl. Extra Items,(9.36%),3.39%,25.29%,,
Revenue Per Share,0.53%,4.86%,9.03%,(2.98%),(13.44%)
Basic EPS,(9.24%),3.69%,26.50%,,
Basic EPS - Continuing Ops,(9.24%),3.69%,26.50%,,
Basic Weighted Average Shares Outst.,0.05%,(0.32%),(1.12%),(0.15%),(0.09%)
Diluted EPS,(9.29%),3.41%,27.36%,,
Diluted EPS - Continuing Ops,(9.29%),3.41%,27.36%,,
Diluted Weighted Average Shares Outst.,0.04%,(0.40%),(1.54%),(0.78%),(0.63%)
Normalized Basic EPS,(2.07%),(7.93%),21.05%,(6.92%),(8.10%)
Normalized Diluted EPS,(2.21%),(7.97%),21.62%,(6.08%),(7.60%)
Dividend Per Share,15.25%,5.88%,9.72%,(20.25%),(54.68%)
Payout Ratio,24.56%,4.09%,(14.17%),,
EBITDA,(0.87%),(5.68%),14.52%,(4.80%),(1.88%)
EBITA,(3.77%),(10.94%),16.58%,(7.27%),(3.58%)
EBIT,(3.88%),(11.26%),17.02%,(9.95%),(5.81%)
EBITDAR,(0.84%),,,,
Effective Tax Rate,1.81%,(19.41%),(20.14%),,853.73%
Normalized Net Income,(2.22%),(8.12%),19.60%,(6.95%),(8.18%)
Interest on Long-Term Debt,(1.30%),(11.18%),(10.37%),3.31%,
R&D Expense From Footnotes,(5.19%),0.00%,5.20%,(3.77%),(11.71%)
Foreign Sales,15.79%,9.39%,9.03%,(1.51%),
