Income Statement,Sep 2017,Sep 2018,Sep 2019,Sep 2020,TTM
Revenues,6.08%,6.97%,15.99%,11.59%,8.63%
Total Revenues,6.08%,6.97%,15.99%,11.59%,8.63%
Cost Of Revenues,8.46%,8.79%,7.65%,7.21%,1.69%
Gross Profit,5.06%,6.16%,19.79%,13.38%,11.45%
Selling General & Admin Expenses,2.50%,11.79%,9.86%,1.65%,(6.54%)
R&D Expenses,6.95%,15.80%,16.43%,11.39%,11.39%
Total Operating Expenses,3.17%,11.10%,11.29%,3.99%,(2.11%)
Operating Income,10.05%,(6.04%),44.59%,34.49%,39.12%
Interest Expense,-3.17%,(21.41%),(26.96%),(6.10%),-0.85%
Net Interest Expenses,-3.17%,(21.41%),(26.96%),(6.10%),-0.85%
Currency Exchange Gains (Loss),,-63.64%,,,
Other Non Operating Income (Expenses),(28.09%),80.97%,65.50%,(29.63%),
"EBT, Excl. Unusual Items",11.20%,(9.50%),49.04%,38.34%,44.83%
"EBT, Incl. Unusual Items",8.10%,0.42%,37.69%,18.94%,36.63%
Income Tax Expense,(34.89%),33.15%,(21.35%),(14.03%),376.02%
Earnings From Continuing Operations,21.90%,(5.20%),51.90%,23.05%,20.01%
Net Income to Company,21.90%,(5.20%),51.90%,23.05%,20.01%
Net Income,21.90%,(5.20%),51.90%,23.05%,20.01%
NI to Common Incl Extra Items,21.90%,(5.20%),51.90%,23.05%,20.01%
NI to Common Excl. Extra Items,21.90%,(5.20%),51.90%,23.05%,20.01%
Revenue Per Share,7.01%,11.10%,18.93%,11.26%,8.48%
Basic EPS,22.81%,(1.46%),55.62%,22.67%,19.85%
Basic EPS - Continuing Ops,22.81%,(1.46%),55.62%,22.67%,19.85%
Basic Weighted Average Shares Outst.,(0.86%),(3.73%),(2.46%),0.30%,0.14%
Diluted EPS,22.12%,(1.93%),56.16%,24.61%,21.99%
Diluted EPS - Continuing Ops,22.12%,(1.93%),56.16%,24.61%,21.99%
Diluted Weighted Average Shares Outst.,(0.19%),(3.30%),(2.84%),(1.19%),(1.52%)
Normalized Basic EPS,12.26%,(6.12%),52.82%,37.81%,44.63%
Normalized Diluted EPS,11.28%,(6.53%),53.20%,40.12%,47.07%
Dividend Per Share,(50.00%),,,,
Payout Ratio,(59.12%),,,,
EBITDA,11.55%,(6.09%),39.39%,30.51%,34.80%
EBITA,9.39%,(6.87%),43.51%,33.58%,38.02%
EBIT,10.05%,(6.04%),44.59%,34.49%,39.12%
EBITDAR,11.07%,,,,
Effective Tax Rate,(39.76%),32.63%,(42.87%),(27.70%),248.40%
Normalized Net Income,11.20%,(9.50%),49.04%,38.34%,44.83%
R&D Expense From Footnotes,13.23%,11.40%,15.82%,11.10%,10.83%
Foreign Sales,197.85%,6.97%,15.99%,11.59%,
