Income Statement,Dec 2018,Dec 2019,Dec 2020,TTM
Revenues,116.94%,117.92%,50.15%,46.47%
Total Revenues,116.94%,117.92%,50.15%,46.47%
Cost Of Revenues,108.74%,114.25%,49.20%,43.64%
Gross Profit,162.62%,134.15%,53.96%,57.96%
Selling General & Admin Expenses,24.35%,50.79%,51.82%,35.01%
Total Operating Expenses,24.35%,50.79%,51.82%,35.01%
Operating Income,-68.63%,,60.66%,149.78%
Interest Expense,-44.73%,-85.82%,,
Interest And Investment Income,,,,(19.33%)
Net Interest Expenses,-44.73%,-85.82%,,
Other Non Operating Income (Expenses),(312.32%),(517.39%),,
"EBT, Excl. Unusual Items",-45.38%,(6.36%),,
"EBT, Incl. Unusual Items",-44.67%,(24.14%),,
Income Tax Expense,"(59,133.33%)",,,
Earnings From Continuing Operations,-58.93%,(67.49%),,
Earnings Of Discontinued Operations,"144,325.00%",,,
Preferred Dividend and Other Adjustments,(58.00%),,,
NI to Common Excl. Extra Items,-58.86%,(54.65%),,
Revenue Per Share,122.27%,(41.79%),(63.69%),(31.24%)
Basic EPS - Continuing Ops,-57.80%,-58.67%,,
Basic Weighted Average Shares Outst.,(2.43%),274.30%,313.42%,113.01%
Diluted EPS - Continuing Ops,-57.80%,-58.67%,,
Diluted Weighted Average Shares Outst.,(2.43%),274.30%,377.72%,144.37%
Normalized Basic EPS,-43.96%,-71.67%,,
Normalized Diluted EPS,-43.96%,-71.67%,,
EBITDA,-83.39%,,49.07%,121.58%
EBITA,-79.46%,,50.98%,128.43%
EBIT,-68.63%,,60.66%,149.78%
EBITDAR,-92.39%,,45.66%,
Effective Tax Rate,,,,"(13,206.28%)"
Normalized Net Income,-45.38%,(6.36%),,
Interest on Long-Term Debt,,(10.50%),(64.79%),
