Income Statement,Apr 2016,Apr 2017,Apr 2018,Apr 2019,Apr 2020,TTM
Revenues,1727.0,1718.5,1796.1,1800.1,1831.5,1879.9
Total Revenues,1727.0,1718.5,1796.1,1800.1,1831.5,1879.9
Cost Of Revenues,466.2,468.4,492.7,501.0,525.2,542.1
Gross Profit,1260.9,1250.1,1303.4,1299.0,1306.3,1337.8
Selling General & Admin Expenses,994.4,967.5,983.6,1008.6,1052.2,1049.8
Total Operating Expenses,1044.1,1017.2,1031.8,1063.2,1114.6,1119.6
Operating Income,216.7,233.0,271.6,235.8,191.6,218.2
Interest Expense,(16.7),(16.9),(13.3),(16.1),(25.0),(19.7)
Interest And Investment Income,2.9,,0.6,2.4,3.7,3.7
Net Interest Expenses,(13.8),(16.9),(12.7),(13.7),(21.2),(16.0)
Currency Exchange Gains (Loss),0.5,0.4,(12.8),(6.0),2.8,(1.9)
Other Non Operating Income (Expenses),,(7.1),,,,0.2
"EBT, Excl. Unusual Items",203.4,209.3,246.1,216.1,173.2,200.5
"EBT, Incl. Unusual Items",174.8,191.1,213.9,213.0,(63.1),(42.6)
Income Tax Expense,29.0,77.5,21.7,44.7,11.2,8.6
Earnings From Continuing Operations,145.8,113.6,192.2,168.3,(74.3),(51.1)
Net Income to Company,145.8,113.6,192.2,168.3,(74.3),(51.1)
Net Income,145.8,113.6,192.2,168.3,(74.3),(51.1)
NI to Common Incl Extra Items,145.8,113.6,192.2,168.3,(74.3),(51.1)
NI to Common Excl. Extra Items,145.8,113.6,192.2,168.3,(74.3),(51.1)
Revenue Per Share,$29.78,$29.97,$31.49,$31.47,$32.58,$33.60
Basic EPS,$2.51,$1.98,$3.37,$2.94,($1.32),($0.91)
Basic EPS - Continuing Ops,$2.51,$1.98,$3.37,$2.94,($1.32),($0.91)
Basic Weighted Average Shares Outst.,58.0,57.3,57.0,57.2,56.2,56.0
Diluted EPS,$2.48,$1.95,$3.32,$2.91,($1.32),($0.92)
Diluted EPS - Continuing Ops,$2.48,$1.95,$3.32,$2.91,($1.32),($0.92)
Diluted Weighted Average Shares Outst.,58.7,58.2,57.9,57.8,56.2,56.0
Normalized Basic EPS,$2.19,$2.28,$2.70,$2.36,$1.93,$2.24
Normalized Diluted EPS,$2.16,$2.25,$2.66,$2.33,$1.93,$2.24
Dividend Per Share,$1.20,$1.24,$1.28,$1.32,$1.36,$1.37
Payout Ratio,47.95%,62.96%,38.27%,45.02%,NM,NM
EBITDA,283.3,301.0,338.7,309.8,275.1,321.7
EBITA,266.5,282.6,319.8,290.5,254.1,288.0
EBIT,216.7,233.0,271.6,235.8,191.6,218.2
EBITDAR,319.9,335.8,369.4,338.1,304.4,
Effective Tax Rate,16.6%,40.5%,10.2%,21.0%,NM,NM
Normalized Net Income,127.1,130.8,153.8,135.0,108.2,125.3
Interest on Long-Term Debt,16.7,16.9,13.3,16.1,25.0,
R&D Expense From Footnotes,39.7,40.2,41.4,37.1,36.0,34.6
Foreign Sales,842.9,932.0,882.3,867.1,887.4,
