Income Statement,Dec 2016,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Revenues,493.3,683.1,1007.3,1312.2,1820.0,2007.6
Total Revenues,493.3,683.1,1007.3,1312.2,1820.0,2007.6
Cost Of Revenues,214.2,325.7,536.6,790.8,1292.1,1471.7
Gross Profit,279.1,357.4,470.7,521.4,527.9,535.9
Selling General & Admin Expenses,158.8,206.1,287.4,406.5,501.0,527.6
Depreciation & Amortization,35.2,51.8,85.9,115.4,141.8,146.2
Total Operating Expenses,194.0,258.0,373.3,522.0,642.8,673.8
Operating Income,85.2,99.4,97.3,(0.6),(114.9),(137.9)
Interest Expense,(0.6),(2.1),(7.5),(24.4),(29.7),(30.5)
Interest And Investment Income,1.3,2.0,4.0,3.9,1.7,1.7
Net Interest Expenses,0.7,(0.1),(3.5),(20.5),(28.0),(28.8)
"EBT, Excl. Unusual Items",85.9,99.3,93.8,(21.1),(142.9),(166.7)
"EBT, Incl. Unusual Items",83.9,89.6,81.4,(26.8),(177.0),(200.7)
Income Tax Expense,34.3,(9.3),3.0,(8.2),(21.1),(2.9)
Earnings From Continuing Operations,49.6,99.0,78.5,(18.6),(155.9),(197.9)
Net Income to Company,49.6,99.0,78.5,(18.6),(155.9),(197.9)
Net Income,49.6,99.0,78.5,(18.6),(155.9),(197.9)
NI to Common Incl Extra Items,49.6,99.0,78.5,(18.6),(155.9),(197.9)
NI to Common Excl. Extra Items,49.6,99.0,78.5,(18.6),(155.9),(197.9)
Revenue Per Share,$5.80,$7.92,$11.26,$14.38,$19.71,$21.66
Basic EPS,$0.58,$1.15,$0.88,($0.20),($1.69),($2.14)
Basic EPS - Continuing Ops,$0.58,$1.15,$0.88,($0.20),($1.69),($2.14)
Basic Weighted Average Shares Outst.,85.1,86.3,89.4,91.2,92.3,92.7
Diluted EPS,$0.58,$1.12,$0.85,($0.20),($1.69),($2.14)
Diluted EPS - Continuing Ops,$0.58,$1.12,$0.85,($0.20),($1.69),($2.14)
Diluted Weighted Average Shares Outst.,86.1,88.2,92.4,91.2,92.3,92.7
Normalized Basic EPS,$0.63,$0.72,$0.66,($0.14),($0.97),($1.12)
Normalized Diluted EPS,$0.62,$0.70,$0.63,($0.14),($0.97),($1.12)
EBITDA,115.0,139.2,161.5,80.4,(26.8),(45.4)
EBITA,106.0,127.5,139.8,50.1,(69.2),(91.5)
EBIT,85.2,99.4,97.3,(0.6),(114.9),(137.9)
EBITDAR,121.8,146.7,174.6,98.4,(8.1),
Effective Tax Rate,40.9%,NM,3.6%,NM,NM,NM
Normalized Net Income,53.7,62.1,58.6,(13.2),(89.3),(104.2)
Interest on Long-Term Debt,0.6,2.1,7.5,24.3,29.7,
R&D Expense From Footnotes,47.9,68.3,104.1,149.8,176.6,177.3
