Income Statement,Jul 2016,Jul 2017,Jul 2018,Jul 2019,Jul 2020,TTM
Revenues,662.7,770.2,871.9,918.2,1016.0,1061.4
Total Revenues,662.7,770.2,871.9,918.2,1016.0,1061.4
Cost Of Revenues,352.6,402.6,455.5,487.9,553.5,563.5
Gross Profit,310.1,367.5,416.4,430.2,462.6,497.8
Selling General & Admin Expenses,194.3,233.0,260.7,278.7,329.2,332.2
R&D Expenses,15.4,18.4,24.6,31.3,32.4,31.9
Total Operating Expenses,209.7,251.4,285.3,310.0,361.6,364.1
Operating Income,100.5,116.1,131.0,120.2,101.0,133.7
Interest Expense,(3.3),(4.3),(5.3),(9.5),(41.4),(57.2)
Net Interest Expenses,(3.3),(4.3),(5.3),(9.5),(41.4),(57.2)
Other Non Operating Income (Expenses),,0.1,,,,
"EBT, Excl. Unusual Items",97.1,112.0,125.8,110.7,59.6,76.6
"EBT, Incl. Unusual Items",93.9,106.2,117.5,75.3,7.0,51.1
Income Tax Expense,34.0,34.9,26.5,20.3,(6.8),4.4
Earnings From Continuing Operations,60.0,71.4,91.0,55.0,13.7,46.7
Net Income to Company,60.0,71.4,91.0,55.0,13.7,46.7
Net Income,60.0,71.4,91.0,55.0,13.7,46.7
Preferred Dividend and Other Adjustments,0.5,0.4,0.3,0.1,0.0,0.0
NI to Common Incl Extra Items,59.5,70.9,90.7,55.0,13.7,46.7
NI to Common Excl. Extra Items,59.5,70.9,90.7,55.0,13.7,46.7
Revenue Per Share,$16.03,$18.57,$20.98,$22.02,$24.06,$25.15
Basic EPS,$1.44,$1.71,$2.18,$1.32,$0.32,$1.11
Basic EPS - Continuing Ops,$1.44,$1.71,$2.18,$1.32,$0.32,$1.11
Basic Weighted Average Shares Outst.,41.3,41.5,41.6,41.7,42.2,42.2
Diluted EPS,$1.44,$1.71,$2.18,$1.32,$0.32,$1.09
Diluted EPS - Continuing Ops,$1.44,$1.71,$2.18,$1.32,$0.32,$1.09
Diluted Weighted Average Shares Outst.,41.4,41.5,41.6,41.8,42.3,42.9
Normalized Basic EPS,$1.47,$1.69,$1.89,$1.66,$0.88,$1.13
Normalized Diluted EPS,$1.47,$1.68,$1.89,$1.66,$0.88,$1.12
Dividend Per Share,$0.12,$0.14,$0.17,$0.20,$0.11,
Payout Ratio,8.35%,8.18%,7.79%,15.17%,32.62%,0.00%
EBITDA,125.5,147.2,165.9,162.6,164.4,202.6
EBITA,113.6,132.1,148.4,141.1,133.9,169.6
EBIT,100.5,116.1,131.0,120.2,101.0,133.7
EBITDAR,132.2,154.9,174.7,172.2,169.1,
Effective Tax Rate,36.2%,32.8%,22.5%,26.9%,NM,8.5%
Normalized Net Income,60.7,70.0,78.6,69.2,37.3,47.9
Interest on Long-Term Debt,,,,,0.9,
R&D Expense From Footnotes,15.4,20.8,24.6,31.3,32.4,31.9
Foreign Sales,149.7,170.5,228.2,252.5,273.6,
