Income Statement,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Revenues,12.17%,16.75%,(12.07%),(6.24%),4.64%
Total Revenues,12.17%,16.75%,(12.07%),(6.24%),4.64%
Cost Of Revenues,8.76%,13.18%,(6.95%),(4.09%),4.63%
Gross Profit,22.53%,26.37%,(24.46%),(12.62%),4.69%
Selling General & Admin Expenses,1.39%,10.50%,(3.61%),(3.00%),(0.28%)
Total Operating Expenses,1.18%,9.46%,(4.31%),(3.03%),(0.36%)
Operating Income,63.14%,46.31%,(42.24%),(26.65%),13.92%
Interest Expense,(8.69%),(31.71%),-8.17%,-6.32%,-19.10%
Interest And Investment Income,,,(29.27%),(56.08%),(73.56%)
Net Interest Expenses,(30.39%),-11.17%,(2.01%),(10.33%),-1.97%
Currency Exchange Gains (Loss),97.60%,,-28.98%,(189.60%),
Other Non Operating Income (Expenses),,-96.16%,,,(91.23%)
"EBT, Excl. Unusual Items",63.08%,54.31%,(44.72%),(31.72%),12.04%
"EBT, Incl. Unusual Items",196.51%,49.19%,(45.70%),(30.04%),28.84%
Income Tax Expense,566.60%,(76.50%),(12.43%),(43.84%),(10.10%)
Earnings From Continuing Operations,,,(52.45%),(24.88%),44.20%
Net Income to Company,,,(52.45%),(24.88%),44.20%
Minority Interest,(34.94%),-0.64%,(9.63%),(0.70%),(7.89%)
Net Income,,,(52.59%),(25.02%),44.46%
NI to Common Incl Extra Items,,,(52.59%),(25.02%),44.46%
NI to Common Excl. Extra Items,,,(52.59%),(25.02%),44.46%
Revenue Per Share,13.33%,17.76%,(12.22%),(6.37%),4.49%
Basic EPS,,,(52.57%),(24.89%),44.25%
Basic EPS - Continuing Ops,,,(52.57%),(24.89%),44.25%
Basic Weighted Average Shares Outst.,(1.03%),(0.87%),0.16%,0.16%,0.15%
Diluted EPS,,,(49.55%),(24.89%),43.86%
Diluted EPS - Continuing Ops,,,(49.55%),(24.89%),43.86%
Diluted Weighted Average Shares Outst.,(3.36%),6.17%,(6.13%),0.06%,0.09%
Normalized Basic EPS,64.30%,56.19%,(44.93%),(32.17%),11.91%
Normalized Diluted EPS,68.80%,45.83%,(41.14%),(31.71%),11.97%
Dividend Per Share,2.00%,24.04%,15.62%,2.70%,0.00%
Payout Ratio,,,142.38%,37.17%,(30.68%)
EBITDA,36.02%,30.49%,(31.05%),(16.22%),8.22%
EBITA,58.46%,43.62%,(41.90%),(25.98%),13.23%
EBIT,63.14%,46.31%,(42.24%),(26.65%),13.92%
EBITDAR,,,,(15.38%),
Effective Tax Rate,124.79%,(84.25%),61.31%,(19.73%),(30.23%)
Normalized Net Income,63.23%,54.55%,(44.87%),(31.90%),12.07%
Interest on Long-Term Debt,2.11%,55.55%,6.35%,(9.98%),
R&D Expense From Footnotes,0.47%,8.54%,(4.20%),1.48%,1.48%
Foreign Sales,13.08%,14.07%,(13.52%),(3.63%),
