Income Statement,Dec 2016,Dec 2017,Dec 2018,Dec 2019,Jan 2021,TTM
Revenues,3926.9,3920.7,3951.9,4124.0,4388.0,4388.0
Total Revenues,3926.9,3920.7,3951.9,4124.0,4388.0,4388.0
Cost Of Revenues,2026.9,2009.5,2066.8,2155.7,2196.1,2196.1
Gross Profit,1900.0,1911.3,1885.0,1968.3,2191.8,2191.8
Selling General & Admin Expenses,1446.9,1460.2,1492.5,1548.6,1686.0,1686.0
Depreciation & Amortization,140.9,146.7,144.1,144.2,141.4,141.4
Total Operating Expenses,1587.8,1606.9,1636.6,1692.8,1827.4,1827.4
Operating Income,312.2,304.4,248.4,275.5,364.5,364.5
Interest Expense,(34.9),(36.6),(35.7),(38.8),(38.8),(38.8)
Interest And Investment Income,20.6,22.9,27.8,27.8,26.7,26.7
Net Interest Expenses,(14.4),(13.6),(7.9),(11.1),(12.1),(12.1)
"EBT, Excl. Unusual Items",297.9,290.7,240.5,264.4,352.4,352.4
"EBT, Incl. Unusual Items",249.5,149.3,197.2,212.1,200.7,200.7
Income Tax Expense,85.8,(0.8),40.0,47.5,48.4,48.4
Earnings From Continuing Operations,163.8,150.1,157.2,164.5,152.3,152.3
Net Income to Company,163.8,150.1,157.2,164.5,152.3,152.3
Net Income,163.8,150.1,157.2,164.5,152.3,152.3
NI to Common Incl Extra Items,163.8,150.1,157.2,164.5,152.3,152.3
NI to Common Excl. Extra Items,163.8,150.1,157.2,164.5,152.3,152.3
Revenue Per Share,$18.83,$18.71,$18.73,$19.49,$20.72,$20.72
Basic EPS,$0.79,$0.72,$0.74,$0.78,$0.72,$0.72
Basic EPS - Continuing Ops,$0.79,$0.72,$0.74,$0.78,$0.72,$0.72
Basic Weighted Average Shares Outst.,208.5,209.6,211.0,211.6,211.8,211.8
Diluted EPS,$0.78,$0.71,$0.74,$0.78,$0.72,$0.72
Diluted EPS - Continuing Ops,$0.78,$0.71,$0.74,$0.78,$0.72,$0.72
Diluted Weighted Average Shares Outst.,210.4,210.4,211.6,212.0,212.3,212.3
Normalized Basic EPS,$0.89,$0.87,$0.71,$0.78,$1.04,$1.04
Normalized Diluted EPS,$0.89,$0.86,$0.71,$0.78,$1.04,$1.04
Dividend Per Share,$0.63,$0.67,$0.71,$0.75,$0.79,$0.79
Payout Ratio,80.03%,93.91%,95.58%,97.23%,109.82%,109.82%
EBITDA,449.8,447.0,384.5,402.5,489.3,489.3
EBITA,336.7,331.6,274.3,304.8,395.2,395.2
EBIT,312.2,304.4,248.4,275.5,364.5,364.5
EBITDAR,547.2,542.0,475.2,501.0,587.1,587.1
Effective Tax Rate,34.4%,NM,20.3%,22.4%,24.1%,24.1%
Normalized Net Income,186.2,181.7,150.3,165.2,220.2,220.2
Interest on Long-Term Debt,34.9,36.6,35.7,38.8,38.8,38.8
R&D Expense From Footnotes,6.3,6.5,12.9,14.5,13.3,13.3
