Income Statement,Sep 2016,Sep 2017,Sep 2018,Sep 2019,Sep 2020,TTM
Revenues,6279.2,6829.6,7705.5,8382.0,6856.8,6830.5
Total Revenues,6279.2,6829.6,7705.5,8382.0,6856.8,6830.5
Cost Of Revenues,5222.5,5648.8,6353.5,6864.6,5743.4,5736.7
Gross Profit,1056.7,1180.8,1352.0,1517.4,1113.4,1093.8
Selling General & Admin Expenses,612.4,672.0,685.8,685.6,613.6,602.8
Total Operating Expenses,664.9,717.8,724.1,722.5,624.6,609.0
Operating Income,391.8,463.0,627.9,794.9,488.8,484.8
Interest Expense,(60.6),(59.6),(71.6),(54.4),(59.3),(47.7)
Interest And Investment Income,2.1,4.9,15.3,6.8,7.5,5.8
Net Interest Expenses,(58.5),(54.7),(56.3),(47.6),(51.8),(41.9)
Currency Exchange Gains (Loss),(1.2),0.2,(3.8),2.1,(2.7),(2.7)
Other Non Operating Income (Expenses),2.7,2.8,1.2,1.3,0.7,9.4
"EBT, Excl. Unusual Items",336.6,412.8,570.1,750.7,433.2,448.3
"EBT, Incl. Unusual Items",308.8,412.8,595.7,750.7,437.3,449.5
Income Tax Expense,92.4,127.2,123.8,171.3,112.8,100.2
Earnings From Continuing Operations,216.4,285.6,471.9,579.4,324.5,349.3
Net Income to Company,216.4,285.6,471.9,579.4,324.5,349.3
Net Income,216.4,285.6,471.9,579.4,324.5,349.3
NI to Common Incl Extra Items,216.4,285.6,471.9,579.4,324.5,349.3
NI to Common Excl. Extra Items,216.4,285.6,471.9,579.4,324.5,349.3
Revenue Per Share,$85.35,$91.46,$104.13,$120.05,$100.61,$100.09
Basic EPS,$2.94,$3.82,$6.38,$8.30,$4.76,$5.12
Basic EPS - Continuing Ops,$2.94,$3.82,$6.38,$8.30,$4.76,$5.12
Basic Weighted Average Shares Outst.,73.6,74.7,74.0,69.8,68.1,68.2
Diluted EPS,$2.91,$3.77,$6.29,$8.21,$4.72,$5.08
Diluted EPS - Continuing Ops,$2.91,$3.77,$6.29,$8.21,$4.72,$5.08
Diluted Weighted Average Shares Outst.,74.4,75.8,75.0,70.6,68.8,68.9
Normalized Basic EPS,$2.86,$3.46,$4.81,$6.72,$3.97,$4.11
Normalized Diluted EPS,$2.83,$3.40,$4.75,$6.65,$3.94,$4.07
Dividend Per Share,$0.76,$0.84,$0.96,$1.08,$1.20,$1.26
Payout Ratio,25.83%,21.99%,15.09%,13.03%,25.21%,24.65%
EBITDA,517.6,590.3,746.0,908.5,584.3,575.2
EBITA,444.3,508.8,666.2,831.8,499.8,491.0
EBIT,391.8,463.0,627.9,794.9,488.8,484.8
EBITDAR,562.6,638.3,,,696.2,
Effective Tax Rate,29.9%,30.8%,20.8%,22.8%,25.8%,22.3%
Normalized Net Income,210.4,258.0,356.3,469.2,270.8,280.2
R&D Expense From Footnotes,103.1,98.0,99.3,99.0,103.9,103.9
Foreign Sales,1522.6,6829.6,7705.5,8382.0,6856.8,
