Income Statement,Jun 2016,Jun 2017,Jun 2018,Jun 2019,Jun 2020,TTM
Revenues,228.0,296.4,368.4,447.8,546.2,594.5
Other Revenues,2.7,3.6,9.1,19.9,15.1,4.3
Total Revenues,230.7,300.0,377.5,467.6,561.3,598.8
Cost Of Revenues,98.1,124.0,149.2,153.9,182.0,206.1
Gross Profit,132.6,176.0,228.3,313.8,379.3,392.6
Selling General & Admin Expenses,109.4,139.6,174.7,207.2,246.7,259.9
R&D Expenses,26.7,29.1,37.6,50.3,62.8,73.8
Total Operating Expenses,136.2,168.7,212.4,257.6,309.4,333.7
Operating Income,(3.6),7.3,15.9,56.2,69.9,59.0
Interest Expense,,,,,(0.7),(0.7)
Interest And Investment Income,0.6,0.3,1.0,2.3,2.0,2.0
Net Interest Expenses,0.6,0.3,1.0,2.3,1.3,1.3
"EBT, Excl. Unusual Items",(3.0),7.6,17.0,58.5,71.2,58.3
"EBT, Incl. Unusual Items",(3.7),7.4,16.8,58.0,67.1,54.2
Income Tax Expense,0.2,0.7,(21.8),4.2,2.7,(9.7)
Earnings From Continuing Operations,(3.9),6.7,38.6,53.8,64.5,63.9
Net Income to Company,(3.9),6.7,38.6,53.8,64.5,63.9
Net Income,(3.9),6.7,38.6,53.8,64.5,63.9
NI to Common Incl Extra Items,(3.9),6.7,38.6,53.8,64.5,63.9
NI to Common Excl. Extra Items,(3.9),6.7,38.6,53.8,64.5,63.9
Revenue Per Share,$4.53,$5.84,$7.20,$8.84,$10.48,$11.06
Basic EPS,($0.08),$0.13,$0.74,$1.02,$1.20,$1.18
Basic EPS - Continuing Ops,($0.08),$0.13,$0.74,$1.02,$1.20,$1.18
Basic Weighted Average Shares Outst.,50.9,51.4,52.4,52.9,53.5,54.1
Diluted EPS,($0.08),$0.12,$0.70,$0.97,$1.15,$1.13
Diluted EPS - Continuing Ops,($0.08),$0.12,$0.70,$0.97,$1.15,$1.13
Diluted Weighted Average Shares Outst.,50.9,54.1,54.9,55.4,55.8,56.2
Normalized Basic EPS,($0.04),$0.09,$0.20,$0.69,$0.83,$0.67
Normalized Diluted EPS,($0.04),$0.09,$0.19,$0.66,$0.80,$0.65
EBITDA,4.9,18.9,31.8,73.9,88.5,81.8
EBITA,(2.0),8.8,17.6,58.5,72.4,61.5
EBIT,(3.6),7.3,15.9,56.2,69.9,59.0
EBITDAR,10.5,27.4,40.1,83.6,101.4,
Effective Tax Rate,NM,8.8%,NM,7.3%,4.0%,NM
Normalized Net Income,(1.9),4.8,10.6,36.6,44.5,36.4
Interest on Long-Term Debt,,,,,0.7,
R&D Expense From Footnotes,32.2,38.5,52.0,67.3,82.0,93.1
