Income Statement,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Revenues,(22.22%),27.32%,(8.14%),(9.52%),0.00%
Total Revenues,(22.22%),27.32%,(8.14%),(9.52%),0.00%
Cost Of Revenues,(20.37%),25.83%,(4.09%),(12.84%),0.00%
Gross Profit,(64.86%),105.01%,,,0.00%
Selling General & Admin Expenses,43.58%,(22.20%),112.37%,(20.91%),0.00%
Total Operating Expenses,43.58%,(22.20%),112.37%,(20.91%),0.00%
Operating Income,(85.83%),354.26%,,,0.00%
Interest Expense,-3.20%,(14.36%),-3.94%,-2.68%,0.00%
Interest And Investment Income,60.85%,33.40%,52.03%,(53.80%),0.00%
Net Interest Expenses,-23.94%,(1.32%),-54.41%,(151.01%),0.00%
"EBT, Excl. Unusual Items",(91.17%),616.89%,,,0.00%
"EBT, Incl. Unusual Items",(90.16%),616.89%,,-80.68%,0.00%
Income Tax Expense,(92.54%),959.74%,179.94%,(96.17%),0.00%
Earnings From Continuing Operations,(88.56%),467.16%,,-85.51%,0.00%
Earnings Of Discontinued Operations,,(88.69%),(82.37%),,0.00%
Net Income to Company,(33.36%),6.71%,,-76.38%,0.00%
Minority Interest,(40.14%),-7.98%,,,0.00%
Net Income,(45.39%),12.88%,,-71.42%,0.00%
NI to Common Incl Extra Items,(45.39%),12.88%,,-71.42%,0.00%
NI to Common Excl. Extra Items,,,,-80.74%,0.00%
Revenue Per Share,(22.55%),26.73%,(7.90%),(9.81%),0.00%
Basic EPS,(45.57%),12.31%,,-71.52%,0.00%
Basic EPS - Continuing Ops,,,,-80.79%,0.00%
Basic Weighted Average Shares Outst.,0.42%,0.47%,(0.25%),0.32%,0.00%
Diluted EPS,(45.02%),11.33%,,-71.52%,0.00%
Diluted EPS - Continuing Ops,,,,-80.79%,0.00%
Diluted Weighted Average Shares Outst.,(0.01%),0.27%,(0.86%),0.32%,0.00%
Normalized Basic EPS,,,,-97.82%,0.00%
Normalized Diluted EPS,,,,-97.82%,0.00%
Dividend Per Share,0.00%,0.00%,(13.10%),(86.30%),0.00%
Payout Ratio,83.12%,(10.85%),,,0.00%
EBITDA,(64.07%),101.48%,,,0.00%
EBITA,(83.31%),294.13%,,,0.00%
EBIT,(85.83%),354.26%,,,0.00%
EBITDAR,(57.59%),126.92%,,,
Effective Tax Rate,(24.18%),47.81%,,,0.00%
Normalized Net Income,,,,-97.82%,0.00%
Interest on Long-Term Debt,,,,(64.62%),
Foreign Sales,(10.05%),129.18%,(8.14%),(9.52%),
