Income Statement,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Revenues,(0.56%),(0.66%),(0.58%),(4.59%),2.78%
Other Revenues,3.92%,1.23%,3.70%,(1.58%),4.64%
Total Revenues,(0.34%),(0.57%),(0.36%),(4.43%),2.88%
Cost Of Revenues,(0.66%),(0.88%),(1.13%),(5.65%),1.65%
Gross Profit,1.38%,1.14%,3.70%,1.73%,9.08%
Selling General & Admin Expenses,3.69%,3.02%,1.94%,(5.61%),(2.92%)
Depreciation & Amortization,10.60%,4.79%,8.60%,8.03%,5.58%
Other Operating Expense/(Income),(628.57%),-30.39%,,(35.29%),20.00%
Total Operating Expenses,3.74%,3.26%,2.69%,(4.73%),(2.33%)
Operating Income,(5.77%),(5.94%),7.39%,24.37%,49.69%
Interest Expense,(13.13%),(15.01%),-1.88%,-35.74%,-38.80%
Interest And Investment Income,(9.09%),10.00%,(54.55%),(40.00%),0.00%
Net Interest Expenses,(13.25%),(15.03%),-1.65%,-35.73%,-38.85%
Other Non Operating Income (Expenses),151.35%,(97.85%),"3,850.00%",59.49%,
"EBT, Excl. Unusual Items",(10.57%),(15.44%),13.67%,51.82%,60.43%
"EBT, Incl. Unusual Items",(9.37%),(16.83%),15.72%,(10.20%),428.84%
Income Tax Expense,(25.54%),(33.75%),21.20%,4.02%,221.06%
Earnings From Continuing Operations,0.76%,(8.99%),13.87%,(15.31%),574.70%
Earnings Of Discontinued Operations,-66.67%,,,-75.00%,-75.00%
Net Income to Company,0.95%,(8.88%),13.64%,(15.20%),578.84%
Net Income,0.95%,(8.88%),13.64%,(15.20%),578.84%
NI to Common Incl Extra Items,0.95%,(8.88%),13.64%,(15.20%),578.84%
NI to Common Excl. Extra Items,0.76%,(8.99%),13.87%,(15.31%),574.70%
Revenue Per Share,5.06%,6.98%,0.53%,(2.48%),6.92%
Basic EPS,6.31%,(1.88%),14.55%,(13.39%),605.50%
Basic EPS - Continuing Ops,6.15%,(2.13%),14.76%,(13.52%),601.20%
Basic Weighted Average Shares Outst.,(5.14%),(7.06%),(0.88%),(2.00%),(3.78%)
Diluted EPS,6.65%,(2.01%),14.54%,(13.53%),605.67%
Diluted EPS - Continuing Ops,6.49%,(2.03%),14.75%,(13.65%),601.35%
Diluted Weighted Average Shares Outst.,(5.39%),(7.03%),(0.88%),(1.99%),(3.49%)
Normalized Basic EPS,(5.80%),(9.10%),14.67%,55.08%,66.73%
Normalized Diluted EPS,(5.45%),(9.00%),14.51%,54.79%,66.23%
EBITDA,(3.34%),(4.12%),7.61%,21.30%,41.12%
EBITA,(5.77%),(5.94%),7.39%,24.37%,49.69%
EBIT,(5.77%),(5.94%),7.39%,24.37%,49.69%
EBITDAR,(2.82%),(2.88%),8.06%,19.50%,
Effective Tax Rate,(17.84%),(20.35%),4.73%,15.84%,(39.29%)
Normalized Net Income,(10.57%),(15.44%),13.67%,51.82%,60.43%
Interest Capitalized,100.00%,40.00%,(7.14%),(53.85%),
Interest on Long-Term Debt,,,,(25.74%),
