Income Statement,Jul 2016,Jul 2017,Jul 2018,Jul 2019,Jul 2020,TTM
Revenues,4582.1,7247.0,8328.9,7864.8,8167.9,9271.2
Total Revenues,4582.1,7247.0,8328.9,7864.8,8167.9,9271.2
Cost Of Revenues,3855.8,6203.4,7164.2,6830.2,7049.7,7924.4
Gross Profit,726.3,1043.6,1164.7,1034.5,1118.2,1346.7
Selling General & Admin Expenses,306.3,419.8,477.4,536.0,634.1,671.3
Total Operating Expenses,334.2,483.8,532.6,611.7,731.4,776.5
Operating Income,392.1,559.8,632.1,422.8,386.9,570.2
Interest Expense,(1.6),(9.7),(5.2),(68.1),(107.3),(100.5)
Interest And Investment Income,0.7,0.9,2.1,8.1,3.1,1.7
Net Interest Expenses,(0.8),(8.8),(3.0),(60.0),(104.2),(98.8)
Other Non Operating Income (Expenses),1.2,5.4,5.9,7.0,7.2,10.5
"EBT, Excl. Unusual Items",392.4,556.4,633.0,361.0,283.0,479.7
"EBT, Incl. Unusual Items",383.3,556.4,633.0,184.7,272.9,479.7
Income Tax Expense,125.3,182.1,202.9,52.2,51.5,90.3
Earnings From Continuing Operations,258.0,374.3,430.2,132.5,221.4,389.3
Earnings Of Discontinued Operations,(1.5),,,,,
Net Income to Company,256.5,374.3,430.2,132.5,221.4,389.3
Minority Interest,,,,0.8,1.6,0.2
Net Income,256.5,374.3,430.2,133.3,223.0,389.5
NI to Common Incl Extra Items,256.5,374.3,430.2,133.3,223.0,389.5
NI to Common Excl. Extra Items,258.0,374.3,430.2,133.3,223.0,389.5
Revenue Per Share,$87.35,$137.87,$158.12,$145.90,$148.04,$167.80
Basic EPS,$4.89,$7.12,$8.17,$2.47,$4.04,$7.05
Basic EPS - Continuing Ops,$4.92,$7.12,$8.17,$2.47,$4.04,$7.05
Basic Weighted Average Shares Outst.,52.5,52.6,52.7,53.9,55.2,55.3
Diluted EPS,$4.88,$7.09,$8.14,$2.47,$4.02,$7.01
Diluted EPS - Continuing Ops,$4.91,$7.09,$8.14,$2.47,$4.02,$7.01
Diluted Weighted Average Shares Outst.,52.6,52.8,52.9,54.0,55.4,55.5
Normalized Basic EPS,$4.68,$6.62,$7.51,$4.20,$3.23,$5.43
Normalized Diluted EPS,$4.66,$6.59,$7.49,$4.19,$3.22,$5.40
Dividend Per Share,$1.20,$1.32,$1.48,$1.56,$1.60,$1.62
Payout Ratio,24.55%,18.55%,18.13%,63.13%,39.61%,22.99%
EBITDA,444.7,658.1,725.3,571.6,583.0,778.1
EBITA,420.1,623.7,687.2,498.5,484.1,675.5
EBIT,392.1,559.8,632.1,422.8,386.9,570.2
EBITDAR,448.4,661.6,729.1,580.4,595.6,
Effective Tax Rate,32.7%,32.7%,32.0%,28.3%,18.9%,18.8%
Normalized Net Income,245.3,347.7,395.6,226.4,178.4,300.0
Interest on Long-Term Debt,1.6,9.7,,56.9,94.0,
R&D Expense From Footnotes,,2.6,2.0,9.4,19.1,19.1
Foreign Sales,,,788.9,2061.4,2871.5,
