Income Statement,Dec 2017,Dec 2018,Dec 2019,Jan 2021,TTM
Revenues,6.31%,1.82%,1.65%,(14.06%),(8.03%)
Total Revenues,6.31%,1.82%,1.65%,(14.06%),(8.03%)
Cost Of Revenues,5.34%,2.48%,2.34%,(15.89%),(12.61%)
Gross Profit,7.60%,0.95%,0.74%,(11.64%),(1.90%)
Selling General & Admin Expenses,11.24%,3.39%,(0.35%),(7.28%),(6.83%)
Other Operating Expense/(Income),(0.85%),-9.84%,-11.03%,-24.14%,-21.03%
Total Operating Expenses,11.71%,3.93%,0.02%,(6.75%),(6.40%)
Operating Income,(1.57%),(6.61%),2.76%,(25.06%),11.90%
Interest Expense,(11.09%),(15.06%),(8.82%),(49.03%),(69.72%)
Interest And Investment Income,(38.72%),52.75%,147.25%,16.27%,(17.09%)
Net Interest Expenses,(12.15%),(14.62%),(6.67%),(50.21%),(73.51%)
"EBT, Excl. Unusual Items",(1.10%),(8.97%),2.98%,(32.94%),8.12%
"EBT, Incl. Unusual Items",(1.10%),(8.97%),(7.87%),(58.84%),76.60%
Income Tax Expense,(35.94%),(16.23%),(13.20%),(60.61%),56.12%
Earnings From Continuing Operations,17.52%,(6.86%),(6.48%),(58.41%),82.29%
Net Income to Company,17.52%,(6.86%),(6.48%),(58.41%),82.29%
Net Income,17.52%,(6.86%),(6.48%),(58.41%),82.29%
Preferred Dividend and Other Adjustments,17.64%,(10.76%),13.13%,(53.99%),(20.73%)
NI to Common Incl Extra Items,17.51%,(6.83%),(6.63%),(58.45%),83.95%
NI to Common Excl. Extra Items,17.51%,(6.83%),(6.63%),(58.45%),83.95%
Revenue Per Share,11.50%,4.97%,5.68%,(11.76%),(6.48%)
Basic EPS,23.29%,(3.90%),(2.86%),(57.36%),87.05%
Basic EPS - Continuing Ops,23.29%,(3.90%),(2.86%),(57.36%),87.05%
Basic Weighted Average Shares Outst.,(4.66%),(3.01%),(3.81%),(2.61%),(1.65%)
Diluted EPS,22.85%,(3.83%),(2.56%),(57.23%),86.90%
Diluted EPS - Continuing Ops,22.85%,(3.83%),(2.56%),(57.23%),86.90%
Diluted Weighted Average Shares Outst.,(4.43%),(3.11%),(4.16%),(2.91%),(1.72%)
Normalized Basic EPS,3.75%,(6.23%),7.05%,(31.14%),9.94%
Normalized Diluted EPS,3.39%,(6.11%),7.43%,(30.87%),10.02%
Dividend Per Share,12.12%,21.62%,11.11%,(70.00%),(100.00%)
Payout Ratio,(9.07%),26.73%,14.43%,(29.52%),(100.00%)
EBITDA,0.86%,(4.46%),3.55%,(20.63%),9.19%
EBITA,(1.40%),(6.31%),2.74%,(24.84%),11.77%
EBIT,(1.57%),(6.61%),2.76%,(25.06%),11.90%
EBITDAR,2.40%,(2.82%),14.61%,(12.65%),
Effective Tax Rate,(35.23%),(7.97%),(5.78%),(4.30%),(11.60%)
Normalized Net Income,(1.10%),(8.97%),2.98%,(32.94%),8.12%
Foreign Sales,13.91%,3.59%,(0.21%),(16.97%),
