Income Statement,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Revenues,10.81%,4.24%,5.57%,0.21%,3.97%
Total Revenues,10.81%,4.24%,5.57%,0.21%,3.97%
Cost Of Revenues,9.05%,3.65%,4.76%,1.60%,4.25%
Gross Profit,17.47%,6.33%,8.34%,(4.41%),3.01%
Selling General & Admin Expenses,10.29%,5.82%,19.83%,(7.17%),(5.74%)
Other Operating Expense/(Income),(16.67%),(4.08%),(49.02%),(11.84%),(31.51%)
Total Operating Expenses,10.23%,5.83%,19.55%,(7.40%),(6.16%)
Operating Income,37.27%,7.44%,(15.90%),4.78%,34.83%
Interest Expense,(57.84%),(107.14%),(35.83%),(6.51%),(18.38%)
Interest And Investment Income,57.69%,68.29%,(18.84%),0.00%,20.00%
Net Interest Expenses,(57.87%),(112.81%),(42.14%),(6.94%),(18.27%)
Currency Exchange Gains (Loss),,(156.52%),-73.45%,(114.89%),-16.47%
Other Non Operating Income (Expenses),-73.68%,(760.00%),(37.21%),(50.85%),(41.38%)
"EBT, Excl. Unusual Items",29.85%,(14.07%),(32.21%),(3.85%),54.64%
"EBT, Incl. Unusual Items",45.20%,(76.58%),120.00%,(15.19%),96.49%
Income Tax Expense,100.89%,(55.61%),(12.86%),(7.21%),110.74%
Earnings From Continuing Operations,(48.82%),,,(30.15%),69.71%
Earnings Of Discontinued Operations,-88.24%,,,,
Net Income to Company,(47.32%),,,(34.04%),60.47%
Minority Interest,-33.01%,-15.94%,-27.59%,(40.48%),(72.73%)
Net Income,(51.59%),,,(44.83%),57.31%
NI to Common Incl Extra Items,(51.59%),,,(44.83%),57.31%
NI to Common Excl. Extra Items,(53.31%),,,(40.64%),68.90%
Revenue Per Share,9.28%,3.82%,7.05%,(0.19%),4.28%
Basic EPS,(52.26%),,,(45.27%),57.78%
Basic EPS - Continuing Ops,(53.70%),,,(40.48%),69.41%
Basic Weighted Average Shares Outst.,1.40%,0.39%,(1.38%),0.40%,(0.30%)
Diluted EPS,(52.73%),,,(43.88%),64.87%
Diluted EPS - Continuing Ops,(54.17%),,,(40.00%),77.22%
Diluted Weighted Average Shares Outst.,2.37%,(1.74%),0.39%,(0.59%),(1.17%)
Normalized Basic EPS,35.87%,(14.20%),(31.66%),(7.03%),53.55%
Normalized Diluted EPS,34.58%,(12.27%),(32.87%),(6.37%),54.91%
Dividend Per Share,37.50%,9.09%,0.00%,0.00%,0.00%
Payout Ratio,189.02%,,,82.47%,(36.43%)
EBITDA,25.53%,8.84%,(3.69%),7.80%,26.57%
EBITA,39.28%,11.06%,(11.04%),7.31%,34.47%
EBIT,37.27%,7.44%,(15.90%),4.78%,34.83%
EBITDAR,,,,10.92%,
Effective Tax Rate,38.36%,89.56%,(60.39%),9.40%,7.25%
Normalized Net Income,37.54%,(13.96%),(32.48%),(6.62%),53.09%
Interest on Long-Term Debt,,,,(4.05%),
Foreign Sales,13.93%,(1.23%),(3.19%),4.10%,
