Income Statement,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Premiums and Annuity Revenues,5.86%,44.02%,32.15%,4.47%,3.12%
Total Interest And Dividend Income,0.66%,11.38%,13.77%,(6.98%),(7.11%)
Gain (Loss) on Sale of Investments,,,,(45.69%),
Other Revenues,75.54%,(34.84%),(49.20%),42.11%,104.22%
Total Revenues,7.99%,35.23%,35.86%,2.15%,8.15%
Policy Benefits,3.18%,34.24%,29.26%,4.24%,3.68%
Selling General & Admin Expenses,(8.30%),39.74%,11.66%,8.65%,5.75%
Other Operating Expenses,,40.04%,31.69%,0.75%,0.75%
Total Operating Expenses,2.18%,35.64%,24.98%,5.15%,4.12%
Operating Income,157.52%,31.06%,150.78%,(13.65%),36.93%
"Interest Expense, Total",-21.40%,(24.36%),-2.07%,-15.29%,(2.86%)
"EBT, Excl. Unusual Items","17,800.00%",29.17%,219.89%,(27.29%),29.52%
Total Merger & Rel. Restruct. Charges,,,-58.84%,(244.02%),(175.61%)
Asset Writedown,,,,,0.00%
Legal Settlements,,,(43.70%),344.78%,(100.00%)
"EBT, Incl. Unusual Items","4,502.86%",23.59%,232.30%,(22.90%),1.73%
Income Tax Expense,,(74.03%),"1,119.63%",(23.22%),(18.99%)
Earnings From Continuing Operations,844.09%,57.13%,181.90%,(22.82%),6.66%
Earnings Of Discontinued Operations,(75.61%),70.00%,,,
Net Income to Company,619.64%,57.24%,179.38%,(22.82%),6.66%
Net Income,619.64%,57.24%,179.38%,(22.82%),6.66%
Pref. Dividends and Other Adj.,,25.00%,70.00%,(76.47%),(63.64%)
NI to Common Incl Extra Items,606.47%,57.45%,179.96%,(22.65%),6.84%
NI to Common Excl. Extra Items,823.26%,57.35%,182.50%,(22.65%),6.84%
Revenue Per Share,7.59%,19.41%,19.91%,2.53%,9.71%
Basic EPS,608.80%,38.97%,147.25%,(22.40%),8.38%
Basic EPS - Continuing Ops,827.83%,38.91%,149.56%,(22.40%),8.38%
Basic Weighted Average Shares Outst.,0.37%,13.25%,13.30%,(0.37%),(1.42%)
Diluted EPS,605.88%,38.15%,147.20%,(22.86%),7.27%
Diluted EPS - Continuing Ops,824.00%,38.10%,149.53%,(22.86%),7.27%
Diluted Weighted Average Shares Outst.,0.71%,13.91%,13.27%,0.27%,(0.40%)
Normalized Basic EPS,"19,509.76%",14.12%,181.94%,(27.08%),31.39%
Normalized Diluted EPS,"19,421.44%",13.53%,182.90%,(27.47%),30.04%
Dividend Per Share,0.00%,0.00%,7.29%,16.50%,12.04%
Payout Ratio,(86.02%),(27.53%),(56.97%),50.73%,4.92%
EBITDA,119.73%,27.23%,146.31%,(13.45%),33.27%
EBITA,157.52%,36.40%,148.01%,(14.40%),34.68%
EBIT,157.52%,31.06%,150.78%,(13.65%),36.93%
EBITDAR,,,,(12.58%),
Effective Tax Rate,,(78.98%),267.32%,(0.39%),(20.36%)
Normalized Net Income,"17,800.00%",29.17%,219.89%,(27.29%),29.52%
Interest on Long-Term Debt,(21.40%),24.07%,(1.85%),(15.29%),
