Income Statement,Feb 2017,Feb 2018,Feb 2019,Jan 2020,Jan 2021,TTM
Revenues,4442.0,4454.0,4659.0,6379.0,7056.0,7056.0
Total Revenues,4442.0,4454.0,4659.0,6379.0,7056.0,7056.0
Cost Of Revenues,4003.0,4043.0,4195.0,5673.0,6264.0,6264.0
Gross Profit,439.0,411.0,464.0,706.0,792.0,792.0
Selling General & Admin Expenses,166.0,155.0,158.0,288.0,346.0,346.0
Other Operating Expense/(Income),,,,,(4.0),(4.0)
Total Operating Expenses,166.0,155.0,158.0,288.0,342.0,342.0
Operating Income,273.0,256.0,306.0,418.0,450.0,450.0
Interest Expense,(52.0),(44.0),(53.0),(90.0),(122.0),(122.0)
Net Interest Expenses,(52.0),(44.0),(53.0),(90.0),(122.0),(122.0)
Other Non Operating Income (Expenses),1.0,2.0,3.0,6.0,2.0,2.0
"EBT, Excl. Unusual Items",222.0,214.0,256.0,334.0,330.0,330.0
"EBT, Incl. Unusual Items",212.0,214.0,170.0,286.0,271.0,271.0
Income Tax Expense,69.0,35.0,33.0,57.0,60.0,60.0
Earnings From Continuing Operations,143.0,179.0,137.0,229.0,211.0,211.0
Net Income to Company,143.0,179.0,137.0,229.0,211.0,211.0
Minority Interest,,,,(3.0),(2.0),(2.0)
Net Income,143.0,179.0,137.0,226.0,209.0,209.0
NI to Common Incl Extra Items,143.0,179.0,137.0,226.0,209.0,209.0
NI to Common Excl. Extra Items,143.0,179.0,137.0,226.0,209.0,209.0
Revenue Per Share,$99.82,$102.86,$107.35,$109.23,$121.45,$121.45
Basic EPS,$3.21,$4.13,$3.16,$3.87,$3.60,$3.60
Basic EPS - Continuing Ops,$3.21,$4.13,$3.16,$3.87,$3.60,$3.60
Basic Weighted Average Shares Outst.,44.5,43.3,43.4,58.4,58.1,58.1
Diluted EPS,$3.12,$4.02,$3.11,$3.83,$3.56,$3.56
Diluted EPS - Continuing Ops,$3.12,$4.02,$3.11,$3.83,$3.56,$3.56
Diluted Weighted Average Shares Outst.,45.9,44.5,44.1,59.0,58.7,58.7
Normalized Basic EPS,$3.12,$3.09,$3.69,$3.52,$3.52,$3.52
Normalized Diluted EPS,$3.02,$3.01,$3.63,$3.49,$3.48,$3.48
Dividend Per Share,$1.24,$1.24,$1.24,$1.48,$1.48,$1.48
Payout Ratio,37.76%,30.17%,38.69%,38.50%,41.63%,41.63%
EBITDA,326.0,301.0,353.0,549.0,607.0,607.0
EBITA,299.0,277.0,330.0,513.0,575.0,575.0
EBIT,273.0,256.0,306.0,418.0,450.0,450.0
EBITDAR,391.0,349.0,399.0,629.0,735.0,735.0
Effective Tax Rate,32.5%,16.4%,19.4%,19.9%,22.1%,22.1%
Normalized Net Income,138.8,133.8,160.0,205.8,204.3,204.3
Interest on Long-Term Debt,52.0,44.0,53.0,90.0,122.0,122.0
R&D Expense From Footnotes,4.0,4.0,5.0,7.0,6.0,6.0
