Income Statement,Sep 2016,Sep 2017,Sep 2018,Sep 2019,Sep 2020,TTM
Revenues,1452.4,1579.9,1592.7,1693.3,1546.3,1603.3
Total Revenues,1452.4,1579.9,1592.7,1693.3,1546.3,1603.3
Fuel & Purchased Power,148.0,275.3,337.8,386.3,233.9,181.6
Operations And Maintenance,436.7,390.9,395.6,411.2,425.4,437.7
Depreciation & Amortization,249.4,224.2,241.0,275.7,306.2,320.8
Other Operating Expenses,86.5,130.3,125.5,128.8,126.2,127.1
Total Operating Expenses,920.6,1020.6,1099.9,1202.0,1091.7,1067.2
Operating Income,531.8,559.3,492.8,491.4,454.6,536.0
"Interest Expense, Total",(121.0),(119.8),(114.5),(106.8),(117.1),(147.6)
Interest and Investment Income,4.2,,,,,
Net Interest Expenses,(116.8),(119.8),(114.5),(106.8),(117.1),(147.6)
Other Non-Operating Inc. (Exp.),9.5,3.0,5.7,4.8,6.9,14.4
"EBT, Excl. Unusual Items",424.5,442.4,383.9,389.4,344.4,402.8
"EBT, Incl. Unusual Items",(523.9),444.0,383.9,389.4,(105.0),106.0
Income Tax Expense,(232.9),160.5,(7.6),85.1,18.7,20.1
Earnings From Continuing Operations,(291.0),283.5,391.5,304.3,(123.8),85.9
Net Income to Company,(291.0),283.5,391.5,304.3,(123.8),85.9
Net Income,(291.0),283.5,391.5,304.3,(123.8),85.9
NI to Common Incl Extra Items,(291.0),283.5,391.5,304.3,(123.8),85.9
NI to Common Excl. Extra Items,(291.0),283.5,391.5,304.3,(123.8),85.9
Revenue Per Share,$17.12,$18.51,$18.56,$19.64,$17.58,$17.76
Basic EPS,($3.43),$3.32,$4.56,$3.53,($1.41),$0.95
Basic EPS - Continuing Ops,($3.43),$3.32,$4.56,$3.53,($1.41),$0.95
Basic Weighted Average Shares Outst.,84.8,85.4,85.8,86.2,88.0,90.3
Diluted EPS,($3.43),$3.30,$4.53,$3.51,($1.41),$0.95
Diluted EPS - Continuing Ops,($3.43),$3.30,$4.53,$3.51,($1.41),$0.95
Diluted Weighted Average Shares Outst.,84.8,86.0,86.4,86.8,88.0,90.5
Normalized Basic EPS,$3.13,$3.24,$2.80,$2.82,$2.45,$2.79
Normalized Diluted EPS,$3.13,$3.21,$2.78,$2.80,$2.45,$2.78
Dividend Per Share,$1.60,$1.64,$1.68,$1.72,$1.76,
Payout Ratio,NM,49.06%,36.59%,48.45%,NM,185.25%
EBITDA,781.2,783.5,733.7,767.0,760.7,856.8
EBITA,531.8,559.3,492.8,491.4,454.6,536.0
EBIT,531.8,559.3,492.8,491.4,454.6,536.0
EBITDAR,,,,,766.0,
Effective Tax Rate,NM,36.2%,NM,21.9%,NM,19.0%
Normalized Net Income,265.3,276.5,240.0,243.4,215.2,251.7
Interest Capitalized,0.6,0.5,0.3,0.2,2.0,
Interest on Long-Term Debt,118.0,117.0,111.2,101.9,112.0,
