Income Statement,Dec 2017,Dec 2018,Jan 2020,Jan 2021,TTM
Revenues,9.92%,36.80%,21.16%,8.84%,17.17%
Total Revenues,9.92%,36.80%,21.16%,8.84%,17.17%
Cost Of Revenues,9.43%,23.22%,17.84%,14.82%,11.99%
Gross Profit,10.13%,42.36%,22.34%,6.80%,19.03%
Selling General & Admin Expenses,(4.75%),31.45%,18.95%,6.55%,9.47%
R&D Expenses,(3.02%),9.90%,14.84%,26.17%,25.29%
Total Operating Expenses,(4.25%),25.09%,17.89%,11.51%,13.53%
Operating Income,-71.08%,,80.01%,(33.15%),81.57%
Interest Expense,0.00%,,,,
Interest And Investment Income,,,498.79%,(75.91%),(97.64%)
Net Interest Expenses,0.00%,,498.79%,(75.91%),(98.39%)
Currency Exchange Gains (Loss),,,-38.16%,,
Other Non Operating Income (Expenses),70.19%,18.95%,(0.80%),(36.98%),(24.62%)
"EBT, Excl. Unusual Items",-81.55%,,96.20%,(27.32%),72.08%
"EBT, Incl. Unusual Items",-81.55%,,96.20%,(36.53%),59.93%
Income Tax Expense,-50.16%,,,,
Earnings From Continuing Operations,-82.36%,,182.77%,(57.91%),(12.02%)
Net Income to Company,-82.36%,,182.77%,(57.91%),(12.02%)
Net Income,-82.36%,,182.77%,(57.91%),(12.02%)
NI to Common Incl Extra Items,-82.36%,,182.77%,(57.91%),(12.02%)
NI to Common Excl. Extra Items,-82.36%,,182.77%,(57.91%),(12.02%)
Revenue Per Share,8.32%,31.70%,16.00%,6.04%,13.74%
Basic EPS,-82.61%,,163.11%,(59.48%),(14.60%)
Basic EPS - Continuing Ops,-82.61%,,163.11%,(59.48%),(14.60%)
Basic Weighted Average Shares Outst.,1.67%,3.86%,4.48%,2.50%,3.02%
Diluted EPS,-82.61%,,172.73%,(60.00%),(18.31%)
Diluted EPS - Continuing Ops,-82.61%,,172.73%,(60.00%),(18.31%)
Diluted Weighted Average Shares Outst.,1.67%,10.37%,3.62%,2.26%,5.63%
Normalized Basic EPS,-81.58%,,82.98%,(27.92%),67.04%
Normalized Diluted EPS,-81.58%,,92.89%,(27.42%),62.91%
EBITDA,-97.13%,,83.58%,(33.67%),47.57%
EBITA,-72.33%,,79.60%,(33.04%),81.26%
EBIT,-71.08%,,80.01%,(33.15%),81.57%
EBITDAR,,,,(27.46%),
Normalized Net Income,-81.55%,,96.20%,(27.32%),72.08%
Interest on Long-Term Debt,,,,(58.33%),
R&D Expense From Footnotes,(3.02%),9.90%,14.84%,26.17%,25.29%
Foreign Sales,13.98%,41.01%,21.81%,10.71%,
