Income Statement,Dec 2016,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Revenues,146.7,316.6,151.9,196.0,267.6,267.6
Total Revenues,146.7,316.6,151.9,196.0,267.6,267.6
Cost Of Revenues,184.0,181.8,160.4,169.1,77.6,77.6
Gross Profit,(37.4),134.8,(8.5),26.8,190.0,190.0
Selling General & Admin Expenses,45.9,53.8,60.8,66.1,45.7,45.7
Total Operating Expenses,45.9,53.8,60.8,66.1,45.7,45.7
Operating Income,(83.2),81.0,(69.3),(39.2),144.3,144.3
Interest Expense,(20.0),(22.0),(18.0),(11.6),(20.4),(20.4)
Interest And Investment Income,14.5,2.3,4.5,4.5,6.3,6.3
Net Interest Expenses,(5.5),(19.7),(13.6),(7.1),(14.1),(14.1)
"EBT, Excl. Unusual Items",(88.7),61.3,(82.9),(46.3),130.1,130.1
"EBT, Incl. Unusual Items",(101.9),61.6,(79.8),(72.3),129.3,129.3
Income Tax Expense,1.2,(1.4),0.5,(0.0),0.2,0.2
Earnings From Continuing Operations,(103.0),63.0,(80.3),(72.2),129.1,129.1
Net Income to Company,(103.0),63.0,(80.3),(72.2),129.1,129.1
Net Income,(103.0),63.0,(80.3),(72.2),129.1,129.1
NI to Common Incl Extra Items,(103.0),63.0,(80.3),(72.2),129.1,129.1
NI to Common Excl. Extra Items,(103.0),63.0,(80.3),(72.2),129.1,129.1
Revenue Per Share,$1.15,$2.32,$1.06,$1.36,$1.96,$1.96
Basic EPS,($0.81),$0.46,($0.56),($0.50),$0.95,$0.95
Basic EPS - Continuing Ops,($0.81),$0.46,($0.56),($0.50),$0.95,$0.95
Basic Weighted Average Shares Outst.,128.0,136.4,143.6,144.3,136.2,136.2
Diluted EPS,($0.81),$0.45,($0.56),($0.50),$0.91,$0.91
Diluted EPS - Continuing Ops,($0.81),$0.45,($0.56),($0.50),$0.91,$0.91
Diluted Weighted Average Shares Outst.,128.0,139.1,143.6,144.3,141.5,141.5
Normalized Basic EPS,($0.43),$0.28,($0.36),($0.20),$0.60,$0.60
Normalized Diluted EPS,($0.43),$0.28,($0.36),($0.20),$0.57,$0.57
EBITDA,(80.8),83.2,(66.9),(36.9),145.8,145.8
EBITA,(83.2),81.0,(69.3),(39.2),144.3,144.3
EBIT,(83.2),81.0,(69.3),(39.2),144.3,144.3
EBITDAR,(78.6),85.5,(64.4),(34.2),148.1,148.1
Effective Tax Rate,NM,NM,NM,NM,0.2%,0.2%
Normalized Net Income,(55.4),38.3,(51.8),(29.0),81.3,81.3
Interest on Long-Term Debt,20.0,22.0,18.0,11.6,20.4,20.4
R&D Expense From Footnotes,150.8,150.6,150.3,140.8,34.2,34.2
Foreign Sales,,120.3,125.3,167.8,160.7,160.7
