Income Statement,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,TTM
Revenues,1875.2,1790.1,1903.3,2020.4,2132.7,2359.4
Total Revenues,1875.2,1790.1,1903.3,2020.4,2132.7,2359.4
Cost Of Revenues,1026.7,954.9,971.7,980.2,1029.0,1090.9
Gross Profit,848.5,835.2,931.6,1040.3,1103.7,1268.4
Selling General & Admin Expenses,634.2,659.7,682.6,689.3,736.6,769.8
R&D Expenses,22.2,21.3,22.4,23.2,27.6,27.6
Total Operating Expenses,656.4,681.0,705.0,712.5,764.2,797.3
Operating Income,192.2,154.2,226.7,327.8,339.5,471.1
Interest Expense,(5.8),(7.3),(4.6),(4.7),(5.0),(5.6)
Interest And Investment Income,0.4,0.8,3.1,6.0,7.3,3.7
Net Interest Expenses,(5.4),(6.5),(1.5),1.4,2.2,(1.9)
Other Non Operating Income (Expenses),0.2,1.5,(0.4),0.2,0.5,(0.1)
"EBT, Excl. Unusual Items",186.9,149.2,224.8,329.4,342.2,469.1
"EBT, Incl. Unusual Items",156.9,(7.0),220.7,328.9,340.9,465.1
Income Tax Expense,34.6,(12.7),106.3,64.6,64.7,99.9
Earnings From Continuing Operations,122.3,5.7,114.4,264.3,276.1,365.2
Net Income to Company,122.3,5.7,114.4,264.3,276.1,365.2
Net Income,122.3,5.7,114.4,264.3,276.1,365.2
NI to Common Incl Extra Items,122.3,5.7,114.4,264.3,276.1,365.2
NI to Common Excl. Extra Items,122.3,5.7,114.4,264.3,276.1,365.2
Revenue Per Share,$57.60,$55.94,$59.93,$68.16,$75.13,$84.15
Basic EPS,$3.76,$0.18,$3.60,$8.92,$9.73,$13.02
Basic EPS - Continuing Ops,$3.76,$0.18,$3.60,$8.92,$9.73,$13.02
Basic Weighted Average Shares Outst.,32.6,32.0,31.8,29.6,28.4,28.0
Diluted EPS,$3.70,$0.18,$3.58,$8.84,$9.62,$12.87
Diluted EPS - Continuing Ops,$3.70,$0.18,$3.58,$8.84,$9.62,$12.87
Diluted Weighted Average Shares Outst.,33.0,32.4,32.0,29.9,28.7,28.4
Normalized Basic EPS,$3.59,$2.91,$4.42,$6.95,$7.54,$10.46
Normalized Diluted EPS,$3.54,$2.88,$4.39,$6.88,$7.45,$10.34
EBITDA,242.2,206.9,275.2,372.7,378.4,511.2
EBITA,192.2,154.2,226.7,334.0,343.0,473.7
EBIT,192.2,154.2,226.7,327.8,339.5,471.1
EBITDAR,319.5,285.2,350.7,446.8,466.7,
Effective Tax Rate,22.1%,NM,48.2%,19.6%,19.0%,21.5%
Normalized Net Income,116.8,93.2,140.5,205.9,213.9,293.2
R&D Expense From Footnotes,22.2,21.3,22.4,23.2,27.6,27.6
Foreign Sales,655.5,648.8,,742.1,731.0,
