Income Statement,Jun 2017,Jun 2018,Jun 2019,Jun 2020,TTM
Revenues,23.39%,4.04%,(8.28%),18.15%,14.59%
Total Revenues,23.39%,4.04%,(8.28%),18.15%,14.59%
Cost Of Revenues,22.94%,(3.93%),(7.52%),8.20%,2.36%
Gross Profit,23.51%,6.01%,(8.45%),20.41%,17.23%
Selling General & Admin Expenses,5.14%,6.34%,(14.03%),(0.96%),(7.62%)
Depreciation & Amortization,13.13%,2.54%,(0.39%),7.59%,4.97%
Total Operating Expenses,(26.49%),117.38%,(55.15%),5.71%,1.12%
Operating Income,"2,930.36%",,,41.39%,34.45%
Interest Expense,(2.68%),(2.13%),-13.34%,-66.90%,-73.59%
Interest And Investment Income,(16.41%),34.43%,(44.36%),(11.81%),(23.14%)
Net Interest Expenses,(5.13%),-1.16%,-9.03%,-71.58%,-78.88%
"EBT, Excl. Unusual Items",,,,68.62%,39.47%
"EBT, Incl. Unusual Items",,,,80.71%,71.47%
Income Tax Expense,(56.43%),(44.13%),18.45%,,"1,184.40%"
Earnings From Continuing Operations,,,,120.31%,55.76%
Net Income to Company,,,,120.31%,55.76%
Minority Interest,72.15%,(31.72%),(23.66%),(34.83%),(90.86%)
Net Income,,,,112.46%,52.65%
NI to Common Incl Extra Items,,,,112.46%,52.65%
NI to Common Excl. Extra Items,,,,112.46%,52.65%
Revenue Per Share,23.20%,3.80%,(8.48%),17.86%,14.46%
Basic EPS,,,,112.75%,52.47%
Basic EPS - Continuing Ops,,,,112.75%,52.47%
Basic Weighted Average Shares Outst.,0.12%,0.21%,0.16%,0.20%,0.12%
Diluted EPS,,,,111.89%,52.39%
Diluted EPS - Continuing Ops,,,,111.89%,52.39%
Diluted Weighted Average Shares Outst.,0.31%,0.02%,0.33%,0.21%,0.06%
Normalized Basic EPS,,,,61.27%,35.21%
Normalized Diluted EPS,,,,62.38%,35.29%
Dividend Per Share,4.35%,4.17%,6.00%,5.66%,(74.66%)
Payout Ratio,,,,(50.15%),(30.49%)
EBITDA,24.97%,7.51%,(7.54%),23.69%,20.99%
EBITA,"2,930.36%",,,41.39%,34.45%
EBIT,"2,930.36%",,,41.39%,34.45%
Effective Tax Rate,,,,,649.07%
Normalized Net Income,,,,62.13%,35.36%
Interest on Long-Term Debt,8.41%,(82.99%),(70.18%),311.76%,
Foreign Sales,25.05%,3.46%,(7.47%),15.95%,
