Income Statement,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Revenues,28.67%,4.58%,3.96%,(12.00%),(5.67%)
Total Revenues,28.67%,4.58%,3.96%,(12.00%),(5.67%)
Cost Of Revenues,29.34%,3.38%,2.20%,(13.17%),(7.12%)
Gross Profit,24.42%,12.58%,14.72%,(5.65%),2.22%
Selling General & Admin Expenses,10.18%,4.65%,4.25%,6.57%,(1.80%)
Depreciation & Amortization,14.03%,2.28%,10.48%,21.82%,21.62%
Total Operating Expenses,11.71%,8.14%,6.95%,15.32%,15.52%
Operating Income,43.29%,17.73%,23.00%,(25.06%),(11.11%)
Interest Expense,(20.26%),(35.34%),-6.72%,-22.59%,-23.25%
Net Interest Expenses,(20.26%),(35.34%),-6.72%,-22.59%,-23.25%
Other Non Operating Income (Expenses),623.68%,(86.30%),15.00%,(38.40%),63.21%
"EBT, Excl. Unusual Items",59.76%,10.89%,28.42%,(23.73%),(8.47%)
"EBT, Incl. Unusual Items",64.66%,(1.75%),39.87%,(16.79%),(1.66%)
Income Tax Expense,(75.00%),362.35%,10.15%,(12.31%),24.83%
Earnings From Continuing Operations,160.29%,(25.70%),52.03%,(18.12%),(8.86%)
Net Income to Company,160.29%,(25.70%),52.03%,(18.12%),(8.86%)
Minority Interest,-39.72%,,,,-69.86%
Net Income,164.52%,(25.22%),51.10%,(17.71%),(8.61%)
NI to Common Incl Extra Items,164.52%,(25.22%),51.10%,(17.71%),(8.61%)
NI to Common Excl. Extra Items,164.52%,(25.22%),51.10%,(17.71%),(8.61%)
Revenue Per Share,27.82%,7.51%,8.82%,(9.12%),(1.89%)
Basic EPS,163.30%,(23.09%),58.13%,(15.04%),(4.94%)
Basic EPS - Continuing Ops,163.30%,(23.09%),58.13%,(15.04%),(4.94%)
Basic Weighted Average Shares Outst.,0.66%,(2.73%),(4.46%),(3.17%),(3.86%)
Diluted EPS,162.11%,(22.75%),58.59%,(15.28%),(5.43%)
Diluted EPS - Continuing Ops,162.11%,(22.75%),58.59%,(15.28%),(5.43%)
Diluted Weighted Average Shares Outst.,1.14%,(3.10%),(4.92%),(2.81%),(3.27%)
Normalized Basic EPS,60.47%,14.87%,33.29%,(20.84%),(4.47%)
Normalized Diluted EPS,59.49%,15.33%,34.17%,(21.11%),(5.05%)
EBITDA,32.41%,16.29%,19.13%,(10.15%),3.82%
EBITA,40.09%,16.78%,22.52%,(21.45%),(7.62%)
EBIT,43.29%,17.73%,23.00%,(25.06%),(11.11%)
EBITDAR,36.87%,10.20%,8.36%,(16.00%),
Effective Tax Rate,(84.82%),370.61%,(21.25%),5.38%,26.94%
Normalized Net Income,61.69%,11.87%,27.53%,(23.27%),(8.16%)
Foreign Sales,(24.38%),(22.32%),42.12%,(43.00%),
